order_id,trade_date,symbol,side,execution,requested_shares,filled_shares,unfilled_shares,price,gross_value,commission,tax,reason
1,2024-04-01,SZ159985,buy,open,37500,37500,0,2.1390689999999997,80215.0875,24.064526249999997,0.0,filled
2,2024-04-01,SH515880,buy,open,17000,17000,0,1.16058,19729.86,5.918958,0.0,filled
3,2024-05-06,SH515880,sell,open,17000,17000,0,1.2103945,20576.7065,6.173011949999999,0.0,filled
4,2024-05-06,SZ159985,sell,open,18700,18700,0,2.2388800000000004,41867.05600000001,12.560116800000003,0.0,filled
5,2024-05-06,SH518880,buy,open,11900,11900,0,5.226612,62196.6828,18.659004839999998,0.0,filled
6,2024-06-03,SH518880,sell,open,11900,11900,0,5.3163405,63264.45195,18.979335584999998,0.0,filled
7,2024-06-03,SZ159985,buy,open,6200,6200,0,2.233116,13845.3192,5.0,0.0,filled
8,2024-06-03,SH513100,buy,open,7300,7200,100,6.798397499999999,48948.46199999999,14.684538599999996,0.0,partial_volume_or_cash
9,2024-07-01,SZ159985,sell,open,25000,25000,0,2.168915,54222.87500000001,16.266862500000002,0.0,filled
10,2024-07-01,SH513100,buy,open,6400,6400,0,7.338667500000001,46967.472,14.090241599999999,0.0,filled
11,2024-07-01,SH515880,buy,open,6500,6500,0,1.1755875,7641.31875,5.0,0.0,filled
12,2024-08-01,SH513100,sell,open,13600,13600,0,7.311342500000001,99434.25800000002,29.830277400000003,0.0,filled
13,2024-08-01,SH515880,sell,open,6500,6500,0,1.157421,7523.2365,5.0,0.0,filled
14,2024-08-01,SH518880,buy,open,17000,17000,0,5.5037505,93563.7585,28.069127549999997,0.0,filled
15,2024-08-01,SH512660,buy,open,14600,14600,0,0.918459,13409.501400000001,5.0,0.0,filled
16,2024-09-02,SH512660,sell,open,14600,14600,0,0.83958,12257.868,5.0,0.0,filled
17,2024-09-02,SH518880,buy,open,2200,2200,0,5.5077525,12117.055499999999,5.0,0.0,filled
18,2024-10-08,SH518880,sell,open,19200,19200,0,5.679159,109039.85280000001,32.71195584,0.0,filled
19,2024-10-08,SZ159985,buy,open,55300,55300,0,1.9529759999999998,107999.5728,32.399871839999996,0.0,filled
20,2024-10-08,SH515700,buy,open,700,700,0,1.746873,1222.8111,5.0,0.0,filled
21,2024-11-01,SH515700,sell,open,700,700,0,1.5722135,1100.54945,5.0,0.0,filled
23,2024-11-01,SH515880,buy,open,46100,800,45300,1.3906949999999998,1112.5559999999998,5.0,0.0,partial_volume_or_cash
25,2024-12-02,SH515880,sell,open,800,800,0,1.333333,1066.6664,5.0,0.0,filled
26,2024-12-02,SZ159985,sell,open,55300,55300,0,1.889055,104464.74149999999,31.339422449999994,0.0,filled
27,2024-12-02,SH513100,buy,open,10200,10200,0,7.70385,78579.27,23.573781,0.0,filled
28,2024-12-02,SH515700,buy,open,15800,15800,0,1.6888439999999998,26683.735199999996,8.005120559999998,0.0,filled
29,2025-01-02,SH513100,sell,open,6200,6200,0,8.1209375,50349.8125,15.104943749999999,0.0,filled
30,2025-01-02,SH515700,sell,open,15800,15800,0,1.5792100000000002,24951.518000000004,7.4854554,0.0,filled
31,2025-01-02,SH518880,buy,open,12600,12600,0,5.977987499999999,75322.64249999999,22.596792749999995,0.0,filled
32,2025-02-05,SH513100,sell,open,1100,1100,0,8.080957500000002,8889.053250000003,5.0,0.0,filled
33,2025-02-05,SH518880,sell,open,3600,3600,0,6.396800000000001,23028.480000000003,6.908544,0.0,filled
34,2025-02-05,SZ159985,buy,open,15700,15700,0,1.9689839999999998,30913.048799999997,9.273914639999997,0.0,filled
35,2025-03-03,SH513100,sell,open,2900,2900,0,7.636180000000001,22144.922000000002,6.6434766000000005,0.0,filled
36,2025-03-03,SH518880,sell,open,9000,9000,0,6.441777500000001,57975.997500000005,17.39279925,0.0,filled
37,2025-03-03,SZ159985,sell,open,15700,15700,0,2.0009989999999998,31415.684299999997,9.424705289999999,0.0,filled
38,2025-03-03,SH512720,buy,open,87800,87600,200,1.2840754142650346,112485.00628961703,33.74550188688511,0.0,partial_volume_or_cash
39,2025-04-01,SH512720,sell,open,87600,87600,0,1.2101811137430365,106011.86556389,31.803559669166997,0.0,filled
40,2025-04-01,SH518880,buy,open,13500,13500,0,7.0685325,95425.18875,28.627556624999997,0.0,filled
41,2025-04-01,SH510150,buy,open,1900,1900,0,5.32266,10113.054,5.0,0.0,filled
42,2025-05-06,SH510150,sell,open,1900,1900,0,5.247375,9970.012499999999,5.0,0.0,filled
43,2025-05-06,SH518880,sell,open,3200,3200,0,7.592202,24295.0464,7.288513919999999,0.0,filled
