trade_date,cash,positions_value,total_value,cash_ratio,daily_return
2024-03-25,100000.0,0.0,100000.0,1.0,0.0
2024-03-26,100000.0,0.0,100000.0,1.0,0.0
2024-03-27,100000.0,0.0,100000.0,1.0,0.0
2024-03-28,100000.0,0.0,100000.0,1.0,0.0
2024-03-29,100000.0,0.0,100000.0,1.0,0.0
2024-04-01,61.29373260001012,100914.0,100975.29373260001,0.0006070171260142752,0.009752937326000133
2024-04-02,61.29373260001012,99842.9,99904.1937326,0.0006135251215185894,-0.010607545275743036
2024-04-03,61.29373260001012,98675.70000000001,98736.99373260002,0.0006207777883738903,-0.011683193231347921
2024-04-08,61.29373260001012,99367.6,99428.89373260002,0.0006164579560228334,0.0070075052302462915
2024-04-09,61.29373260001012,99688.2,99749.4937326,0.0006144766284661169,0.0032244148352107427
2024-04-10,61.29373260001012,98834.19999999998,98895.49373259999,0.0006197828666060363,-0.008561446961218078
2024-04-11,61.29373260001012,98073.1,98134.39373260002,0.0006245897107901374,-0.007696002833636584
2024-04-12,61.29373260001012,99401.4,99462.6937326,0.0006162484676394845,0.01353551950011922
2024-04-15,61.29373260001012,100654.2,100715.4937326,0.0006085829531129063,0.012595677363897773
2024-04-16,61.29373260001012,100799.5,100860.79373260001,0.0006077062288693737,0.001442677731251285
2024-04-17,61.29373260001012,99190.1,99251.39373260002,0.0006175604220243573,-0.01595664618966619
2024-04-18,61.29373260001012,99844.5,99905.79373260001,0.0006135152958602592,0.006593358293416562
2024-04-19,61.29373260001012,100209.5,100270.79373260001,0.0006112820126214112,0.003653441771124255
2024-04-22,61.29373260001012,99507.6,99568.89373260002,0.0006155911781506701,-0.0070000443187057115
2024-04-23,61.29373260001012,99835.6,99896.89373260002,0.0006135699550786706,0.0032942015091668164
2024-04-24,61.29373260001012,101441.7,101502.9937326,0.0006038613280853827,0.016077576989522058
2024-04-25,61.29373260001012,100820.6,100881.89373260002,0.000607579123786839,-0.006119031342427417
2024-04-26,61.29373260001012,102005.2,102066.4937326,0.0006005274636022196,0.011742444121240592
2024-04-29,61.29373260001012,101985.1,102046.39373260002,0.000600645749036686,-0.00019693044470259213
2024-04-30,61.29373260001012,102144.1,102205.39373260002,0.000599711329916432,0.0015581148356564878
2024-05-06,50.36264558001858,104709.79999999999,104760.16264558001,0.0004807423385777213,0.02499641965730337
2024-05-07,50.36264558001858,106211.2,106261.56264558001,0.00047394979262629385,0.014331783781965424
2024-05-08,50.36264558001858,106259.5,106309.86264558003,0.0004737344619465791,0.0004545387701582193
2024-05-09,50.36264558001858,105903.0,105953.36264558003,0.0004753284305707641,-0.0033534047653557275
2024-05-10,50.36264558001858,106661.1,106711.46264558003,0.00047195160043197657,0.007155034829200213
2024-05-13,50.36264558001858,106675.09999999999,106725.46264558,0.00047188969090971027,0.00013119490308621806
2024-05-14,50.36264558001858,106410.7,106461.06264558001,0.00047306164646957437,-0.002477384435221719
2024-05-15,50.36264558001858,107180.6,107230.96264558003,0.0004696651446325003,0.0072317519745515035
2024-05-16,50.36264558001858,107664.7,107715.06264558001,0.00046755434516831864,0.004514554267315729
2024-05-17,50.36264558001858,108160.4,108210.76264558002,0.00046541253705946126,0.00460195619651671
2024-05-20,50.36264558001858,109604.6,109654.96264558003,0.0004592828665930752,0.013346177077876886
2024-05-21,50.36264558001858,108821.1,108871.46264558003,0.0004625881232437287,-0.00714513945467643
2024-05-22,50.36264558001858,109309.20000000001,109359.56264558004,0.0004605234728602316,0.004483268508929328
2024-05-23,50.36264558001858,107866.2,107916.56264558001,0.0004666813355186245,-0.013195005220317135
2024-05-24,50.36264558001858,106949.7,107000.06264558001,0.00047067865508487137,-0.008492672278767599
2024-05-27,50.36264558001858,107138.20000000001,107188.56264558004,0.0004698509275335945,0.0017616812115746061
2024-05-28,50.36264558001858,106677.0,106727.36264558003,0.00047188129015482877,-0.004302697868288186
2024-05-29,50.36264558001858,106485.0,106535.36264558003,0.0004727317233392648,-0.001798976337844982
2024-05-30,50.36264558001858,105497.1,105547.46264558003,0.0004771563836558756,-0.00927297730507115
2024-05-31,50.36264558001858,105994.5,106044.86264558003,0.00047491829706394274,0.004712571837659718
2024-06-03,605.9266197200195,104326.5,104932.42661972002,0.005774445890934417,-0.010490239678823121
2024-06-04,605.9266197200195,104481.3,105087.22661972002,0.005765939774133454,0.0014752351106965822
2024-06-05,605.9266197200195,105300.6,105906.52661972003,0.005721334076942475,0.007796380457967711
2024-06-06,605.9266197200195,106496.7,107102.62661972002,0.005657439400355983,0.011293921519065941
2024-06-07,605.9266197200195,106557.59999999999,107163.52661972001,0.005654224332036103,0.0005686135057754171
2024-06-11,605.9266197200195,106170.29999999999,106776.22661972001,0.005674733401827422,-0.003614102784937012
2024-06-12,605.9266197200195,106762.79999999999,107368.72661972001,0.005643418142287358,0.005548987998144739
2024-06-13,605.9266197200195,106774.8,107380.72661972002,0.005642787479599189,0.00011176438780458042
2024-06-14,605.9266197200195,107236.80000000002,107842.72661972004,0.005618613685989837,0.004302448069998244
2024-06-17,605.9266197200195,106506.6,107112.52661972003,0.0056569165049316,-0.006770971236427226
2024-06-18,605.9266197200195,106667.70000000001,107273.62661972003,0.00564842113400343,0.0015040257669578505
2024-06-19,605.9266197200195,106938.9,107544.82661972001,0.005634177289276632,0.0025281143981583654
2024-06-20,605.9266197200195,107398.5,108004.42661972002,0.005610201717504292,0.004273566794850581
2024-06-21,605.9266197200195,105884.4,106490.32661972001,0.005689968647422791,-0.014018869849947047
2024-06-24,605.9266197200195,105892.5,106498.42661972002,0.005689535882850515,7.606324684239496e-05
2024-06-25,605.9266197200195,105501.9,106107.82661972001,0.00571047998081801,-0.0036676598180622744
2024-06-26,605.9266197200195,106573.49999999999,107179.42661972,0.0056533855314405525,0.010099160770114635
2024-06-27,605.9266197200195,106537.5,107143.42661972002,0.005655285058882905,-0.00033588535724971
2024-06-28,605.9266197200195,107431.79999999999,108037.72661972001,0.0056084725093560085,0.008346755636013947
2024-07-01,0.8476731200107679,107831.2,107832.04767312,7.86105001530146e-06,-0.0019037696648687152
2024-07-02,0.8476731200107679,107809.6,107810.44767312001,7.862624989564115e-06,-0.0002003115072568562
2024-07-03,0.8476731200107679,109549.59999999999,109550.44767312,7.737742181940516e-06,0.016139437666334855
2024-07-04,0.8476731200107679,110116.8,110117.64767312001,7.697886196471004e-06,0.005177523342418722
2024-07-05,0.8476731200107679,111396.0,111396.84767312,7.609489296305383e-06,0.011616666601862446
2024-07-08,0.8476731200107679,112947.2,112948.04767312,7.504982489507004e-06,0.01392499009084891
2024-07-09,0.8476731200107679,114470.4,114471.24767312,7.405118204279147e-06,0.01348584620433857
2024-07-10,0.8476731200107679,113142.4,113143.24767312,7.492034544206864e-06,-0.011601166467514967
2024-07-11,0.8476731200107679,113624.8,113625.64767312001,7.4602269590521216e-06,0.004263621647079718
2024-07-12,0.8476731200107679,109161.6,109162.44767312001,7.765244716288069e-06,-0.03927986410990414
2024-07-15,0.8476731200107679,112274.39999999998,112275.24767311999,7.549955467287834e-06,0.02851530051177531
2024-07-16,0.8476731200107679,112147.2,112148.04767312,7.558518740170105e-06,-0.0011329300325421121
2024-07-17,0.8476731200107679,110984.0,110984.84767312,7.637737382920877e-06,-0.010372004008401436
2024-07-18,0.8476731200107679,109077.6,109078.44767312001,7.77122463780403e-06,-0.017177119579556033
2024-07-19,0.8476731200107679,107381.6,107382.44767312001,7.893963477077247e-06,-0.015548442760044301
2024-07-22,0.8476731200107679,106869.6,106870.44767312001,7.931782251006459e-06,-0.004768004558422523
2024-07-23,0.8476731200107679,107623.20000000001,107624.04767312002,7.876242701680892e-06,0.007051528429122156
2024-07-24,0.8476731200107679,105600.0,105600.84767312,8.027143140315316e-06,-0.01879877261395102
2024-07-25,0.8476731200107679,102632.8,102633.64767312001,8.259212638632305e-06,-0.028098259297924866
2024-07-26,0.8476731200107679,102896.8,102897.64767312001,8.238022337533046e-06,0.0025722558438223686
2024-07-29,0.8476731200107679,104852.0,104852.84767312,8.084407231870315e-06,0.01900140619551549
2024-07-30,0.8476731200107679,103644.8,103645.64767312001,8.17856937595854e-06,-0.011513278149234973
2024-07-31,0.8476731200107679,104468.0,104468.84767312,8.114123385979259e-06,0.007942446388064628
2024-08-01,184.56642170000123,106073.2,106257.7664217,0.0017369687686406047,0.017123944490873066
2024-08-02,184.56642170000123,106364.3,106548.8664217,0.0017322232314468996,0.002739564455408683
2024-08-05,184.56642170000123,103591.79999999999,103776.36642169999,0.0017785014841433856,-0.02602092441816317
2024-08-06,184.56642170000123,103253.90000000001,103438.46642170001,0.0017843112730186578,-0.003256039998807747
2024-08-07,184.56642170000123,103764.0,103948.5664217,0.0017755552390328268,0.004931434287902103
2024-08-08,184.56642170000123,103289.90000000001,103474.46642170001,0.0017836904898626772,-0.0045609094605177924
2024-08-09,184.56642170000123,103938.2,104122.7664217,0.0017725846905805621,0.0062653137766170985
2024-08-12,184.56642170000123,104514.3,104698.8664217,0.0017628311366487516,0.005532891794929773
2024-08-13,184.56642170000123,105285.6,105470.1664217,0.001749939608154705,0.007366841937842983
2024-08-14,184.56642170000123,104820.8,105005.3664217,0.0017576856115980321,-0.0044069334084635425
2024-08-15,184.56642170000123,104644.9,104829.4664217,0.0017606349435905881,-0.0016751524802417483
2024-08-16,184.56642170000123,104653.30000000002,104837.86642170002,0.0017604938749669029,8.013014171259769e-05
2024-08-19,184.56642170000123,105623.5,105808.0664217,0.0017443511439327163,0.009254289820220585
2024-08-20,184.56642170000123,105419.09999999999,105603.66642169999,0.00174772740335534,-0.0019317997853336433
2024-08-21,184.56642170000123,105751.7,105936.2664217,0.0017422401971889261,0.003149511861376686
2024-08-22,184.56642170000123,105471.29999999999,105655.86642169999,0.0017468639267350166,-0.0026468744790743015
2024-08-23,184.56642170000123,105164.79999999999,105349.36642169999,0.001751946195492107,-0.002900927420127153
2024-08-26,184.56642170000123,105637.2,105821.7664217,0.0017441253150557285,0.004484127584678976
2024-08-27,184.56642170000123,105365.2,105549.7664217,0.0017486198971071922,-0.0025703596641553084
2024-08-28,184.56642170000123,105380.59999999999,105565.16642169999,0.0017483648058936013,0.0001459027387940015
2024-08-29,184.56642170000123,105703.3,105887.8664217,0.0017430365530736328,0.003056879564902415
2024-08-30,184.56642170000123,105629.6,105814.1664217,0.0017442505851669307,-0.0006960193126045455
2024-09-02,298.56651350000175,104878.09999999999,105176.6665135,0.002838714359345845,-0.006024712283413836
2024-09-03,298.56651350000175,105069.1,105367.66651350001,0.0028335686209938846,0.0018159921428533288
2024-09-04,298.56651350000175,104343.3,104641.8665135,0.002853222361639385,-0.006888261114779581
2024-09-05,298.56651350000175,105088.2,105386.7665135,0.002833055073017688,0.007118565683305045
2024-09-06,298.56651350000175,105374.70000000001,105673.26651350001,0.002825374130569335,0.0027185576470203365
2024-09-09,298.56651350000175,104610.70000000001,104909.26651350001,0.002845949870992391,-0.007229832342718345
2024-09-10,298.56651350000175,105298.3,105596.8665135,0.0028274183066012816,0.006554235129567987
2024-09-11,298.56651350000175,105852.2,106150.7665135,0.0028126646966984527,0.005245420799765643
2024-09-12,298.56651350000175,105642.09999999999,105940.6665135,0.0028182427327088366,-0.0019792603190791347
2024-09-13,298.56651350000175,107170.09999999999,107468.6665135,0.002778172682197526,0.014423167705909012
2024-09-18,298.56651350000175,107131.9,107430.4665135,0.0027791605416000228,-0.00035545244245860363
2024-09-19,298.56651350000175,106960.0,107258.5665135,0.0027836146165763176,-0.0016001047522062883
