trade_date,symbol,shares,available_shares,average_cost,close,market_value
2024-04-01,SH510150,1400,1400,5.146141428571428,5.24,7336.0
2024-04-01,SH510300,1800,1800,4.276047255229505,4.324221450626944,7783.5986111285
2024-04-01,SH512660,8400,8400,0.9060477380952381,0.909,7635.6
2024-04-01,SH512720,7900,7900,0.970847696956295,0.9939456507435189,7852.170640873799
2024-04-01,SH513100,1100,1100,6.737910454545455,6.720000000000001,7392.000000000001
2024-04-01,SH515700,5200,5200,1.4626920384615385,1.513,7867.599999999999
2024-04-01,SH515790,9100,9100,0.8409694505494505,0.869,7907.9
2024-04-01,SH515880,6600,6600,1.1613375757575757,1.185,7821.0
2024-04-01,SH518880,1400,1400,5.181158928571429,5.155,7217.0
2024-04-01,SZ159740,16500,16500,0.4665360303030303,0.472,7788.0
2024-04-01,SZ159915,4300,4300,1.7820527906976742,1.822,7834.6
2024-04-01,SZ159985,3500,3500,2.140497571428571,2.157,7549.5
2024-04-01,SZ159992,11000,11000,0.6998040454545453,0.711,7821.0
2024-04-02,SH510150,1400,1400,5.146141428571428,5.19,7266.000000000001
2024-04-02,SH510300,1800,1800,4.276047255229505,4.309743030591363,7757.537455064454
2024-04-02,SH512660,8400,8400,0.9060477380952381,0.899,7551.6
2024-04-02,SH512720,7900,7900,0.970847696956295,0.9697299206035882,7660.866372768347
2024-04-02,SH513100,1100,1100,6.737910454545455,6.7,7370.0
2024-04-02,SH515700,5200,5200,1.4626920384615385,1.532,7966.400000000001
2024-04-02,SH515790,9100,9100,0.8409694505494505,0.861,7835.099999999999
2024-04-02,SH515880,6600,6600,1.1613375757575757,1.166,7695.599999999999
2024-04-02,SH518880,1400,1400,5.181158928571429,5.159,7222.599999999999
2024-04-02,SZ159740,16500,16500,0.4665360303030303,0.468,7722.0
2024-04-02,SZ159915,4300,4300,1.7820527906976742,1.808,7774.400000000001
2024-04-02,SZ159985,3500,3500,2.140497571428571,2.137,7479.5
2024-04-02,SZ159992,11000,11000,0.6998040454545453,0.699,7688.999999999999
2024-04-03,SH510150,1400,1400,5.146141428571428,5.17,7238.0
2024-04-03,SH510300,1800,1800,4.276047255229505,4.292851540549851,7727.132772989731
2024-04-03,SH512660,8400,8400,0.9060477380952381,0.885,7434.0
2024-04-03,SH512720,7900,7900,0.970847696956295,0.9477156204763785,7486.95340176339
2024-04-03,SH513100,1100,1100,6.737910454545455,6.635,7298.5
2024-04-03,SH515700,5200,5200,1.4626920384615385,1.524,7924.8
2024-04-03,SH515790,9100,9100,0.8409694505494505,0.857,7798.7
2024-04-03,SH515880,6600,6600,1.1613375757575757,1.128,7444.799999999999
2024-04-03,SH518880,1400,1400,5.181158928571429,5.231,7323.4
2024-04-03,SZ159740,16500,16500,0.4665360303030303,0.46,7590.0
2024-04-03,SZ159915,4300,4300,1.7820527906976742,1.79,7697.0
2024-04-03,SZ159985,3500,3500,2.140497571428571,2.123,7430.500000000001
2024-04-03,SZ159992,11000,11000,0.6998040454545453,0.695,7644.999999999999
2024-04-08,SH510150,1400,1400,5.146141428571428,5.09,7126.0
2024-04-08,SH510300,1800,1800,4.276047255229505,4.257862025463863,7664.151645834954
2024-04-08,SH512660,8400,8400,0.9060477380952381,0.867,7282.8
2024-04-08,SH512720,7900,7900,0.970847696956295,0.9367084704127736,7399.996916260911
2024-04-08,SH513100,1100,1100,6.737910454545455,6.630000000000001,7293.000000000001
2024-04-08,SH515700,5200,5200,1.4626920384615385,1.492,7758.4
2024-04-08,SH515790,9100,9100,0.8409694505494505,0.833,7580.299999999999
2024-04-08,SH515880,6600,6600,1.1613375757575757,1.129,7451.4
2024-04-08,SH518880,1400,1400,5.181158928571429,5.354,7495.6
2024-04-08,SZ159740,16500,16500,0.4665360303030303,0.457,7540.5
2024-04-08,SZ159915,4300,4300,1.7820527906976742,1.758,7559.4
2024-04-08,SZ159985,3500,3500,2.140497571428571,2.141,7493.5
2024-04-08,SZ159992,11000,11000,0.6998040454545453,0.682,7502.000000000001
2024-04-09,SH510150,1400,1400,5.146141428571428,5.11,7154.0
2024-04-09,SH510300,1800,1800,4.276047255229505,4.250622815446072,7651.12106780293
2024-04-09,SH512660,8400,8400,0.9060477380952381,0.871,7316.4
2024-04-09,SH512720,7900,7900,0.970847696956295,0.9389099004254946,7417.388213361407
2024-04-09,SH513100,1100,1100,6.737910454545455,6.640000000000001,7304.000000000001
2024-04-09,SH515700,5200,5200,1.4626920384615385,1.541,8013.2
2024-04-09,SH515790,9100,9100,0.8409694505494505,0.839,7634.9
2024-04-09,SH515880,6600,6600,1.1613375757575757,1.128,7444.799999999999
2024-04-09,SH518880,1400,1400,5.181158928571429,5.369,7516.599999999999
2024-04-09,SZ159740,16500,16500,0.4665360303030303,0.462,7623.0
2024-04-09,SZ159915,4300,4300,1.7820527906976742,1.777,7641.099999999999
2024-04-09,SZ159985,3500,3500,2.140497571428571,2.15,7525.0
2024-04-09,SZ159992,11000,11000,0.6998040454545453,0.697,7666.999999999999
2024-04-10,SH510150,1400,1400,5.146141428571428,5.08,7112.0
2024-04-10,SH510300,1800,1800,4.276047255229505,4.21925290536898,7594.655229664164
2024-04-10,SH512660,8400,8400,0.9060477380952381,0.855,7182.0
2024-04-10,SH512720,7900,7900,0.970847696956295,0.9146941702855639,7226.083945255955
2024-04-10,SH513100,1100,1100,6.737910454545455,6.665,7331.5
2024-04-10,SH515700,5200,5200,1.4626920384615385,1.518,7893.6
2024-04-10,SH515790,9100,9100,0.8409694505494505,0.823,7489.299999999999
2024-04-10,SH515880,6600,6600,1.1613375757575757,1.093,7213.8
2024-04-10,SH518880,1400,1400,5.181158928571429,5.388,7543.2
2024-04-10,SZ159740,16500,16500,0.4665360303030303,0.469,7738.5
2024-04-10,SZ159915,4300,4300,1.7820527906976742,1.739,7477.700000000001
2024-04-10,SZ159985,3500,3500,2.140497571428571,2.143,7500.499999999999
2024-04-10,SZ159992,11000,11000,0.6998040454545453,0.684,7524.000000000001
2024-04-11,SH510150,1400,1400,5.146141428571428,5.05,7070.0
2024-04-11,SH510300,1800,1800,4.276047255229505,4.215633300360085,7588.139940648152
2024-04-11,SH512660,8400,8400,0.9060477380952381,0.851,7148.4
2024-04-11,SH512720,7900,7900,0.970847696956295,0.9212984603237268,7278.257836557442
2024-04-11,SH513100,1100,1100,6.737910454545455,6.6049999999999995,7265.499999999999
2024-04-11,SH515700,5200,5200,1.4626920384615385,1.513,7867.599999999999
2024-04-11,SH515790,9100,9100,0.8409694505494505,0.822,7480.2
2024-04-11,SH515880,6600,6600,1.1613375757575757,1.099,7253.4
2024-04-11,SH518880,1400,1400,5.181158928571429,5.348,7487.2
2024-04-11,SZ159740,16500,16500,0.4665360303030303,0.469,7738.5
2024-04-11,SZ159915,4300,4300,1.7820527906976742,1.731,7443.3
2024-04-11,SZ159985,3500,3500,2.140497571428571,2.12,7420.0
2024-04-11,SZ159992,11000,11000,0.6998040454545453,0.681,7491.000000000001
2024-04-12,SH510150,1400,1400,5.146141428571428,5.02,7027.999999999999
2024-04-12,SH510300,1800,1800,4.276047255229505,4.181850320277062,7527.330576498711
2024-04-12,SH512660,8400,8400,0.9060477380952381,0.847,7114.8
2024-04-12,SH512720,7900,7900,0.970847696956295,0.9157948852919243,7234.779593806202
2024-04-12,SH513100,1100,1100,6.737910454545455,6.705,7375.5
2024-04-12,SH515700,5200,5200,1.4626920384615385,1.474,7664.8
2024-04-12,SH515790,9100,9100,0.8409694505494505,0.801,7289.1
2024-04-12,SH515880,6600,6600,1.1613375757575757,1.131,7464.6
2024-04-12,SH518880,1400,1400,5.181158928571429,5.504,7705.599999999999
2024-04-12,SZ159740,16500,16500,0.4665360303030303,0.462,7623.0
2024-04-12,SZ159915,4300,4300,1.7820527906976742,1.713,7365.900000000001
2024-04-12,SZ159985,3500,3500,2.140497571428571,2.141,7493.5
2024-04-12,SZ159992,11000,11000,0.6998040454545453,0.672,7392.000000000001
2024-04-15,SH510150,1400,1400,5.146141428571428,5.1,7139.999999999999
2024-04-15,SH510300,1800,1800,4.276047255229505,4.2699273754935145,7685.869275888326
2024-04-15,SH512660,8400,8400,0.9060477380952381,0.868,7291.2
2024-04-15,SH512720,7900,7900,0.970847696956295,0.9179963153046453,7252.170890906698
2024-04-15,SH513100,1100,1100,6.737910454545455,6.645,7309.499999999999
2024-04-15,SH515700,5200,5200,1.4626920384615385,1.484,7716.8
2024-04-15,SH515790,9100,9100,0.8409694505494505,0.811,7380.1
2024-04-15,SH515880,6600,6600,1.1613375757575757,1.143,7543.8
2024-04-15,SH518880,1400,1400,5.181158928571429,5.417,7583.8
2024-04-15,SZ159740,16500,16500,0.4665360303030303,0.457,7540.5
2024-04-15,SZ159915,4300,4300,1.7820527906976742,1.746,7507.8
2024-04-15,SZ159985,3500,3500,2.140497571428571,2.169,7591.5
2024-04-15,SZ159992,11000,11000,0.6998040454545453,0.673,7403.000000000001
2024-04-16,SH510150,1400,1400,5.146141428571428,5.0600000000000005,7084.000000000001
2024-04-16,SH510300,1800,1800,4.276047255229505,4.231318255398631,7616.372859717536
2024-04-16,SH512660,8400,8400,0.9060477380952381,0.833,6997.2
2024-04-16,SH512720,7900,7900,0.970847696956295,0.894881300171075,7069.562271351493
2024-04-16,SH513100,1100,1100,6.737910454545455,6.465,7111.5
2024-04-16,SH515700,5200,5200,1.4626920384615385,1.433,7451.6
2024-04-16,SH515790,9100,9100,0.8409694505494505,0.789,7179.900000000001
2024-04-16,SH515880,6600,6600,1.1613375757575757,1.105,7293.0
2024-04-16,SH518880,1400,1400,5.181158928571429,5.452,7632.8
2024-04-16,SZ159740,16500,16500,0.4665360303030303,0.442,7293.0
2024-04-16,SZ159915,4300,4300,1.7820527906976742,1.713,7365.900000000001
2024-04-16,SZ159985,3500,3500,2.140497571428571,2.19,7665.0
2024-04-16,SZ159992,11000,11000,0.6998040454545453,0.658,7238.0
2024-04-17,SH510150,1400,1400,5.146141428571428,5.11,7154.0
2024-04-17,SH510300,1800,1800,4.276047255229505,4.286818865535026,7716.273957963047
2024-04-17,SH512660,8400,8400,0.9060477380952381,0.862,7240.8
2024-04-17,SH512720,7900,7900,0.970847696956295,0.9246006053428082,7304.344782208184
2024-04-17,SH513100,1100,1100,6.737910454545455,6.46,7106.0
2024-04-17,SH515700,5200,5200,1.4626920384615385,1.468,7633.599999999999
2024-04-17,SH515790,9100,9100,0.8409694505494505,0.809,7361.900000000001
2024-04-17,SH515880,6600,6600,1.1613375757575757,1.154,7616.4
2024-04-17,SH518880,1400,1400,5.181158928571429,5.461,7645.400000000001
2024-04-17,SZ159740,16500,16500,0.4665360303030303,0.445,7342.5
2024-04-17,SZ159915,4300,4300,1.7820527906976742,1.747,7512.1
2024-04-17,SZ159985,3500,3500,2.140497571428571,2.125,7437.5
2024-04-17,SZ159992,11000,11000,0.6998040454545453,0.671,7381.0
2024-04-18,SH510150,1400,1400,5.146141428571428,5.11,7154.0
2024-04-18,SH510300,1800,1800,4.276047255229505,4.294058075552817,7729.304535995071
2024-04-18,SH512660,8400,8400,0.9060477380952381,0.866,7274.4
2024-04-18,SH512720,7900,7900,0.970847696956295,0.9179963153046453,7252.170890906698
2024-04-18,SH513100,1100,1100,6.737910454545455,6.444999999999999,7089.499999999999
2024-04-18,SH515700,5200,5200,1.4626920384615385,1.476,7675.2
2024-04-18,SH515790,9100,9100,0.8409694505494505,0.805,7325.5
2024-04-18,SH515880,6600,6600,1.1613375757575757,1.155,7623.0
2024-04-18,SH518880,1400,1400,5.181158928571429,5.445,7623.0
2024-04-18,SZ159740,16500,16500,0.4665360303030303,0.446,7359.0
2024-04-18,SZ159915,4300,4300,1.7820527906976742,1.738,7473.4
2024-04-18,SZ159985,3500,3500,2.140497571428571,2.142,7497.0
2024-04-18,SZ159992,11000,11000,0.6998040454545453,0.666,7326.0
2024-04-19,SH510150,1400,1400,5.146141428571428,5.07,7098.0
2024-04-19,SH510300,1800,1800,4.276047255229505,4.260275095469794,7668.495171845629
2024-04-19,SH512660,8400,8400,0.9060477380952381,0.877,7366.8
2024-04-19,SH512720,7900,7900,0.970847696956295,0.8959820151774356,7078.257919901741
2024-04-19,SH513100,1100,1100,6.737910454545455,6.32,6952.0
2024-04-19,SH515700,5200,5200,1.4626920384615385,1.443,7503.6
2024-04-19,SH515790,9100,9100,0.8409694505494505,0.782,7116.2
2024-04-19,SH515880,6600,6600,1.1613375757575757,1.13,7457.999999999999
2024-04-19,SH518880,1400,1400,5.181158928571429,5.471,7659.400000000001
2024-04-19,SZ159740,16500,16500,0.4665360303030303,0.436,7194.0
2024-04-19,SZ159915,4300,4300,1.7820527906976742,1.705,7331.5
2024-04-19,SZ159985,3500,3500,2.140497571428571,2.163,7570.499999999999
2024-04-19,SZ159992,11000,11000,0.6998040454545453,0.655,7205.0
2024-04-22,SH510150,1400,1400,5.146141428571428,5.11,7154.0
2024-04-22,SH510300,1800,1800,4.276047255229505,4.251829350449038,7653.292830808267
2024-04-22,SH512660,8400,8400,0.9060477380952381,0.89,7476.0
2024-04-22,SH512720,7900,7900,0.970847696956295,0.8959820151774356,7078.257919901741
2024-04-22,SH513100,1100,1100,6.737910454545455,6.28,6908.0
2024-04-22,SH515700,5200,5200,1.4626920384615385,1.428,7425.599999999999
2024-04-22,SH515790,9100,9100,0.8409694505494505,0.786,7152.6
2024-04-22,SH515880,6600,6600,1.1613375757575757,1.104,7286.400000000001
2024-04-22,SH518880,1400,1400,5.181158928571429,5.364,7509.599999999999
2024-04-22,SZ159740,16500,16500,0.4665360303030303,0.444,7326.0
2024-04-22,SZ159915,4300,4300,1.7820527906976742,1.703,7322.900000000001
2024-04-22,SZ159985,3500,3500,2.140497571428571,2.156,7546.000000000001
2024-04-22,SZ159992,11000,11000,0.6998040454545453,0.661,7271.0
2024-04-23,SH510150,1400,1400,5.146141428571428,5.13,7182.0
2024-04-23,SH510300,1800,1800,4.276047255229505,4.22166597537491,7598.998755674838
2024-04-23,SH512660,8400,8400,0.9060477380952381,0.875,7350.0
2024-04-23,SH512720,7900,7900,0.970847696956295,0.8893777251392727,7026.084028600254
2024-04-23,SH513100,1100,1100,6.737910454545455,6.295,6924.5
2024-04-23,SH515700,5200,5200,1.4626920384615385,1.408,7321.599999999999
2024-04-23,SH515790,9100,9100,0.8409694505494505,0.777,7070.7
2024-04-23,SH515880,6600,6600,1.1613375757575757,1.099,7253.4
2024-04-23,SH518880,1400,1400,5.181158928571429,5.232,7324.8
2024-04-23,SZ159740,16500,16500,0.4665360303030303,0.456,7524.0
2024-04-23,SZ159915,4300,4300,1.7820527906976742,1.705,7331.5
2024-04-23,SZ159985,3500,3500,2.140497571428571,2.167,7584.499999999999
2024-04-23,SZ159992,11000,11000,0.6998040454545453,0.666,7326.0
2024-04-24,SH510150,1400,1400,5.146141428571428,5.13,7182.0
2024-04-24,SH510300,1800,1800,4.276047255229505,4.238557465416421,7629.403437749558
2024-04-24,SH512660,8400,8400,0.9060477380952381,0.893,7501.2
2024-04-24,SH512720,7900,7900,0.970847696956295,0.9179963153046453,7252.170890906698
2024-04-24,SH513100,1100,1100,6.737910454545455,6.444999999999999,7089.499999999999
2024-04-24,SH515700,5200,5200,1.4626920384615385,1.404,7300.799999999999
2024-04-24,SH515790,9100,9100,0.8409694505494505,0.769,6997.900000000001
2024-04-24,SH515880,6600,6600,1.1613375757575757,1.143,7543.8
2024-04-24,SH518880,1400,1400,5.181158928571429,5.287,7401.8
2024-04-24,SZ159740,16500,16500,0.4665360303030303,0.473,7804.5
2024-04-24,SZ159915,4300,4300,1.7820527906976742,1.719,7391.700000000001
2024-04-24,SZ159985,3500,3500,2.140497571428571,2.19,7665.0
2024-04-24,SZ159992,11000,11000,0.6998040454545453,0.663,7293.0
2024-04-25,SH510150,1400,1400,5.146141428571428,5.140000000000001,7196.000000000001
2024-04-25,SH510300,1800,1800,4.276047255229505,4.250622815446072,7651.12106780293
2024-04-25,SH512660,8400,8400,0.9060477380952381,0.883,7417.2
2024-04-25,SH512720,7900,7900,0.970847696956295,0.9080898802474009,7173.910053954467
2024-04-25,SH513100,1100,1100,6.737910454545455,6.34,6974.0
2024-04-25,SH515700,5200,5200,1.4626920384615385,1.41,7332.0
2024-04-25,SH515790,9100,9100,0.8409694505494505,0.767,6979.7
2024-04-25,SH515880,6600,6600,1.1613375757575757,1.124,7418.400000000001
2024-04-25,SH518880,1400,1400,5.181158928571429,5.288,7403.200000000001
2024-04-25,SZ159740,16500,16500,0.4665360303030303,0.47,7755.0
2024-04-25,SZ159915,4300,4300,1.7820527906976742,1.716,7378.8
2024-04-25,SZ159985,3500,3500,2.140497571428571,2.182,7637.0
2024-04-25,SZ159992,11000,11000,0.6998040454545453,0.671,7381.0
2024-04-26,SH510150,1400,1400,5.146141428571428,5.23,7322.000000000001
2024-04-26,SH510300,1800,1800,4.276047255229505,4.310949565594328,7759.70921806979
2024-04-26,SH512660,8400,8400,0.9060477380952381,0.892,7492.8
2024-04-26,SH512720,7900,7900,0.970847696956295,0.9411113304382155,7434.779510461903
