order_id,trade_date,symbol,side,execution,requested_shares,filled_shares,unfilled_shares,price,gross_value,commission,tax,reason
1,2024-04-01,SH515880,buy,open,28700,28700,0,1.16058,33308.646,9.9925938,0.0,filled
2,2024-04-01,SH512720,buy,open,34300,34300,0,0.97021478556389,33278.367144841424,9.983510143452426,0.0,filled
3,2024-04-01,SZ159985,buy,open,15500,15500,0,2.1390689999999997,33155.5695,9.946670849999999,0.0,filled
4,2024-05-06,SH512720,sell,open,34300,34300,0,0.9659445616967146,33131.89846619731,9.93956953985919,0.0,filled
5,2024-05-06,SH515880,sell,open,28700,28700,0,1.2103945,34738.32215,10.421496645,0.0,filled
6,2024-05-06,SH518880,buy,open,9800,9800,0,5.226612,51220.797600000005,15.36623928,0.0,filled
7,2024-05-06,SZ159985,buy,open,7400,7400,0,2.24112,16584.288,5.0,0.0,filled
8,2024-06-03,SH518880,sell,open,9800,9800,0,5.3163405,52100.1369,15.630041069999997,0.0,filled
9,2024-06-03,SZ159985,sell,open,7500,7500,0,2.2308840000000005,16731.630000000005,5.019489000000001,0.0,filled
10,2024-06-03,SZ159740,buy,open,68900,68900,0,0.50025,34467.225,10.340167499999998,0.0,filled
11,2024-06-03,SH513100,buy,open,5000,5000,0,6.798397499999999,33991.987499999996,10.197596249999998,0.0,filled
12,2024-07-01,SZ159740,sell,open,68900,68900,0,0.47476250000000003,32711.136250000003,9.813340875,0.0,filled
13,2024-07-01,SZ159985,sell,open,15400,15400,0,2.168915,33401.291000000005,10.020387300000001,0.0,filled
14,2024-07-01,SH513100,buy,open,2000,2000,0,7.338667500000001,14677.335000000001,5.0,0.0,filled
15,2024-07-01,SH515880,buy,open,44000,44000,0,1.1755875,51725.85,15.517754999999998,0.0,filled
16,2024-08-01,SH513100,sell,open,7000,7000,0,7.311342500000001,51179.39750000001,15.35381925,0.0,filled
17,2024-08-01,SH515880,sell,open,44000,44000,0,1.157421,50926.524000000005,15.2779572,0.0,filled
18,2024-08-01,SH518880,buy,open,9300,9300,0,5.5037505,51184.879649999995,15.355463894999998,0.0,filled
19,2024-08-01,SH512660,buy,open,55700,55600,100,0.918459,51066.320400000004,15.31989612,0.0,partial_volume_or_cash
20,2024-09-02,SH512660,sell,open,55600,55600,0,0.83958,46680.648,14.0041944,0.0,filled
21,2024-09-02,SH518880,buy,open,8400,8400,0,5.5077525,46265.121,13.879536299999998,0.0,filled
22,2024-10-08,SH518880,sell,open,17700,17700,0,5.679159,100521.1143,30.156334289999997,0.0,filled
23,2024-10-08,SZ159740,buy,open,47600,47600,0,0.7063529999999999,33622.402799999996,10.086720839999998,0.0,filled
24,2024-10-08,SH515700,buy,open,19200,19200,0,1.746873,33539.961599999995,10.061988479999998,0.0,filled
25,2024-10-08,SZ159985,buy,open,17200,17200,0,1.9529759999999998,33591.1872,10.077356159999999,0.0,filled
26,2024-11-01,SH515700,sell,open,19200,19200,0,1.5722135,30186.4992,9.055949759999999,0.0,filled
27,2024-11-01,SZ159740,sell,open,47600,0,47600,,0.0,0.0,0.0,paused
28,2024-11-01,SZ159985,sell,open,17200,0,17200,,0.0,0.0,0.0,paused
29,2024-11-01,SH512720,buy,open,27200,27000,200,1.1221894057770756,30299.11395598104,9.089734186794312,0.0,partial_volume_or_cash
30,2024-11-01,SZ159915,buy,open,14500,0,14500,,0.0,0.0,0.0,paused
31,2024-11-01,SH515880,buy,open,21900,0,21900,,0.0,0.0,0.0,insufficient_cash
32,2024-12-02,SH512720,sell,open,1400,1400,0,1.2112812783918938,1695.7937897486513,5.0,0.0,filled
33,2024-12-02,SZ159740,sell,open,47600,47600,0,0.587706,27974.805599999996,8.392441679999997,0.0,filled
34,2024-12-02,SZ159985,sell,open,17200,17200,0,1.889055,32491.746,9.7475238,0.0,filled
35,2024-12-02,SH515700,buy,open,18400,18400,0,1.6888439999999998,31074.729599999995,9.322418879999997,0.0,filled
36,2024-12-02,SH513100,buy,open,4000,4000,0,7.70385,30815.4,9.24462,0.0,filled
37,2025-01-02,SH512720,sell,open,25600,25600,0,1.1507722227047419,29459.768901241394,8.837930670372417,0.0,filled
38,2025-01-02,SH513100,sell,open,300,300,0,8.1209375,2436.28125,5.0,0.0,filled
39,2025-01-02,SH515700,sell,open,18400,18400,0,1.5792100000000002,29057.464000000004,8.7172392,0.0,filled
40,2025-01-02,SZ159740,buy,open,51100,51100,0,0.5952974999999999,30419.702249999995,9.125910674999998,0.0,filled
41,2025-01-02,SH518880,buy,open,5000,5000,0,5.977987499999999,29889.937499999996,8.966981249999998,0.0,filled
42,2025-02-05,SZ159740,sell,open,51100,51100,0,0.6606695,33760.21145,10.128063435,0.0,filled
43,2025-02-05,SZ159985,buy,open,16300,16300,0,1.9689839999999998,32094.439199999997,9.628331759999998,0.0,filled
44,2025-02-05,SH513100,buy,open,200,200,0,8.0890425,1617.8084999999999,5.0,0.0,filled
45,2025-03-03,SH513100,sell,open,3900,3900,0,7.636180000000001,29781.102000000006,8.934330600000001,0.0,filled
46,2025-03-03,SH518880,sell,open,5000,5000,0,6.441777500000001,32208.887500000004,9.662666250000001,0.0,filled
47,2025-03-03,SZ159985,sell,open,16300,16300,0,2.0009989999999998,32616.283699999996,9.784885109999998,0.0,filled
48,2025-03-03,SZ159740,buy,open,41800,41800,0,0.76038,31783.884,9.535165199999998,0.0,filled
49,2025-03-03,SH512720,buy,open,24800,24800,0,1.2840754142650346,31845.070273772857,9.553521082131857,0.0,filled
50,2025-03-03,SH515700,buy,open,18000,18000,0,1.7648819999999998,31767.875999999997,9.530362799999999,0.0,filled
51,2025-04-01,SH512720,sell,open,24800,24800,0,1.2101811137430365,30012.491620827306,9.00374748624819,0.0,filled
52,2025-04-01,SH515700,sell,open,18000,18000,0,1.691154,30440.772,9.132231599999999,0.0,filled
53,2025-04-01,SZ159740,sell,open,41800,41800,0,0.7346325,30707.6385,9.21229155,0.0,filled
54,2025-04-01,SH518880,buy,open,4300,4300,0,7.0685325,30394.689749999998,9.118406924999999,0.0,filled
55,2025-04-01,SZ159992,buy,open,41000,41000,0,0.7413704999999999,30396.190499999997,9.118857149999998,0.0,filled
56,2025-04-01,SH510150,buy,open,5700,5600,100,5.32266,29806.896,8.9420688,0.0,partial_volume_or_cash
57,2025-05-06,SH510150,sell,open,5600,5600,0,5.247375,29385.3,8.815589999999998,0.0,filled
58,2025-05-06,SZ159992,sell,open,41000,41000,0,0.7366315,30201.8915,9.060567449999999,0.0,filled
59,2025-05-06,SH518880,buy,open,1800,1800,0,7.599798,13679.6364,5.0,0.0,filled
60,2025-05-06,SZ159985,buy,open,24200,24200,0,1.9129559999999999,46293.5352,13.888060559999998,0.0,filled
61,2025-06-03,SH518880,sell,open,6100,6100,0,7.497249500000001,45733.22195000001,13.719966585,0.0,filled
62,2025-06-03,SZ159985,sell,open,24200,24200,0,1.917041,46392.3922,13.91771766,0.0,filled
63,2025-06-03,SH513100,buy,open,3900,3900,0,7.838917499999999,30571.778249999996,9.171533474999999,0.0,filled
64,2025-06-03,SH515880,buy,open,25000,25000,0,1.230615,30765.375,9.2296125,0.0,filled
65,2025-06-03,SZ159992,buy,open,39200,39200,0,0.784392,30748.1664,9.224449919999998,0.0,filled
66,2025-07-01,SH515880,sell,open,2200,2200,0,1.4442775,3177.4105000000004,5.0,0.0,filled
67,2025-07-01,SZ159992,buy,open,2400,2400,0,0.794397,1906.5528,5.0,0.0,filled
68,2025-07-01,SH513100,buy,open,100,100,0,8.159077499999999,815.9077499999999,5.0,0.0,filled
69,2025-08-01,SH513100,sell,open,4000,4000,0,8.365815,33463.259999999995,10.038977999999998,0.0,filled
70,2025-08-01,SH515880,sell,open,1300,1300,0,1.7191400000000001,2234.882,5.0,0.0,filled
71,2025-08-01,SZ159992,sell,open,1200,1200,0,0.917541,1101.0492000000002,5.0,0.0,filled
72,2025-08-01,SH515790,buy,open,51800,51800,0,0.7163579999999999,37107.344399999994,11.132203319999997,0.0,filled
73,2025-09-01,SH515790,sell,open,51800,51800,0,0.831584,43076.0512,12.92281536,0.0,filled
74,2025-09-01,SH515880,sell,open,3800,3800,0,2.5837075,9818.0885,5.0,0.0,filled
75,2025-09-01,SZ159992,sell,open,40400,40400,0,0.9575210000000001,38683.8484,11.60515452,0.0,filled
76,2025-09-01,SZ159915,buy,open,15900,15900,0,2.8814399999999996,45814.89599999999,13.744468799999996,0.0,filled
77,2025-09-01,SH512720,buy,open,31800,31800,0,1.4393538305698115,45771.45181212,13.731435543636,0.0,filled
78,2025-10-09,SH512720,sell,open,31800,31800,0,1.4665194769267886,46635.31936627188,13.990595809881562,0.0,filled
79,2025-10-09,SZ159915,sell,open,800,800,0,3.2153915000000004,2572.3132000000005,5.0,0.0,filled
80,2025-10-09,SH515700,buy,open,19000,19000,0,2.5482735,48417.1965,14.525158949999998,0.0,filled
81,2025-10-09,SH515880,buy,open,200,200,0,2.7043514999999996,540.8702999999999,5.0,0.0,filled
82,2025-11-03,SH515880,sell,open,17900,17900,0,2.6816585,48001.687150000005,14.400506145,0.0,filled
83,2025-11-03,SZ159915,sell,open,15100,15100,0,3.150424,47571.4024,14.271420719999998,0.0,filled
84,2025-11-03,SH513100,buy,open,4800,4800,0,9.924959999999999,47639.80799999999,14.291942399999996,0.0,filled
85,2025-11-03,SH518880,buy,open,5400,5400,0,8.7473715,47235.8061,14.170741829999999,0.0,filled
86,2025-12-01,SH513100,sell,open,4800,4800,0,9.645175,46296.840000000004,13.889052,0.0,filled
87,2025-12-01,SH518880,sell,open,5400,5400,0,9.141427000000002,49363.70580000001,14.809111740000002,0.0,filled
88,2025-12-01,SZ159985,buy,open,23400,23400,0,2.02101,47291.634,14.187490199999997,0.0,filled
89,2025-12-01,SH515790,buy,open,49400,49400,0,0.9594794999999999,47398.287299999996,14.219486189999998,0.0,filled
90,2025-12-01,SH515700,buy,open,700,700,0,2.4022004999999997,1681.5403499999998,5.0,0.0,filled
91,2026-01-05,SH515700,sell,open,19700,19700,0,2.502748,49304.1356,14.79124068,0.0,filled
92,2026-01-05,SH515790,sell,open,49400,49400,0,0.9655170000000001,47696.539800000006,14.30896194,0.0,filled
93,2026-01-05,SZ159985,sell,open,23400,23400,0,1.943028,45466.8552,13.640056559999998,0.0,filled
94,2026-01-05,SH515880,buy,open,15200,15200,0,3.1265625,47523.75,14.257124999999998,0.0,filled
95,2026-01-05,SH512660,buy,open,34100,34100,0,1.3936965,47525.05065,14.257515194999998,0.0,filled
96,2026-01-05,SH518880,buy,open,5000,5000,0,9.4257105,47128.5525,14.138565749999998,0.0,filled
97,2026-02-02,SH515880,sell,open,15200,15200,0,3.2853565000000002,49937.41880000001,14.98122564,0.0,filled
98,2026-02-02,SH518880,sell,open,5000,0,5000,,0.0,0.0,0.0,down_limit
99,2026-02-02,SH512660,buy,open,300,300,0,1.4447219999999998,433.41659999999996,5.0,0.0,filled
100,2026-02-02,SH512720,buy,open,34300,34300,0,1.449265218844585,49709.79700636926,14.912939101910778,0.0,filled
101,2026-02-02,SH515790,buy,open,46100,100,46000,1.0775385,107.75385,5.0,0.0,partial_volume_or_cash
102,2026-03-02,SH512660,sell,open,34400,34400,0,1.5982005000000001,54978.097200000004,16.493429159999998,0.0,filled
103,2026-03-02,SH512720,sell,open,34300,34300,0,1.4434160193007852,49509.16946201694,14.852750838605079,0.0,filled
104,2026-03-02,SH518880,sell,open,300,300,0,11.362316000000002,3408.6948000000007,5.0,0.0,filled
105,2026-03-02,SH515790,buy,open,48000,48000,0,1.1195595,53738.856,16.1216568,0.0,filled
106,2026-03-02,SZ159985,buy,open,26600,26600,0,2.0240115,53838.70589999999,16.151611769999995,0.0,filled
107,2026-04-01,SH515790,sell,open,48100,48100,0,1.041479,50095.1399,15.02854197,0.0,filled
108,2026-04-01,SH518880,sell,open,4700,4700,0,9.945025,46741.6175,14.022485249999999,0.0,filled
109,2026-04-01,SZ159985,buy,open,10300,10300,0,2.0590289999999998,21207.998699999996,6.362399609999998,0.0,filled
110,2026-04-01,SH515880,buy,open,23000,23000,0,3.2986484999999997,75868.91549999999,22.760674649999995,0.0,filled
111,2026-05-06,SH515880,sell,open,8800,8800,0,4.029984000000001,35463.859200000006,10.639157760000002,0.0,filled
