order_id,trade_date,symbol,side,execution,requested_shares,filled_shares,unfilled_shares,price,gross_value,commission,tax,reason
1,2020-08-17,SH511010,buy,open,500,500,0,122.85844119447307,61429.220597236534,18.428766179170957,0.0,filled
2,2020-08-17,SZ163412,buy,open,7200,7200,0,5.7778875,41600.79,12.480236999999999,0.0,filled
3,2020-08-17,SZ161005,buy,open,5300,5300,0,6.145071,32568.8763,9.770662889999999,0.0,filled
4,2020-08-17,SH513100,buy,open,5000,5000,0,4.060028999999999,20300.144999999997,6.090043499999998,0.0,filled
5,2020-08-17,SH513500,buy,open,5800,5800,0,2.2121055,12830.211899999998,5.0,0.0,filled
6,2020-08-17,SZ159928,buy,open,2700,2700,0,4.46223,12048.021,5.0,0.0,filled
7,2020-08-17,SH512010,buy,open,2400,2400,0,2.809404,6742.5696,5.0,0.0,filled
8,2020-08-17,SH518880,buy,open,1200,1200,0,4.094046,4912.8552,5.0,0.0,filled
9,2020-08-21,SH512010,sell,open,200,200,0,2.7896045000000003,557.9209000000001,5.0,0.0,filled
10,2020-08-21,SH513100,sell,open,400,400,0,4.1429275,1657.171,5.0,0.0,filled
11,2020-08-21,SH513500,sell,open,200,200,0,2.200899,440.17980000000006,5.0,0.0,filled
12,2020-08-21,SH518880,sell,open,300,300,0,4.086955500000001,1226.0866500000004,5.0,0.0,filled
13,2020-08-21,SZ159928,sell,open,200,200,0,4.459769,891.9537999999999,5.0,0.0,filled
14,2020-08-21,SZ161005,sell,open,400,400,0,6.1159405,2446.3761999999997,5.0,0.0,filled
15,2020-08-21,SZ163412,sell,open,600,600,0,5.7621175,3457.2704999999996,5.0,0.0,filled
16,2020-08-21,SH511010,buy,open,100,100,0,122.63566976891647,12263.566976891647,5.0,0.0,filled
17,2020-08-28,SH513100,sell,open,2600,2600,0,4.687655,12187.903,5.0,0.0,filled
18,2020-08-28,SZ163412,buy,open,400,400,0,5.8199084999999995,2327.9633999999996,5.0,0.0,filled
19,2020-08-28,SZ161005,buy,open,600,600,0,6.202099499999999,3721.2596999999996,5.0,0.0,filled
20,2020-08-28,SH513500,buy,open,400,400,0,2.289144,915.6575999999999,5.0,0.0,filled
21,2020-08-28,SH512010,buy,open,100,100,0,2.8494239999999995,284.94239999999996,5.0,0.0,filled
