trade_date,symbol,shares,available_shares,average_cost,close,market_value
2020-08-17,SH511010,200,0,122.89529872683141,122.89723971611551,24579.447943223102
2020-08-17,SH512010,8900,0,2.8102468212,2.848,25347.199999999997
2020-08-17,SH513100,6100,0,4.061247008699999,4.063,24784.3
2020-08-17,SH513500,11300,0,2.21276913165,2.212,24995.600000000002
2020-08-17,SH518880,6100,0,4.0952742138,4.129,25186.899999999998
2020-08-17,SZ159928,5600,0,4.463568669000001,4.49,25144.0
2020-08-17,SZ161005,4000,0,6.1469145213,6.18,24720.0
2020-08-17,SZ163412,4300,0,5.779620866250001,5.83,25069.0
2020-08-18,SH511010,200,200,122.89529872683141,122.97618284088684,24595.236568177366
2020-08-18,SH512010,8900,8900,2.8102468212,2.888,25703.2
2020-08-18,SH513100,6100,6100,4.061247008699999,4.059,24759.9
2020-08-18,SH513500,11300,11300,2.21276913165,2.209,24961.7
2020-08-18,SH518880,6100,6100,4.0952742138,4.225,25772.499999999996
2020-08-18,SZ159928,5600,5600,4.463568669000001,4.556,25513.6
2020-08-18,SZ161005,4000,4000,6.1469145213,6.182,24728.0
2020-08-18,SZ163412,4300,4300,5.779620866250001,5.833,25081.9
2020-08-19,SH511010,200,200,122.89529872683141,122.85776815372985,24571.55363074597
2020-08-19,SH512010,8900,8900,2.8102468212,2.787,24804.3
2020-08-19,SH513100,6100,6100,4.061247008699999,4.111,25077.1
2020-08-19,SH513500,11300,11300,2.21276913165,2.222,25108.6
2020-08-19,SH518880,6100,6100,4.0952742138,4.177,25479.699999999997
2020-08-19,SZ159928,5600,5600,4.463568669000001,4.538,25412.800000000003
2020-08-19,SZ161005,4000,4000,6.1469145213,6.157,24628.0
2020-08-19,SZ163412,4300,4300,5.779620866250001,5.801,24944.3
2020-08-20,SH511010,200,200,122.89529872683141,122.58652767374633,24517.305534749266
2020-08-20,SH512010,8900,8900,2.8102468212,2.771,24661.899999999998
2020-08-20,SH513100,6100,6100,4.061247008699999,4.106,25046.6
2020-08-20,SH513500,11300,11300,2.21276913165,2.196,24814.800000000003
2020-08-20,SH518880,6100,6100,4.0952742138,4.088,24936.8
2020-08-20,SZ159928,5600,5600,4.463568669000001,4.46,24976.0
2020-08-20,SZ161005,4000,4000,6.1469145213,6.108,24432.0
2020-08-20,SZ163412,4300,4300,5.779620866250001,5.756,24750.8
2020-08-21,SH511010,200,200,122.89529872683141,122.60879368329722,24521.758736659445
2020-08-21,SH512010,8900,8900,2.8102468212,2.79,24831.0
2020-08-21,SH513100,6000,6000,4.061247008699999,4.21,25260.0
2020-08-21,SH513500,11300,11300,2.21276913165,2.206,24927.8
2020-08-21,SH518880,6100,6100,4.0952742138,4.091,24955.100000000002
2020-08-21,SZ159928,5600,5600,4.463568669000001,4.515,25284.0
2020-08-21,SZ161005,4000,4000,6.1469145213,6.129,24516.0
2020-08-21,SZ163412,4300,4300,5.779620866250001,5.788,24888.4
2020-08-24,SH511010,200,200,122.89529872683141,122.58450349105989,24516.90069821198
2020-08-24,SH512010,8900,8900,2.8102468212,2.806,24973.4
2020-08-24,SH513100,6000,6000,4.061247008699999,4.391,26346.0
2020-08-24,SH513500,11300,11300,2.21276913165,2.227,25165.1
2020-08-24,SH518880,6100,6100,4.0952742138,4.056,24741.6
2020-08-24,SZ159928,5600,5600,4.463568669000001,4.612,25827.2
2020-08-24,SZ161005,4000,4000,6.1469145213,6.193,24772.0
2020-08-24,SZ163412,4300,4300,5.779620866250001,5.854,25172.2
2020-08-25,SH511010,200,200,122.89529872683141,122.32743228988147,24465.486457976294
2020-08-25,SH512010,8900,8900,2.8102468212,2.82,25098.0
2020-08-25,SH513100,6000,6000,4.061247008699999,4.591,27546.0
2020-08-25,SH513500,11300,11300,2.21276913165,2.284,25809.199999999997
2020-08-25,SH518880,6100,6100,4.0952742138,4.064,24790.4
2020-08-25,SZ159928,5600,5600,4.463568669000001,4.663,26112.800000000003
2020-08-25,SZ161005,4000,4000,6.1469145213,6.214,24856.0
2020-08-25,SZ163412,4300,4300,5.779620866250001,5.853,25167.899999999998
2020-08-26,SH511010,200,200,122.89529872683141,122.2049692373516,24440.99384747032
2020-08-26,SH512010,8900,8900,2.8102468212,2.827,25160.3
2020-08-26,SH513100,6000,6000,4.061247008699999,4.503,27018.0
2020-08-26,SH513500,11300,11300,2.21276913165,2.259,25526.699999999997
2020-08-26,SH518880,6100,6100,4.0952742138,4.059,24759.9
2020-08-26,SZ159928,5600,5600,4.463568669000001,4.647,26023.2
2020-08-26,SZ161005,4000,4000,6.1469145213,6.189,24756.0
2020-08-26,SZ163412,4300,4300,5.779620866250001,5.823,25038.9
2020-08-27,SH511010,200,200,122.89529872683141,121.94182548811385,24388.36509762277
2020-08-27,SH512010,8900,8900,2.8102468212,2.85,25365.0
2020-08-27,SH513100,6000,6000,4.061247008699999,4.697,28182.0
2020-08-27,SH513500,11300,11300,2.21276913165,2.289,25865.7
2020-08-27,SH518880,6100,6100,4.0952742138,4.108,25058.8
2020-08-27,SZ159928,5600,5600,4.463568669000001,4.715,26404.0
2020-08-27,SZ161005,4000,4000,6.1469145213,6.203,24812.0
2020-08-27,SZ163412,4300,4300,5.779620866250001,5.817,25013.100000000002
2020-08-28,SH511010,200,200,122.89529872683141,121.85883399796965,24371.76679959393
2020-08-28,SH512010,9000,8900,2.811237678742222,2.944,26496.0
2020-08-28,SH513100,5500,5500,4.061247008699999,4.797,26383.5
2020-08-28,SH513500,11200,11200,2.21276913165,2.306,25827.2
2020-08-28,SH518880,6300,6100,4.0957112546317465,4.109,25886.7
