trade_date,symbol,shares,available_shares,average_cost,close,market_value
2014-06-04,SH511010,100,0,100.31938807891507,100.6815364787594,10068.153647875939
2014-06-04,SH513100,4100,0,1.236219512195122,1.233,5055.3
2014-06-04,SH513500,5400,0,1.0699259259259257,1.073,5794.2
2014-06-04,SH518880,1200,0,2.515166666666667,2.514,3016.7999999999997
2014-06-04,SZ159928,10500,0,0.8914761904761904,0.892,9366.0
2014-06-04,SZ161005,16500,0,3.2519753,3.225,53212.5
2014-06-04,SZ163412,1600,0,1.639125,1.62,2592.0
2014-06-05,SH511010,100,100,100.31938807891507,100.06983204103425,10006.983204103424
2014-06-05,SH513100,4100,4100,1.236219512195122,1.242,5092.2
2014-06-05,SH513500,5400,5400,1.0699259259259257,1.075,5805.0
2014-06-05,SH518880,1200,1200,2.515166666666667,2.51,3011.9999999999995
2014-06-05,SZ159928,10500,10500,0.8914761904761904,0.902,9471.0
2014-06-05,SZ161005,16500,16500,3.2519753,3.225,53212.5
2014-06-05,SZ163412,1600,1600,1.639125,1.647,2635.2
2014-06-06,SH511010,100,100,100.31938807891507,100.14103042640882,10014.103042640882
2014-06-06,SH513100,6100,4100,1.2422131147540985,1.255,7655.499999999999
2014-06-06,SH513500,7400,5400,1.074135135135135,1.084,8021.6
2014-06-06,SH518880,1400,1200,2.519714285714286,2.53,3541.9999999999995
2014-06-06,SZ159928,11100,10500,0.8923873873873874,0.896,9945.6
2014-06-06,SZ161005,16500,16500,3.2519753,3.226,53229.0
2014-06-06,SZ163412,1600,1600,1.639125,1.652,2643.2
2014-06-09,SH511010,100,100,100.31938807891507,100.176128222016,10017.6128222016
2014-06-09,SH513100,6100,6100,1.2422131147540985,1.256,7661.6
2014-06-09,SH513500,7400,7400,1.074135135135135,1.086,8036.400000000001
2014-06-09,SH518880,1400,1400,2.519714285714286,2.522,3530.7999999999997
2014-06-09,SZ159928,11100,11100,0.8923873873873874,0.894,9923.4
2014-06-09,SZ161005,16500,16500,3.2519753,3.228,53262.0
2014-06-09,SZ163412,1600,1600,1.639125,1.633,2612.8
2014-06-10,SH511010,100,100,100.31938807891507,100.1570751329721,10015.70751329721
2014-06-10,SH513100,6100,6100,1.2422131147540985,1.249,7618.900000000001
2014-06-10,SH513500,7400,7400,1.074135135135135,1.084,8021.6
2014-06-10,SH518880,1400,1400,2.519714285714286,2.521,3529.4
2014-06-10,SZ159928,11100,11100,0.8923873873873874,0.901,10001.1
2014-06-10,SZ161005,16500,16500,3.2519753,3.233,53344.5
2014-06-10,SZ163412,1600,1600,1.639125,1.657,2651.2
2014-06-11,SH511010,100,100,100.31938807891507,100.23930425410892,10023.930425410892
2014-06-11,SH513100,6100,6100,1.2422131147540985,1.255,7655.499999999999
2014-06-11,SH513500,7400,7400,1.074135135135135,1.082,8006.8
2014-06-11,SH518880,1400,1400,2.519714285714286,2.53,3541.9999999999995
2014-06-11,SZ159928,11100,11100,0.8923873873873874,0.905,10045.5
2014-06-11,SZ161005,16500,16500,3.2519753,3.242,53493.0
2014-06-11,SZ163412,1600,1600,1.639125,1.674,2678.4
2014-06-12,SH511010,100,100,100.31938807891507,100.05779851111178,10005.779851111178
2014-06-12,SH513100,6100,6100,1.2422131147540985,1.248,7612.8
2014-06-12,SH513500,7400,7400,1.074135135135135,1.079,7984.599999999999
2014-06-12,SH518880,1400,1400,2.519714285714286,2.53,3541.9999999999995
2014-06-12,SZ159928,11100,11100,0.8923873873873874,0.905,10045.5
2014-06-12,SZ161005,16500,16500,3.2519753,3.258,53757.0
2014-06-12,SZ163412,1600,1600,1.639125,1.695,2712.0
2014-06-13,SH511010,100,100,100.31938807891507,100.01467836222297,10001.467836222297
2014-06-13,SH513100,7800,6100,1.242371794871795,1.241,9679.800000000001
2014-06-13,SH513500,10700,7400,1.0727102803738315,1.071,11459.699999999999
2014-06-13,SH518880,1600,1400,2.52625,2.544,4070.4
2014-06-13,SZ159928,10700,10700,0.8923873873873874,0.908,9715.6
2014-06-13,SZ161005,15000,15000,3.2519753,3.261,48915.0
2014-06-13,SZ163412,1400,1400,1.639125,1.724,2413.6
2014-06-16,SH511010,100,100,100.31938807891507,100.41479323214483,10041.479323214484
2014-06-16,SH513100,7800,7800,1.242371794871795,1.239,9664.2
2014-06-16,SH513500,10700,10700,1.0727102803738315,1.073,11481.1
2014-06-16,SH518880,1600,1600,2.52625,2.555,4088.0000000000005
2014-06-16,SZ159928,10700,10700,0.8923873873873874,0.913,9769.1
2014-06-16,SZ161005,15000,15000,3.2519753,3.27,49050.0
2014-06-16,SZ163412,1400,1400,1.639125,1.764,2469.6
2014-06-17,SH511010,100,100,100.31938807891507,100.20220087018133,10020.220087018133
2014-06-17,SH513100,7800,7800,1.242371794871795,1.243,9695.400000000001
2014-06-17,SH513500,10700,10700,1.0727102803738315,1.075,11502.5
2014-06-17,SH518880,1600,1600,2.52625,2.536,4057.6
2014-06-17,SZ159928,10700,10700,0.8923873873873874,0.902,9651.4
2014-06-17,SZ161005,15000,15000,3.2519753,3.254,48810.0
2014-06-17,SZ163412,1400,1400,1.639125,1.768,2475.2
2014-06-18,SH511010,100,100,100.31938807891507,100.215237194264,10021.523719426401
2014-06-18,SH513100,7800,7800,1.242371794871795,1.242,9687.6
2014-06-18,SH513500,10700,10700,1.0727102803738315,1.076,11513.2
2014-06-18,SH518880,1600,1600,2.52625,2.534,4054.3999999999996
2014-06-18,SZ159928,10700,10700,0.8923873873873874,0.899,9619.300000000001
2014-06-18,SZ161005,15000,15000,3.2519753,3.24,48600.0
2014-06-18,SZ163412,1400,1400,1.639125,1.749,2448.6000000000004
2014-06-19,SH511010,100,100,100.31938807891507,100.17913660449662,10017.913660449662
2014-06-19,SH513100,7800,7800,1.242371794871795,1.257,9804.599999999999
2014-06-19,SH513500,10700,10700,1.0727102803738315,1.09,11663.0
2014-06-19,SH518880,1600,1600,2.52625,2.556,4089.6
2014-06-19,SZ159928,10700,10700,0.8923873873873874,0.884,9458.8
2014-06-19,SZ161005,15000,15000,3.2519753,3.216,48240.0
2014-06-19,SZ163412,1400,1400,1.639125,1.69,2366.0
2014-06-20,SH511010,100,100,100.31938807891507,100.26838528475488,10026.838528475488
2014-06-20,SH513100,7900,7800,1.2431645569620253,1.254,9906.6
2014-06-20,SH513500,9600,9600,1.0727102803738315,1.091,10473.6
2014-06-20,SH518880,1500,1500,2.52625,2.627,3940.4999999999995
2014-06-20,SZ159928,11400,10700,0.8923723723723724,0.886,10100.4
2014-06-20,SZ161005,13500,13500,3.2519753,3.217,43429.5
2014-06-20,SZ163412,1400,1400,1.639125,1.689,2364.6
2014-06-23,SH511010,100,100,100.31938807891507,100.27841322635692,10027.841322635692
2014-06-23,SH513100,7900,7900,1.2431645569620253,1.256,9922.4
2014-06-23,SH513500,9600,9600,1.0727102803738315,1.092,10483.2
2014-06-23,SH518880,1500,1500,2.52625,2.637,3955.5
2014-06-23,SZ159928,11400,11400,0.8923723723723724,0.89,10146.0
2014-06-23,SZ161005,13500,13500,3.2519753,3.224,43524.0
2014-06-23,SZ163412,1400,1400,1.639125,1.719,2406.6
2014-06-24,SH511010,100,100,100.31938807891507,100.52409779560719,10052.40977956072
2014-06-24,SH513100,7900,7900,1.2431645569620253,1.256,9922.4
