order_id,trade_date,symbol,side,execution,requested_shares,filled_shares,unfilled_shares,price,gross_value,commission,tax,reason
1,2014-06-04,SZ161005,buy,open,16500,16500,0,3.251,53641.5,16.09245,0.0,filled
2,2014-06-04,SH511010,buy,open,100,100,0,100.26938807891507,10026.938807891507,5.0,0.0,filled
3,2014-06-04,SZ159928,buy,open,10500,10500,0,0.891,9355.5,5.0,0.0,filled
4,2014-06-04,SH513500,buy,open,5400,5400,0,1.069,5772.599999999999,5.0,0.0,filled
5,2014-06-04,SH513100,buy,open,4100,4100,0,1.235,5063.5,5.0,0.0,filled
6,2014-06-04,SH518880,buy,open,1200,1200,0,2.511,3013.2000000000003,5.0,0.0,filled
7,2014-06-04,SZ163412,buy,open,1600,1600,0,1.636,2617.6,5.0,0.0,filled
8,2014-06-06,SZ159928,buy,open,600,600,0,0.9,540.0,5.0,0.0,filled
9,2014-06-06,SH513500,buy,open,2000,2000,0,1.083,2166.0,5.0,0.0,filled
10,2014-06-06,SH513100,buy,open,2000,2000,0,1.252,2504.0,5.0,0.0,filled
11,2014-06-06,SH518880,buy,open,200,200,0,2.522,504.4,5.0,0.0,filled
12,2014-06-13,SZ159928,sell,open,400,400,0,0.903,361.2,5.0,0.0,filled
13,2014-06-13,SZ161005,sell,open,1500,1500,0,3.253,4879.5,5.0,0.0,filled
14,2014-06-13,SZ163412,sell,open,200,200,0,1.695,339.0,5.0,0.0,filled
15,2014-06-13,SH513500,buy,open,3300,3300,0,1.068,3524.4,5.0,0.0,filled
16,2014-06-13,SH513100,buy,open,1700,1700,0,1.24,2108.0,5.0,0.0,filled
17,2014-06-13,SH518880,buy,open,200,200,0,2.547,509.40000000000003,5.0,0.0,filled
18,2014-06-20,SH513500,sell,open,1100,1100,0,1.086,1194.6000000000001,5.0,0.0,filled
19,2014-06-20,SH518880,sell,open,100,100,0,2.611,261.1,5.0,0.0,filled
20,2014-06-20,SZ161005,sell,open,1500,1500,0,3.217,4825.5,5.0,0.0,filled
21,2014-06-20,SZ159928,buy,open,700,700,0,0.885,619.5,5.0,0.0,filled
22,2014-06-20,SH513100,buy,open,100,100,0,1.255,125.49999999999999,5.0,0.0,filled
23,2014-06-27,SH513100,sell,open,100,100,0,1.264,126.4,5.0,0.0,filled
24,2014-06-27,SH513500,sell,open,1200,1200,0,1.09,1308.0,5.0,0.0,filled
25,2014-06-27,SH518880,sell,open,300,300,0,2.584,775.2,5.0,0.0,filled
26,2014-06-27,SZ163412,sell,open,200,200,0,1.77,354.0,5.0,0.0,filled
27,2014-06-27,SZ161005,buy,open,600,600,0,3.241,1944.6000000000001,5.0,0.0,filled
28,2014-06-27,SZ159928,buy,open,2100,2100,0,0.909,1908.9,5.0,0.0,filled
29,2014-07-04,SZ159928,sell,open,900,900,0,0.925,832.5,5.0,0.0,filled
30,2014-07-04,SZ161005,sell,open,300,300,0,3.272,981.5999999999999,5.0,0.0,filled
31,2014-07-04,SH513100,buy,open,700,700,0,1.296,907.2,5.0,0.0,filled
32,2014-07-04,SH513500,buy,open,500,500,0,1.102,551.0,5.0,0.0,filled
33,2014-07-04,SH518880,buy,open,100,100,0,2.63,263.0,5.0,0.0,filled
34,2014-07-11,SH513100,sell,open,100,100,0,1.284,128.4,5.0,0.0,filled
35,2014-07-11,SZ161005,sell,open,200,200,0,3.259,651.8,5.0,0.0,filled
36,2014-07-11,SZ159928,buy,open,2100,2100,0,0.903,1896.3,5.0,0.0,filled
37,2014-07-11,SH513500,buy,open,300,300,0,1.095,328.5,5.0,0.0,filled
38,2014-07-11,SZ163412,buy,open,400,400,0,1.71,684.0,5.0,0.0,filled
39,2014-07-18,SH518880,sell,open,300,300,0,2.626,787.8,5.0,0.0,filled
40,2014-07-18,SZ159928,sell,open,2800,2800,0,0.93,2604.0,5.0,0.0,filled
41,2014-07-18,SZ161005,buy,open,1100,1100,0,3.256,3581.6,5.0,0.0,filled
42,2014-07-18,SH513500,buy,open,2800,2800,0,1.087,3043.6,5.0,0.0,filled
43,2014-07-18,SH513100,buy,open,700,700,0,1.282,897.4,5.0,0.0,filled
44,2014-07-18,SZ163412,buy,open,200,200,0,1.607,321.4,5.0,0.0,filled
45,2014-07-25,SH513100,sell,open,100,100,0,1.311,131.1,5.0,0.0,filled
46,2014-07-25,SH513500,sell,open,2100,2100,0,1.1,2310.0,5.0,0.0,filled
47,2014-07-25,SZ159928,sell,open,1100,1100,0,0.958,1053.8,5.0,0.0,filled
48,2014-07-25,SZ161005,buy,open,200,200,0,3.316,663.1999999999999,5.0,0.0,filled
49,2014-07-25,SZ163412,buy,open,300,300,0,1.575,472.5,5.0,0.0,filled
50,2014-07-25,SH518880,buy,open,300,300,0,2.58,774.0,5.0,0.0,filled
51,2014-08-01,SZ159928,sell,open,900,900,0,1.0,900.0,5.0,0.0,filled
52,2014-08-01,SZ161005,sell,open,2500,2500,0,3.336,8340.0,5.0,0.0,filled
53,2014-08-01,SZ163412,sell,open,100,100,0,1.618,161.8,5.0,0.0,filled
54,2014-08-01,SH513100,buy,open,1500,1500,0,1.283,1924.4999999999998,5.0,0.0,filled
55,2014-08-01,SH513500,buy,open,1200,1200,0,1.07,1284.0,5.0,0.0,filled
56,2014-08-08,SH513100,sell,open,300,300,0,1.278,383.40000000000003,5.0,0.0,filled
57,2014-08-08,SH513500,sell,open,1500,1500,0,1.068,1602.0,5.0,0.0,filled
58,2014-08-08,SZ159928,sell,open,600,600,0,0.996,597.6,5.0,0.0,filled
59,2014-08-08,SZ161005,buy,open,1200,1200,0,3.343,4011.6,5.0,0.0,filled
60,2014-08-08,SZ163412,buy,open,300,300,0,1.65,495.0,5.0,0.0,filled
61,2014-08-15,SH513100,sell,open,2100,2100,0,1.305,2740.5,5.0,0.0,filled
62,2014-08-15,SH513500,sell,open,1500,1500,0,1.084,1626.0,5.0,0.0,filled
63,2014-08-15,SZ159928,sell,open,100,100,0,1.008,100.8,5.0,0.0,filled
64,2014-08-15,SZ161005,buy,open,500,500,0,3.381,1690.5,5.0,0.0,filled
65,2014-08-15,SH518880,buy,open,400,400,0,2.599,1039.6000000000001,5.0,0.0,filled
66,2014-08-15,SZ163412,buy,open,400,400,0,1.63,652.0,5.0,0.0,filled
67,2014-08-22,SH513100,sell,open,700,700,0,1.334,933.8000000000001,5.0,0.0,filled
68,2014-08-22,SH513500,sell,open,100,100,0,1.102,110.2,5.0,0.0,filled
69,2014-08-22,SH518880,sell,open,100,100,0,2.543,254.3,5.0,0.0,filled
70,2014-08-22,SZ163412,sell,open,200,200,0,1.7,340.0,5.0,0.0,filled
71,2014-08-22,SZ159928,buy,open,100,100,0,1.03,103.0,5.0,0.0,filled
72,2014-08-29,SZ161005,sell,open,1200,1200,0,3.38,4056.0,5.0,0.0,filled
73,2014-08-29,SH511010,buy,open,100,100,0,100.20119807602113,10020.119807602114,5.0,0.0,filled
74,2014-08-29,SH513100,buy,open,1200,1200,0,1.34,1608.0,5.0,0.0,filled
75,2014-08-29,SH513500,buy,open,900,900,0,1.108,997.2,5.0,0.0,filled
76,2014-08-29,SZ159928,buy,open,100,100,0,1.0,100.0,5.0,0.0,filled
77,2014-08-29,SZ163412,buy,open,100,100,0,1.666,166.6,5.0,0.0,filled
78,2014-09-05,SH513100,sell,open,2200,2200,0,1.341,2950.2,5.0,0.0,filled
79,2014-09-05,SH513500,sell,open,2000,2000,0,1.11,2220.0,5.0,0.0,filled
80,2014-09-05,SH518880,sell,open,200,200,0,2.515,503.0,5.0,0.0,filled
81,2014-09-05,SZ159928,sell,open,2300,2300,0,1.05,2415.0,5.0,0.0,filled
82,2014-09-05,SZ161005,sell,open,2600,2600,0,3.428,8912.8,5.0,0.0,filled
83,2014-09-05,SZ163412,sell,open,700,700,0,1.769,1238.3,5.0,0.0,filled
84,2014-09-05,SH511010,buy,open,100,100,0,100.254346166512,10025.434616651199,5.0,0.0,filled
85,2014-09-12,SH513100,sell,open,1500,1500,0,1.346,2019.0000000000002,5.0,0.0,filled
86,2014-09-12,SH513500,sell,open,1700,1700,0,1.102,1873.4,5.0,0.0,filled
87,2014-09-12,SZ159928,sell,open,700,700,0,1.044,730.8000000000001,5.0,0.0,filled
88,2014-09-12,SZ161005,sell,open,2000,2000,0,3.439,6878.0,5.0,0.0,filled
89,2014-09-12,SZ163412,sell,open,200,200,0,1.773,354.59999999999997,5.0,0.0,filled
90,2014-09-12,SH511010,buy,open,200,200,0,100.21824557674461,20043.649115348922,6.013094734604676,0.0,filled
91,2014-09-19,SH511010,sell,open,200,200,0,100.80287457214423,20160.574914428846,6.048172474328653,0.0,filled
92,2014-09-19,SZ161005,buy,open,1200,1200,0,3.424,4108.8,5.0,0.0,filled
93,2014-09-19,SH513100,buy,open,1500,1500,0,1.34,2010.0000000000002,5.0,0.0,filled
94,2014-09-19,SH513500,buy,open,2200,2200,0,1.114,2450.8,5.0,0.0,filled
95,2014-09-19,SZ159928,buy,open,900,900,0,1.032,928.8000000000001,5.0,0.0,filled
96,2014-09-19,SH518880,buy,open,500,500,0,2.431,1215.5,5.0,0.0,filled
97,2014-09-19,SZ163412,buy,open,600,600,0,1.726,1035.6,5.0,0.0,filled
98,2014-09-26,SH511010,sell,open,100,100,0,100.82092486702793,10082.092486702793,5.0,0.0,filled
99,2014-09-26,SZ161005,buy,open,1800,1800,0,3.445,6201.0,5.0,0.0,filled
100,2014-09-26,SH513100,buy,open,500,500,0,1.314,657.0,5.0,0.0,filled
101,2014-09-26,SZ159928,buy,open,1000,1000,0,1.047,1047.0,5.0,0.0,filled
102,2014-09-26,SH518880,buy,open,300,300,0,2.418,725.4000000000001,5.0,0.0,filled
103,2014-09-26,SZ163412,buy,open,300,300,0,1.787,536.1,5.0,0.0,filled
104,2014-10-10,SH513100,sell,open,1800,1800,0,1.291,2323.7999999999997,5.0,0.0,filled
105,2014-10-10,SH513500,sell,open,2500,2500,0,1.079,2697.5,5.0,0.0,filled
106,2014-10-10,SZ161005,sell,open,200,200,0,3.51,702.0,5.0,0.0,filled
107,2014-10-10,SH511010,buy,open,100,100,0,101.41157062738877,10141.157062738877,5.0,0.0,filled
108,2014-10-10,SZ159928,buy,open,1800,1800,0,1.075,1935.0,5.0,0.0,filled
109,2014-10-10,SH518880,buy,open,100,100,0,2.433,243.29999999999998,5.0,0.0,filled
110,2014-10-17,SH511010,sell,open,100,100,0,102.58584258898902,10258.584258898902,5.0,0.0,filled
111,2014-10-17,SH513500,sell,open,600,600,0,1.05,630.0,5.0,0.0,filled
112,2014-10-17,SZ161005,buy,open,2900,2900,0,3.509,10176.1,5.0,0.0,filled
113,2014-10-17,SZ159928,buy,open,1100,1100,0,1.04,1144.0,5.0,0.0,filled
114,2014-10-17,SH513100,buy,open,500,500,0,1.266,633.0,5.0,0.0,filled
115,2014-10-17,SH518880,buy,open,100,100,0,2.449,244.89999999999998,5.0,0.0,filled
116,2014-10-17,SZ163412,buy,open,300,300,0,1.855,556.5,5.0,0.0,filled
117,2014-10-24,SH511010,sell,open,100,100,0,102.48556317296851,10248.55631729685,5.0,0.0,filled
118,2014-10-24,SH513100,sell,open,200,200,0,1.31,262.0,5.0,0.0,filled
119,2014-10-24,SH513500,sell,open,100,100,0,1.082,108.2,5.0,0.0,filled
120,2014-10-24,SZ161005,sell,open,400,400,0,3.449,1379.6,5.0,0.0,filled
121,2014-10-24,SZ159928,buy,open,800,800,0,1.015,811.9999999999999,5.0,0.0,filled
122,2014-10-24,SH518880,buy,open,600,600,0,2.435,1461.0,5.0,0.0,filled
123,2014-10-24,SZ163412,buy,open,1200,1200,0,1.79,2148.0,5.0,0.0,filled
124,2014-10-31,SZ161005,sell,open,500,500,0,3.552,1776.0,5.0,0.0,filled
125,2014-10-31,SZ159928,buy,open,1200,1200,0,1.031,1237.1999999999998,5.0,0.0,filled
126,2014-10-31,SH518880,buy,open,100,100,0,2.388,238.79999999999998,5.0,0.0,filled
127,2014-10-31,SH513500,buy,open,100,100,0,1.095,109.5,5.0,0.0,filled
128,2014-11-07,SH518880,sell,open,1000,1000,0,2.251,2251.0,5.0,0.0,filled
129,2014-11-07,SZ161005,sell,open,200,200,0,3.555,711.0,5.0,0.0,filled
130,2014-11-07,SZ159928,buy,open,2500,2500,0,1.014,2535.0,5.0,0.0,filled
131,2014-11-07,SH513100,buy,open,800,800,0,1.357,1085.6,5.0,0.0,filled
132,2014-11-07,SH513500,buy,open,100,100,0,1.12,112.00000000000001,5.0,0.0,filled
133,2014-11-14,SH518880,sell,open,600,600,0,2.292,1375.1999999999998,5.0,0.0,filled
134,2014-11-14,SZ159928,sell,open,2000,2000,0,1.025,2050.0,5.0,0.0,filled
135,2014-11-14,SZ163412,sell,open,400,400,0,1.855,742.0,5.0,0.0,filled
136,2014-11-14,SZ161005,buy,open,900,900,0,3.419,3077.1,5.0,0.0,filled
137,2014-11-14,SH513100,buy,open,600,600,0,1.363,817.8,5.0,0.0,filled
138,2014-11-14,SH513500,buy,open,300,300,0,1.123,336.9,5.0,0.0,filled
139,2014-11-21,SH513100,sell,open,400,400,0,1.374,549.6,5.0,0.0,filled
140,2014-11-21,SH513500,sell,open,300,300,0,1.129,338.7,5.0,0.0,filled
141,2014-11-21,SH518880,sell,open,400,400,0,2.341,936.4000000000001,5.0,0.0,filled
142,2014-11-21,SZ163412,sell,open,700,700,0,1.962,1373.3999999999999,5.0,0.0,filled
143,2014-11-21,SZ161005,buy,open,1400,1400,0,3.536,4950.4,5.0,0.0,filled
144,2014-11-21,SZ159928,buy,open,1200,1200,0,1.03,1236.0,5.0,0.0,filled
145,2014-11-28,SZ161005,sell,open,800,800,0,3.61,2888.0,5.0,0.0,filled
146,2014-11-28,SZ163412,sell,open,800,800,0,2.171,1736.8,5.0,0.0,filled
147,2014-11-28,SZ159928,buy,open,2100,2100,0,1.059,2223.9,5.0,0.0,filled
148,2014-11-28,SH513100,buy,open,600,600,0,1.4,840.0,5.0,0.0,filled
149,2014-11-28,SH513500,buy,open,300,300,0,1.14,341.99999999999994,5.0,0.0,filled
