trade_date,observation_date,rebalance,cash_before,drift_l1,available_count,weights_json,volatilities_json
2014-06-04,2014-06-03,True,100000.0,1.0,7,"{""SH511010"": 0.19903467744184777, ""SH513100"": 0.050787416415993956, ""SH513500"": 0.0583673443929099, ""SH518880"": 0.03126904698112393, ""SZ159928"": 0.0936332516234047, ""SZ161005"": 0.5394378359551791, ""SZ163412"": 0.027470427189540583}","{""SH511010"": 3.07990016131278, ""SH513100"": 16.69758198828826, ""SH513500"": 11.013660371283516, ""SH518880"": 10.989013035008785, ""SZ159928"": 15.87599549385422, ""SZ161005"": 5.123431601496313, ""SZ163412"": 26.21611338095305}"
2014-06-06,2014-06-05,True,10463.068742108497,0.10485658659074706,7,"{""SH511010"": 0.14275954756355194, ""SH513100"": 0.07729331430334073, ""SH513500"": 0.08098736599680369, ""SH518880"": 0.036877705092431615, ""SZ159928"": 0.10011989622725823, ""SZ161005"": 0.5353652703399745, ""SZ163412"": 0.026596900476639308}","{""SH511010"": 3.6168722062094725, ""SH513100"": 13.461560654609379, ""SH513500"": 9.299139063237803, ""SH518880"": 10.063957638042895, ""SZ159928"": 15.269701833267929, ""SZ161005"": 5.114948673126161, ""SZ163412"": 26.49843538919813}"
2014-06-13,2014-06-12,True,4728.668742108497,0.1504376131254193,7,"{""SH511010"": 0.13619938513651603, ""SH513100"": 0.09769073265430131, ""SH513500"": 0.11409519482393693, ""SH518880"": 0.040692511447859014, ""SZ159928"": 0.09667305879467987, ""SZ161005"": 0.48949508126513175, ""SZ163412"": 0.025154035877575028}","{""SH511010"": 3.5512276410241164, ""SH513100"": 11.483387873462393, ""SH513500"": 7.513599510237434, ""SH518880"": 9.188060295282796, ""SZ159928"": 14.902816785404053, ""SZ161005"": 5.130061263324611, ""SZ163412"": 26.13137412709522}"
2014-06-20,2014-06-19,True,4136.568742108499,0.16295969429140697,7,"{""SH511010"": 0.192813705295694, ""SH513100"": 0.09957667095766455, ""SH513500"": 0.10516254925534403, ""SH518880"": 0.04067039808002748, ""SZ159928"": 0.10185439984481802, ""SZ161005"": 0.43511105461221705, ""SZ163412"": 0.024811221954234807}","{""SH511010"": 3.078788527702988, ""SH513100"": 11.732772240866147, ""SH513500"": 8.07298026965149, ""SH518880"": 9.480354910387792, ""SZ159928"": 14.976623747962806, ""SZ161005"": 5.612797616440124, ""SZ163412"": 27.140930501421302}"
2014-06-27,2014-06-26,True,9647.7687421085,0.1402923396764027,7,"{""SH511010"": 0.17764161321083488, ""SH513100"": 0.0982094307963041, ""SH513500"": 0.09190185216433246, ""SH518880"": 0.03173067962732209, ""SZ159928"": 0.12250969970395474, ""SZ161005"": 0.45560140251935605, ""SZ163412"": 0.022405321977895562}","{""SH511010"": 2.876176396551099, ""SH513100"": 10.593559418425293, ""SH513500"": 7.743572591055413, ""SH518880"": 9.624167721011649, ""SZ159928"": 12.244967618494094, ""SZ161005"": 4.918424143288893, ""SZ163412"": 25.61015915762445}"
2014-07-04,2014-07-03,True,8327.8687421085,0.11391591807841996,7,"{""SH511010"": 0.1753686662695355, ""SH513100"": 0.10923479871346511, ""SH513500"": 0.09677976430447428, ""SH518880"": 0.03559487568027809, ""SZ159928"": 0.11555129174657834, ""SZ161005"": 0.44545343487109007, ""SZ163412"": 0.022017168414578653}","{""SH511010"": 2.758756735880796, ""SH513100"": 9.572812033125533, ""SH513500"": 7.1913886431531555, ""SH518880"": 8.659855865676674, ""SZ159928"": 12.015919501267518, ""SZ161005"": 4.740442485073889, ""SZ163412"": 24.62116926669349}"
2014-07-11,2014-07-10,True,8395.7687421085,0.09601401783095374,7,"{""SH511010"": 0.15492910887432154, ""SH513100"": 0.10807868649299507, ""SH513500"": 0.1007703052189506, ""SH518880"": 0.036544005252989634, ""SZ159928"": 0.13205173974749884, ""SZ161005"": 0.43984349361600095, ""SZ163412"": 0.02778266079724335}","{""SH511010"": 3.0747743024039194, ""SH513100"": 10.081852909149704, ""SH513500"": 7.382935955759534, ""SH518880"": 8.953373041765406, ""SZ159928"": 11.775048295693338, ""SZ161005"": 4.997597778514628, ""SZ163412"": 22.96110771418069}"
2014-07-18,2014-07-17,True,6242.168742108498,0.12515143048244343,7,"{""SH511010"": 0.1103566461292664, ""SH513100"": 0.11612048770942657, ""SH513500"": 0.1297086424004857, ""SH518880"": 0.0273835025276262, ""SZ159928"": 0.11038353987537837, ""SZ161005"": 0.4762785728834997, ""SZ163412"": 0.02976860847431712}","{""SH511010"": 3.7214950575018966, ""SH513100"": 9.93557255763562, ""SH513500"": 6.647339653917368, ""SH518880"": 10.565430384371476, ""SZ159928"": 13.155869021617624, ""SZ161005"": 4.905878668106024, ""SZ163412"": 22.658827131401527}"
2014-07-25,2014-07-24,True,1759.9687421084977,0.08194528925801031,7,"{""SH511010"": 0.12408792337877766, ""SH513100"": 0.11556385982733376, ""SH513500"": 0.10685518154107633, ""SH518880"": 0.03329980632101434, ""SZ159928"": 0.1019814367404392, ""SZ161005"": 0.4844885493190777, ""SZ163412"": 0.03372324287228095}","{""SH511010"": 3.5586876762172626, ""SH513100"": 10.09890402686868, ""SH513500"": 7.426299724552581, ""SH518880"": 9.715133588089202, ""SZ159928"": 13.87870920108904, ""SZ161005"": 4.932232105392161, ""SZ163412"": 21.58688448493573}"
2014-08-01,2014-07-31,True,3315.168742108498,0.2092229742622835,7,"{""SH511010"": 0.18407274004423152, ""SH513100"": 0.13202104992733685, ""SH513500"": 0.11581580872948452, ""SH518880"": 0.03405041132077561, ""SZ159928"": 0.09693870926794847, ""SZ161005"": 0.4041598195459466, ""SZ163412"": 0.03294146116427651}","{""SH511010"": 2.915855082249958, ""SH513100"": 9.429088563732845, ""SH513500"": 7.118563871882292, ""SH518880"": 9.587701202957746, ""SZ159928"": 14.205844760013115, ""SZ161005"": 5.389081338723391, ""SZ163412"": 21.796624618859788}"
