capital_rmb,adv_participation,annualized_return,maximum_drawdown,sharpe,average_exposure,exposure_retention_vs_frozen,unfilled_value,average_completion_delay,maximum_completion_delay,incomplete_rebalances,order_count,rejected_order_count
200000,0.005,0.1373404114482213,0.1693589847976279,0.8835320760618791,0.3733185788361115,0.981414113118725,352.9047276973724,0.05660377358490566,5,1,287,4
200000,0.01,0.1373404114482213,0.1693589847976279,0.8835320760618791,0.3733185788361115,0.981414113118725,352.9047276973724,0.05660377358490566,5,1,287,4
200000,0.05,0.1373404114482213,0.1693589847976279,0.8835320760618791,0.3733185788361115,0.981414113118725,352.9047276973724,0.05660377358490566,5,1,287,4
1000000,0.005,0.1322828780035168,0.1762065888176152,0.8376972615790673,0.37874158743395636,0.9956706154071514,312629.0027083039,0.025157232704402517,4,0,285,4
1000000,0.01,0.1333519943782986,0.17339492340915286,0.8423513053225679,0.37947018427374346,0.9975860175914468,128139.3268759012,0.025157232704402517,4,0,285,4
1000000,0.05,0.1335988605809859,0.17291210127817702,0.8440699462632564,0.37971134854803645,0.9982200123503177,11311.864614725111,0.025157232704402517,4,0,285,4
2000000,0.005,0.12989338141167694,0.17603028779329544,0.8248605291885537,0.3773450975819572,0.9919993948269918,2579559.0972655294,0.03773584905660377,4,0,289,4
2000000,0.01,0.1324443158884976,0.17652063522970307,0.8353821297611395,0.37939739768943226,0.9973946695441265,630728.0036727308,0.025157232704402517,4,0,285,4
2000000,0.05,0.13339158836157217,0.17469654254779943,0.8395920404655197,0.3804430766309038,1.0001436462335553,29960.92569608688,0.025157232704402517,4,0,285,4
10000000,0.005,0.11810445997891628,0.18053403592059813,0.7631774794252563,0.3588367267400242,0.9433428923519773,174696570.39378667,0.2389937106918239,5,0,363,4
10000000,0.01,0.1171617776720495,0.1783019988504314,0.7643461963018519,0.36771818030441505,0.9666912719056462,66872245.81272228,0.0880503144654088,4,0,305,4
10000000,0.05,0.1327952490728086,0.1765648099631214,0.8348094059536056,0.38004221041263375,0.9990898123597919,3340490.2958572144,0.025157232704402517,4,0,285,4
