trade_date,cash,positions_value,total_value,cash_ratio,daily_return
2013-04-11,1000000.0,0.0,1000000.0,1.0,0.0
2013-04-12,1000000.0,0.0,1000000.0,1.0,0.0
2013-04-15,1000000.0,0.0,1000000.0,1.0,0.0
2013-04-16,1000000.0,0.0,1000000.0,1.0,0.0
2013-04-17,1000000.0,0.0,1000000.0,1.0,0.0
2013-04-18,1000000.0,0.0,1000000.0,1.0,0.0
2013-04-19,1000000.0,0.0,1000000.0,1.0,0.0
2013-04-22,1000000.0,0.0,1000000.0,1.0,0.0
2013-04-23,1000000.0,0.0,1000000.0,1.0,0.0
2013-04-24,1000000.0,0.0,1000000.0,1.0,0.0
2013-04-25,1000000.0,0.0,1000000.0,1.0,0.0
2013-04-26,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-02,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-03,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-06,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-07,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-08,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-09,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-10,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-13,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-14,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-15,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-16,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-17,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-20,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-21,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-22,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-23,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-24,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-27,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-28,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-29,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-30,1000000.0,0.0,1000000.0,1.0,0.0
2013-05-31,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-03,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-04,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-05,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-06,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-07,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-13,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-14,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-17,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-18,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-19,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-20,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-21,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-24,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-25,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-26,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-27,1000000.0,0.0,1000000.0,1.0,0.0
2013-06-28,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-01,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-02,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-03,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-04,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-05,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-08,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-09,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-10,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-11,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-12,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-15,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-16,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-17,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-18,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-19,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-22,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-23,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-24,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-25,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-26,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-29,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-30,1000000.0,0.0,1000000.0,1.0,0.0
2013-07-31,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-01,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-02,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-05,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-06,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-07,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-08,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-09,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-12,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-13,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-14,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-15,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-16,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-19,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-20,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-21,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-22,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-23,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-26,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-27,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-28,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-29,1000000.0,0.0,1000000.0,1.0,0.0
2013-08-30,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-02,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-03,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-04,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-05,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-06,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-09,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-10,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-11,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-12,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-13,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-16,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-17,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-18,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-23,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-24,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-25,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-26,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-27,1000000.0,0.0,1000000.0,1.0,0.0
2013-09-30,1000000.0,0.0,1000000.0,1.0,0.0
2013-10-08,1000000.0,0.0,1000000.0,1.0,0.0
2013-10-09,1000000.0,0.0,1000000.0,1.0,0.0
2013-10-10,1000000.0,0.0,1000000.0,1.0,0.0
2013-10-11,1000000.0,0.0,1000000.0,1.0,0.0
2013-10-14,1000000.0,0.0,1000000.0,1.0,0.0
2013-10-15,1000000.0,0.0,1000000.0,1.0,0.0
2013-10-16,1000000.0,0.0,1000000.0,1.0,0.0
2013-10-17,1000000.0,0.0,1000000.0,1.0,0.0
2013-10-18,1000000.0,0.0,1000000.0,1.0,0.0
2013-10-21,1000000.0,0.0,1000000.0,1.0,0.0
