trade_date,symbol,shares,available_shares,average_cost,close,market_value
2015-01-05,SH600832,14500,0,13.786880011315725,13.868607521057129,201094.80905532837
2015-01-06,SH600832,14500,14500,13.786880011315725,14.177620887756348,205575.50287246704
2015-01-07,SH600832,14500,14500,13.786880011315725,13.96853256225586,202543.72215270996
2015-01-08,SH600832,14500,14500,13.786880011315725,13.709192276000977,198783.28800201416
2015-01-09,SH600832,14500,14500,13.786880011315725,13.50992202758789,195893.8694000244
2015-01-12,SH600832,14500,14500,13.786880011315725,13.141417503356934,190550.55379867554
2015-01-13,SH600832,14500,14500,13.786880011315725,13.251160621643066,192141.82901382446
2015-01-14,SH600832,14500,14500,13.786880011315725,13.111382484436035,190115.0460243225
2015-01-15,SH600832,14500,14500,13.786880011315725,13.400757789611816,194310.98794937134
2015-01-16,SH600832,14500,14500,13.786880011315725,13.948315620422363,202250.57649612427
2015-01-19,SH600832,14500,14500,13.786880011315725,13.380541801452637,194017.85612106323
2015-01-20,SH600832,14500,14500,13.786880011315725,13.848970413208008,200810.0709915161
2015-01-21,SH600832,14500,14500,13.786880011315725,14.28736400604248,207166.77808761597
2015-01-22,SH600832,14500,14500,13.786880011315725,15.164151191711426,219880.19227981567
2015-01-23,SH600832,14500,14500,13.786880011315725,15.173970222473145,220022.5682258606
2015-01-26,SH600832,14500,14500,13.786880011315725,15.074624061584473,218582.04889297485
2015-01-27,SH600832,14500,14500,13.786880011315725,14.715937614440918,213381.0954093933
2015-01-28,SH600832,14500,14500,13.786880011315725,14.585979461669922,211496.70219421387
2015-01-29,SH600832,14500,14500,13.786880011315725,14.267147064208984,206873.63243103027
2015-01-30,SH600832,14500,14500,13.786880011315725,14.107731819152832,204562.11137771606
2015-02-02,SH600832,14500,14500,13.786880011315725,13.868607521057129,201094.80905532837
2015-02-03,SH600832,14500,14500,13.786880011315725,14.147586822509766,205140.0089263916
2015-02-04,SH600832,14500,14500,13.786880011315725,13.888824462890625,201387.95471191406
2015-02-05,SH600832,14500,14500,13.786880011315725,13.988170623779297,202828.4740447998
2015-02-06,SH600832,14500,14500,13.786880011315725,13.918858528137207,201823.4486579895
2015-02-09,SH600832,14500,14500,13.786880011315725,13.719588279724121,198934.03005599976
2015-02-10,SH600832,14500,14500,13.786880011315725,13.799296379089355,200089.79749679565
2015-02-11,SH600832,14500,14500,13.786880011315725,14.028023719787598,203406.34393692017
2015-02-12,SH600832,14500,14500,13.786880011315725,14.177620887756348,205575.50287246704
2015-02-13,SH600832,14500,14500,13.786880011315725,14.3370361328125,207887.02392578125
2015-02-16,SH600832,14500,14500,13.786880011315725,14.96488094329834,216990.77367782593
2015-02-17,SH600832,14500,14500,13.786880011315725,14.676084518432617,212803.22551727295
2015-02-25,SH600832,14500,14500,13.786880011315725,14.307002067565918,207451.5299797058
2015-02-26,SH600832,14500,14500,13.786880011315725,14.546126365661621,210918.8323020935
2015-02-27,SH600832,14500,14500,13.786880011315725,14.526488304138184,210634.08041000366
2017-07-03,SZ002450,9000,0,22.402083162817572,21.965303421020508,197687.73078918457
2017-07-04,SZ002450,9000,9000,22.402083162817572,21.975509643554688,197779.5867919922
2017-07-05,SZ002450,9000,9000,22.402083162817572,21.995237350463867,197957.1361541748
2017-07-06,SZ002450,9000,9000,22.402083162817572,21.84625816345215,196616.32347106934
2017-07-07,SZ002450,9000,9000,22.402083162817572,21.746936798095703,195722.43118286133
2017-07-10,SZ002450,9000,9000,22.402083162817572,21.53809356689453,193842.84210205078
2017-07-11,SZ002450,9000,9000,22.402083162817572,21.676870346069336,195091.83311462402
2017-07-12,SZ002450,9000,9000,22.402083162817572,21.14013671875,190261.23046875
2017-07-13,SZ002450,9000,9000,22.402083162817572,21.239456176757812,191155.1055908203
2017-07-14,SZ002450,9000,9000,22.402083162817572,21.000680923461914,189006.12831115723
2017-07-17,SZ002450,9000,9000,22.402083162817572,21.060543060302734,189544.8875427246
2017-07-18,SZ002450,9000,9000,22.402083162817572,21.3884334564209,192495.9011077881
2017-07-19,SZ002450,9000,9000,22.402083162817572,21.547618865966797,193928.56979370117
2017-07-20,SZ002450,9000,9000,22.402083162817572,21.855783462524414,196702.05116271973
2017-07-21,SZ002450,9000,9000,22.402083162817572,21.77618980407715,195985.70823669434
2017-07-24,SZ002450,9000,9000,22.402083162817572,21.77618980407715,195985.70823669434
2017-07-25,SZ002450,9000,9000,22.402083162817572,19.5986385345459,176387.7468109131
2017-07-26,SZ002450,9000,9000,22.402083162817572,19.489795684814453,175408.16116333008
2017-07-27,SZ002450,9000,9000,22.402083162817572,19.44965934753418,175046.93412780762
2017-07-28,SZ002450,9000,9000,22.402083162817572,19.757822036743164,177820.39833068848
2017-07-31,SZ002450,9000,9000,22.402083162817572,19.628570556640625,176657.13500976562
2017-08-01,SZ002450,9000,9000,22.402083162817572,19.738094329833984,177642.84896850586
2017-08-02,SZ002450,9000,9000,22.402083162817572,19.180952072143555,172628.568649292
2017-08-03,SZ002450,9000,9000,22.402083162817572,19.439455032348633,174955.0952911377
2017-08-04,SZ002450,9000,9000,22.402083162817572,19.29047393798828,173614.26544189453
2017-08-07,SZ002450,9000,9000,22.402083162817572,19.29047393798828,173614.26544189453
2017-08-08,SZ002450,9000,9000,22.402083162817572,19.29047393798828,173614.26544189453
2017-08-09,SZ002450,9000,9000,22.402083162817572,19.29047393798828,173614.26544189453
2017-08-10,SZ002450,9000,9000,22.402083162817572,19.29047393798828,173614.26544189453
2017-08-11,SZ002450,9000,9000,22.402083162817572,19.29047393798828,173614.26544189453
2017-08-14,SZ002450,9000,9000,22.402083162817572,19.29047393798828,173614.26544189453
2017-08-15,SZ002450,9000,9000,22.402083162817572,19.29047393798828,173614.26544189453
2017-08-16,SZ002450,9000,9000,22.402083162817572,19.29047393798828,173614.26544189453
2017-08-17,SZ002450,9000,9000,22.402083162817572,19.29047393798828,173614.26544189453
2017-08-18,SZ002450,9000,9000,22.402083162817572,19.29047393798828,173614.26544189453
2017-08-21,SZ002450,9000,9000,22.402083162817572,19.29047393798828,173614.26544189453
2017-08-22,SZ002450,9000,9000,22.402083162817572,19.29047393798828,173614.26544189453
