order_id,trade_date,symbol,side,execution,requested_shares,filled_shares,unfilled_shares,price,gross_value,commission,tax,reason
1,2015-01-05,SH600832,buy,open,14525,14500,25,13.768976211547852,199650.15506744385,23.958018608093262,0.0,partial_volume_or_cash
2,2015-03-02,SH600832,sell,open,14500,14500,0,14.566488265991211,211214.07985687256,25.345689582824708,211.21407985687256,filled
3,2017-07-03,SZ002450,buy,open,9040,9000,40,22.37299156188965,201356.92405700684,24.162830886840823,0.0,partial_volume_or_cash
5,2017-10-09,SZ002450,sell,open,9000,9000,0,21.378490447998047,192406.41403198242,23.088769683837892,192.40641403198242,filled
6,2017-11-01,SZ002450,buy,open,8297,8200,97,24.153345108032227,198057.42988586426,23.76689158630371,0.0,partial_volume_or_cash
7,2017-12-01,SZ002450,sell,open,8200,8200,0,23.447359085083008,192268.34449768066,23.07220133972168,192.26834449768066,filled
8,2018-02-01,SH600519,buy,open,315,300,15,630.8128051757812,189243.84155273438,22.709260986328125,0.0,partial_volume_or_cash
9,2018-02-01,SZ002460,buy,open,7793,7700,93,25.562973022460938,196834.89227294922,23.620187072753907,0.0,partial_volume_or_cash
10,2018-02-01,SZ002415,buy,open,6104,6100,4,32.63308334350586,199061.80839538574,23.887417007446288,0.0,partial_volume_or_cash
11,2018-02-01,SZ002466,buy,open,4945,4900,45,40.283164978027344,197387.50839233398,23.68650100708008,0.0,partial_volume_or_cash
12,2018-02-01,SZ002468,buy,open,8660,8600,60,23.003944396972656,197833.92181396484,23.74007061767578,0.0,partial_volume_or_cash
13,2018-03-01,SH600519,sell,open,300,300,0,598.7384033203125,179621.52099609375,21.55458251953125,179.62152099609375,filled
14,2018-03-01,SZ002460,sell,open,7700,7700,0,31.35004234313965,241395.3260421753,28.967439125061034,241.3953260421753,filled
15,2018-03-01,SZ002415,sell,open,6100,6100,0,34.2573356628418,208969.74754333496,25.076369705200197,208.96974754333496,filled
16,2018-03-01,SZ002466,sell,open,4900,4900,0,46.65166091918945,228593.13850402832,27.4311766204834,228.59313850402833,filled
17,2018-03-01,SZ002468,sell,open,8600,8600,0,23.103151321411133,198687.10136413574,23.84245216369629,198.68710136413574,filled
18,2018-04-02,SZ000898,buy,open,56315,56300,15,3.8059849739074707,214276.9540309906,25.71323448371887,0.0,partial_volume_or_cash
19,2018-04-02,SH601186,buy,open,27575,27500,75,7.772702217102051,213749.3109703064,25.649917316436767,0.0,partial_volume_or_cash
20,2018-05-02,SZ000898,sell,open,56300,56300,0,4.033677577972412,227096.0476398468,27.251525716781618,227.0960476398468,filled
21,2018-05-02,SH600649,buy,open,34807,34800,7,6.251869201660156,217565.04821777344,26.107805786132815,0.0,partial_volume_or_cash
22,2018-06-01,SH601186,sell,open,27500,27500,0,7.249288558959961,199355.43537139893,23.92265224456787,199.35543537139893,filled
23,2018-06-01,SH600649,sell,open,34800,34800,0,5.847920894622803,203507.64713287354,24.420917655944823,203.50764713287353,filled
24,2018-08-01,SZ000415,buy,open,49781,49700,81,4.239607334136963,210708.48450660706,25.285018140792847,0.0,partial_volume_or_cash
25,2018-09-03,SH600089,buy,open,48837,48800,37,4.323226451873779,210973.45085144043,25.316814102172852,0.0,partial_volume_or_cash
26,2018-09-03,SZ000959,buy,open,53380,53300,80,3.9552671909332275,210815.74127674103,25.297888953208925,0.0,partial_volume_or_cash
27,2018-11-01,SZ000415,sell,open,49700,49700,0,3.989637613296509,198284.9893808365,23.79419872570038,198.2849893808365,filled
28,2018-11-01,SH600089,sell,open,48800,48800,0,4.456594467163086,217481.8099975586,26.09781719970703,217.4818099975586,filled
