screening_rank,screening_score,lineage_id,lineage_size,strategy_name,item_id,post_title,author,primary_url,source_hash,seed_priority,seed_label,research_queue,next_action,asset_type,frequency,backtest_start,backtest_end,backtest_years,post_time,backtest_to_post_days,post_publication_days,natural_oos_eligible,oos_integrity_grade,annual_return_percent,max_drawdown_percent,sharpe,sortino,turnover_rate_percent,uses_minute_data,uses_auction_data,uses_fundamentals,undated_index_membership_risk,same_day_signal_execution_risk,score_natural_oos,score_history,score_causal_repairability,score_production_data,score_execution_feasibility,score_simplicity,score_lineage_uniqueness,score_risk_adjusted_tiebreaker
1,86.7733,L-34fd43a31f,1,低风险中等收益策略,聚宽2026年精选/11低风险中等收益策略.txt,致敬市场(15)——小盘三正低风险中等收益策略,Gyron,https://www.joinquant.com/post/48789,b50eab823453d45011fe491409debce74dbb585fada5536975e2e3b61c4ebf5a,P0,低风险中等收益,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2006-01-01,2024-06-01,18.415,2024-06-16 18:35:14,15,800,true,C,17.346955,16.563133,1.2747555717293,1.6437613214545,0.798202,false,false,true,false,false,14.2611,12.0,10.0,6.0,6.0,5.9,5.0,2.6122
2,84.6375,L-60a7724bee,1,多品种ETF动量轮动+EPO优化,聚宽2026年精选/17多品种ETF动量轮动+EPO优化.txt,多品种ETF动量轮动+EPO优化,openhe,https://www.joinquant.com/post/47208,438cb254e50a3056eb125b67b17b051fea7ef78bd7f6a1f079349730feb331ba,P0,多品种 ETF 动量 + EPO,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,etf-or-fund,day,2019-01-01,2024-03-21,5.218,2024-03-23 15:39:26,2,885,true,C,30.320783,27.016398,1.2812408172336,1.7762029936294,2.676566,false,false,false,false,false,15.6253,6.2616,10.0,9.0,6.0,5.55,5.0,2.2006
3,82.1517,L-b2c15ddbbc,1,国庆节献礼：实例说明白马股攻防转换策略,聚宽2026年精选/18国庆节献礼：实例说明白马股攻防转换策略.txt,国庆节献礼：实例说明“白马攻防”策略,蚂蚁量化,https://www.joinquant.com/post/50043,6c6905417ffd57c263e885dfe8be4be9c64e0ac403217909ab15f9c102c7f8ad,P0,白马股攻防,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2013-04-11,2024-10-03,11.48,2024-10-05 13:38:36,2,689,true,C,35.882127,23.422479,1.3764410020899,1.9665833572247,1.679377,false,false,true,true,false,13.4789,12.0,7.0,6.0,7.0,4.2333,5.0,2.4395
4,80.2025,L-da312b0f1c,1,一个简单的跟踪聪明钱策略,2020年度精选策略/38 一个简单的跟踪聪明钱策略.txt,一个简单的跟踪聪明钱策略,castiel,https://www.joinquant.com/post/11165,1555bcf7a57d3667c2b4a8c6024669aaca95faff0d02e12292adf130273474f4,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2007-01-01,2018-02-17,11.129,2018-02-19 10:08:41,2,3109,true,C,65.908482,28.114012,2.4437528911176,3.6237361388943,,false,false,false,false,false,29.9333,12.0,8.0,9.0,7.0,5.95,5.0,3.3192
5,79.9343,L-0cf087e82c,1,MACD——大盘择时,2020年度精选策略/76 MACD——大盘择时.txt,MACD——大盘择时,Max_Bai,https://www.joinquant.com/post/11102,1f7cb3ca001187d3c75b395132ad712617a27e283c10e9dee2e0f0f205f026ce,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2005-07-01,2018-02-01,12.589,2018-02-09 15:57:37,8,3119,true,C,22.534374,30.022293,0.96858476409965,1.2256846116745,,false,false,false,false,false,29.7333,12.0,8.0,9.0,7.0,7.4333,5.0,1.7677
6,79.4011,L-4f925ea011,1,GFTD第二版,2020年度精选策略/78 GFTD第二版.txt,GFTD第二版,lhclll,https://www.joinquant.com/post/11188,915ee1c573821f3a84ac3efc4260d8e8e4e53c0f82535f2ed41ba50c7863fbdb,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,unclassified,day,2005-01-05,2018-02-21,13.128,2018-02-22 09:15:12,1,3106,true,C,22.121056,32.938939,0.93528230590481,1.1488478815141,,false,false,false,false,false,29.9667,12.0,8.0,9.0,7.0,6.8167,5.0,1.6177
7,78.8477,L-e113a14253,1,"超强单因子策略（EBIT,EV）","2025年度精选策略/77.超强单因子策略（EBIT,EV）.txt",超强单因子策略（EBIT/EV）,乌龟赛跑7,https://www.joinquant.com/post/24809,6f053a2d1637a05427bcbbdd8e572e4657888841d8b9bb848b9089688afa2911,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2009-01-01,2019-12-31,10.995,2020-01-03 11:21:42,3,2426,true,C,22.54558,39.627228,0.70774727493142,0.89411314895837,1.368671,false,false,false,false,false,29.9,12.0,8.0,9.0,8.0,5.825,5.0,1.1227
8,78.7219,L-8cc3a7c13d,1,Stoch（KDJ）——大盘择时,2020年度精选策略/91 Stoch（KDJ）——大盘择时.txt,Stoch（KDJ）——大盘择时,Max_Bai,https://www.joinquant.com/post/11103,8d05d4f897d02100625e132a14ae5b01d45ceff3106ad10a120a3f2d934c0aaf,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2005-07-01,2018-02-01,12.589,2018-02-09 16:05:46,8,3119,true,C,18.144171,28.596359,0.77418957754906,1.017569471769,,false,false,false,false,false,29.7333,12.0,8.0,9.0,6.0,7.3583,5.0,1.6303
9,78.4925,L-7b38e1b6ce,1,【分享】多因子指数增强,2025年度精选策略/65.【分享】多因子指数增强.txt,【分享】多因子指数增强,Hugo2046,https://www.joinquant.com/post/29940,ea735bbc674503b7227a3af53aaf9bec40de0645a7f5e844919ae6ae2345b5a1,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,unclassified,day,2010-01-01,2020-10-21,10.804,2020-10-28 15:14:45,7,2127,true,C,10.036123,42.360411,0.25994931744556,0.33246493976331,1.917502,false,false,false,false,false,29.0603,12.0,10.0,9.0,6.0,6.8667,5.0,0.5655
10,77.6963,L-7951b8cee0,1,RSRS——大盘择时,2020年度精选策略/93 RSRS——大盘择时.txt,RSRS——大盘择时,Max_Bai,https://www.joinquant.com/post/11115,6b69b4d1b037db1cd2138cf73d2f8e1433c5333dc422e70f8f7c0fc6ce51ce79,,,natural-oos,核验源码版本；冻结可重建原版后直接跑发布后区间，不调参,a-share,day,2008-07-01,2018-02-01,9.588,2018-02-11 10:38:10,10,3117,true,C,16.102088,29.143794,0.70643443962257,1.0521084488852,,false,false,false,false,false,29.6667,11.5056,8.0,9.0,8.0,4.9833,5.0,1.5407
