symbol,net_contribution
SZ300390,2300448.9074678095
SZ300763,2036179.4708477228
SZ300014,1738569.4549489836
SZ002475,1550416.9623877439
SZ300593,1329750.7178909334
SZ300726,1288874.0217184583
SZ300122,1194573.822510148
SH600702,1191728.835523795
SH603986,1154187.3212187635
SZ300595,1146102.0116369496
SZ002847,1086948.5955795299
SH603208,1037009.6360911482
SZ002085,1012498.6711780505
SH601669,1009799.2282452352
SH601012,983889.2563451361
SZ002916,957507.2272575224
SZ002709,951310.231179696
SH605111,927905.3244078367
SH603444,900011.7939509606
SH601766,891036.100050172
SH600606,887130.5442622025
SH603613,873144.8695789226
SH688516,867345.9652760486
SZ002110,859024.796619794
SH601888,837106.1890699457
SZ300850,836893.3675317767
SH600507,795953.1715195333
SZ002236,782586.972392797
SZ300628,758173.9865279648
SH603160,734530.4153947956
SZ300661,709017.8424830129
SZ300296,694011.3088293457
SZ002714,692868.2001248458
SZ000671,677445.6452720575
SZ300715,667111.1644328805
SZ300033,662674.6094272601
SH603010,646844.5183393438
SH600487,646518.1473335393
SH688298,625801.2888810805
SZ002581,609243.6226026152
SH603127,600555.6895812439
SH603185,598321.660619976
SH600886,589708.6093180452
SH600981,580173.2137587693
SH688036,574220.2600715975
SH601919,567975.5893039487
SH688356,563897.2610735465
SH601100,558230.8635246281
SH603887,556246.0042997194
SZ300529,553005.164975884
SH600233,548301.502960046
SH600816,547995.3671291312
SZ002153,546563.3221839021
SZ300724,533651.2357292367
SZ002508,532310.9530884404
SZ000957,531731.2860200341
SH600687,524529.9674022462
SH600309,515158.35597824305
SZ002074,504385.3774815048
SZ300632,485088.7055153512
SZ300638,479459.93490473065
SZ300136,465905.00988689304
SZ000799,464864.83453494776
SZ300587,462842.8762170139
SH603737,458507.63195564365
SZ300677,455708.383889579
SH600763,453643.56201605464
SZ000708,442726.1954610497
SH600021,437766.8389856453
SZ000333,429348.6807228077
SZ002271,424825.80652496446
SZ000977,422364.6430273445
SZ000600,418303.85630096734
SZ300782,410765.50526251807
SH601155,409382.80653263535
SZ002869,408910.3649995497
SZ002635,406533.6733967401
SZ000902,398273.10807202815
SZ300702,388219.6118555565
SH603605,384878.8785278996
SZ002373,375963.1169968103
SZ000887,373948.1922377469
SZ002180,369341.2690232197
SZ002241,365585.2903480185
SZ002901,354703.0573802935
SH688169,354177.3154475535
SZ002643,343559.9127221409
SH600389,336664.80332385795
SZ300072,334104.0450538093
SH603489,332475.2806853184
SZ300202,330158.4641870856
SZ300450,326334.0349416388
SZ300017,324495.99697335373
SZ002605,323878.4040465278
SH600991,323296.594543468
SH600446,322871.1405583671
SZ000531,321477.9355114287
SH603267,321237.93202319415
SZ002607,317912.64826541836
SH603659,316791.23433598457
SZ002411,313386.6627631351
SZ000151,311409.6464259907
SZ000960,308747.5804129455
SH600398,306672.77912916255
SZ002050,302447.0257178035
SZ000048,283488.12978808745
SH600690,280881.9653057507
SZ000036,279953.8917111081
SZ000656,279541.5597967204
SH688188,278534.0882624942
SZ002100,268795.94532639557
SZ300251,263300.24363447883
SH600566,262474.44945512526
SH600131,259243.61217119405
SZ002458,258551.47363536793
SZ300267,256537.79575454514
SH600288,256377.89627308914
SH601636,255062.1761347216
SZ300132,252652.54197085835
SH600132,252537.6397420189
SZ002352,248923.67474818823
SH600807,248604.5292958158
SH603233,244196.49263075157
SZ002504,242951.21241446253
SH603658,238277.237976135
SH601313,237690.64654539654
SH600183,237015.51487274666
SZ000527,230936.65382758592
SZ002572,229595.74250254862
SZ300454,229487.96440142533
SH601633,226511.51078834053
SZ000522,225474.26882268096
SZ000157,222997.6082291062
SH603707,220194.68803895148
SZ300124,219135.1450652089
SZ002555,211321.20155159011
SZ000661,209733.14846311393
SZ300352,208867.46699664858
SZ000826,207265.5912804049
SH600396,204983.08416518837
SZ002507,202148.1112039463
SH600582,202117.25301421335
SZ002120,198795.9155900043
SH600297,195969.74819822656
SH600728,191582.33409070852
SZ300025,188519.5285672776
SH600415,187944.2470754257
SH600382,187136.23987646564
SZ300662,186601.11705010704
SZ000732,181821.04214718367
SZ300237,180873.63062506868
SH600801,178502.76517559402
SH603305,175508.22000389977
SZ000563,175219.0317130466
SZ300760,175188.97233423218
SZ002008,173170.95180379262
SZ000718,171441.79987730784
SZ300607,171047.12291341322
SZ300497,168807.3439120017
SZ002697,168159.27709277347
SZ300274,166780.34241609892
SH688301,163880.01830414636
SZ000540,158882.39200207626
SZ000301,157571.11231536837
SZ300009,156503.5574768841
SZ300602,154342.51866485027
SZ002043,153992.1609939197
SZ002146,152573.53057775082
SH600315,152199.23840289027
SZ002092,148735.65273790818
SH600553,147474.21175628036
SZ002171,144345.08495556435
SH601003,143075.9864079504
SZ000921,141118.14007041417
SZ000753,141065.9746227765
SZ000877,139755.991224166
SH600383,138976.05636230204
SZ002042,138856.56858332787
SZ002841,138134.9457581729
SH601000,138038.4794299174
SH600684,137858.908771028
SZ300462,130940.48190034484
SZ002699,130911.33706139983
SZ300231,127808.97777749918
SZ002706,126057.09501740686
SH600755,125833.89795702614
SZ000673,125529.69476083783
SZ000062,124640.79898328264
SZ300367,121864.38277426013
SH603806,119152.31628989382
SZ300145,118077.00210307492
SH600856,116933.44660938357
SZ002299,115632.56421309174
SZ000838,115249.22457427834
SZ300273,115029.94290364976
SH600519,114288.00813227001
SH600419,113827.3710733545
SZ300100,113382.65348172723
SZ300770,112665.07343944348
SH603601,112262.74834259751
SZ002179,110933.41486248875
SZ002681,110856.14160759735
SZ000717,108429.07529075863
SZ002415,108130.78938064817
SZ000625,107198.42406284518
SZ000688,106662.26830142282
SH603501,106376.42128154705
SZ002081,105267.79310537071
SH603039,103215.43960412988
SZ300027,101734.83825119887
SZ002038,101375.60744636878
SZ000968,100979.53911245917
SZ002061,99755.15487565019
SH601818,98165.62336533784
SH600253,97820.25976318907
SH600081,95809.79617923498
SZ002200,95790.53151881718
SH600863,95492.70948322874
SH603638,94427.52909376635
SZ000651,93796.56748804613
SH600340,91871.4692822753
SZ002450,91716.07685214008
SZ300572,90733.10004201904
SH603040,87868.69371174579
SH600263,86599.64453560143
SH600502,86370.59066307568
SH600057,85744.85575176089
SZ000413,85338.43191237026
SZ002030,85089.78472833661
SZ000156,84645.99942123063
SZ000982,83927.23015661506
SH600258,83810.39033614798
SZ300738,83456.55553151434
SZ000408,81852.50307592482
SZ002913,81776.45797127928
SZ300182,81343.48659913475
SZ300285,80006.58013706119
SZ002722,79461.90191330202
SZ300302,79010.039083065
SZ002353,78547.54301011702
SZ000568,77694.77700476919
SZ002273,77596.6237045236
SZ000011,77118.68255300028
SH600323,76572.14739307348
SZ002294,76115.35473456234
SH600180,74436.80320644885
SZ002597,73081.27024548443
SH603788,71888.50092429691
SZ300058,71154.53410925483
SZ002323,70461.5381988911
SH600422,69412.25653701427
SZ002091,68981.81556587946
SZ300365,68713.46613925556
SH600475,67521.22840927925
SZ300032,66522.4922375952
SH601567,66290.73953476979
SZ002707,66167.16561311763
SH603882,65813.3112548131
SZ002467,65764.52772975422
SZ000681,64756.96901508793
SH600535,64554.18753950234
SZ300026,64370.60698588629
SZ002250,61772.82221242081
SZ002208,60144.93032538588
SZ300088,59015.12155754678
SZ002077,58155.4102836104
SZ002051,57920.29624777555
SH603338,57321.3607361312
SH600873,57086.50190070871
SZ002069,54922.83444708347
SZ001914,54287.671727364126
SZ000043,54237.27063525852
SZ002793,53788.73714323831
SZ000788,52658.61471934599
SZ000963,52309.43769309443
SZ002004,51758.17220946436
SH600157,51490.257339241565
SZ002456,50868.497850329324
SH600662,49674.50080921897
SZ000776,48593.27454545372
SZ002106,48079.48979955132
SH600562,47214.38998819771
SZ002214,45864.973572878866
SH601360,45852.05676447775
SZ300349,45648.81717806967
SZ002468,45136.362791209714
SH603520,44553.81237530627
SH603043,44152.679506186396
SZ000861,44145.169089002564
SH603568,43054.01603836974
SH600287,42950.41693427693
SH600503,42945.893331380445
SH600039,42229.96503844374
SZ300393,41953.64801651903
SH600483,41361.22151303303
SZ002912,40077.63427263254
SH600559,39584.45819795347
SH600527,39321.090915448265
SZ000700,38186.91273269412
SH600077,36050.2082316833
SH600710,35833.52684590506
SZ000997,35558.7881779992
SZ002653,35470.01094907039
SZ300303,35297.64782927185
SH600338,35023.04587227362
SH600658,34834.65462578699
SZ002463,34373.71911001182
SZ000930,34072.14301750122
SH601689,33617.34227229643
SZ002462,32775.64444317453
SZ002664,32462.784331906354
SZ002018,32451.257857435092
SH600111,32221.61577929661
SH601021,31133.86870540434
SZ000672,31084.377505484386
SZ002360,31047.738192050136
SZ002344,30411.484572746325
SZ000553,29977.276013081602
SZ300005,29509.88732054364
SZ002118,28857.435036805633
SZ000001,28765.63575384242
SZ000892,28713.480359252426
SZ300324,28690.062941479264
SZ002470,28086.365879009943
SH600547,27764.415255004948
SH600794,27498.022064224526
SH600885,27187.16121518897
SH601865,26892.371460799128
SH600568,26720.58597302396
SZ000796,26696.399182064342
SH600236,26085.638788745273
SH600266,25969.12719845993
SH600016,25932.961425389803
SZ002595,25821.84050655429
SZ300383,24419.734932632535
SH600182,23659.78362623416
SZ002123,23372.905688285187
SZ002304,23221.558843676292
SZ002166,22440.434541242546
SZ002249,22382.855216481083
SZ002230,22036.526722945273
SZ000785,21716.14146484912
SZ002400,21234.14452965965
SZ000423,20852.5093948734
SZ002434,19765.5521700705
SH600571,19617.34832264512
SH600771,19572.40093805373
SH600556,19308.95256932336
SZ000338,19240.274025699764
SH600076,18877.950463308487
