symbol,net_contribution
SZ300390,1926657.6578248332
SZ300763,1661219.874682946
SZ300014,1481043.912462851
SZ002475,1316415.3582274527
SZ300593,1114116.20830506
SZ300726,1019818.4026346355
SZ300122,999569.5768238513
SH600702,990069.0904758997
SH603986,987867.5908316632
SZ300595,984912.088644392
SH601669,925011.8293570089
SZ002847,916858.612574795
SZ002085,903619.2195834353
SH603208,882161.0618411704
SZ002916,830433.6344506808
SH601766,814937.0127616202
SH601012,811758.0483704924
SH600606,811538.8440415077
SZ002709,785524.6403841898
SH605111,773873.5074076299
SH603444,752593.6373381204
SZ002110,749503.8404696104
SZ002236,733225.9089131356
SH603613,723649.3710529613
SH688516,719032.1009738932
SH600507,699677.7610997478
SH601888,693886.2053814568
SZ300850,692603.3861711347
SZ300628,650667.814724318
SH603160,637661.6509357205
SZ000671,626794.9998308691
SZ300296,608034.6200431908
SZ300661,600477.7917151635
SZ300715,568086.5674990336
SZ002714,562729.1491035554
SH600487,561189.7895716031
SZ002581,556420.8865673294
SZ300033,549795.4470526967
SH600886,541195.4945396438
SH603010,530350.2097240915
SH600981,529565.2398585372
SH688298,515168.45399999316
SH603127,511280.074979363
SH603185,508764.45126155927
SZ002153,503513.11589176755
SH600233,489101.93229039747
SH688036,482765.76941056247
SH600816,482267.29694520484
SH601919,473565.36235186993
SZ000957,472212.0222945502
SH600687,471795.5667137934
SH601100,471184.5878892202
SH603887,471130.3786644947
SH688356,470835.67709962884
SZ002508,467478.5580555965
SZ300529,464467.85516790743
SZ002074,458288.5202049352
SH600309,433091.4523586754
SZ300632,412621.4269945611
SZ300638,411662.1720523562
SZ300136,406429.0823420016
SZ000799,397829.6747152747
SH600021,397218.17677309026
SH603737,388957.6505526552
SH600763,387856.3508173374
SZ300587,382790.9782813287
SZ000977,382204.6027326435
SZ000708,380487.18283326225
SZ000600,377547.4699564859
SZ300677,375896.47487642826
SZ000333,372912.0783385375
SZ002271,371107.78183860955
SZ002635,368642.2442980211
