symbol,net_contribution
SZ300763,2005674.1397894798
SZ300014,1928919.7007607105
SZ300593,1245369.5155575876
SZ300595,1237152.6175389094
SH603208,1217268.4027685637
SZ002847,1171316.2818357688
SH600702,1087425.65271872
SZ300122,1073271.5334833374
SH603444,1028731.0399800385
SH601012,1004562.0865994348
SH601669,982509.2177100112
SZ002085,980322.9705072952
SH601766,902934.333189986
SZ002709,877732.3577604245
SH600606,872898.5034451616
SH603613,844525.6139752022
SH600507,820919.7253964818
SH601888,809380.6384073737
SZ300715,795217.0081890299
SH688516,789698.0200576184
SH603127,727747.6930448562
SZ300850,695487.4701711957
SZ300529,692694.9170110731
SZ000671,679084.5778776708
SZ002714,667950.896022982
SH603887,656251.0202359766
SH600487,652584.4184079312
SH603185,649470.007476724
SH600886,596238.2601492857
SH688298,594654.9267810304
SZ002581,585426.1336487916
SH603010,575501.2168278932
SH601100,575026.8002592
SH600233,568731.0701945955
SZ002110,568462.4476673523
SH600816,558042.7837387567
SH600309,550438.1014898829
SZ300033,547217.5520733747
SH600981,546248.6220606749
SH603737,543422.8240240642
SZ002508,540457.7417454859
SZ002153,539332.3364816168
SZ000957,531592.5148802026
SH601919,530989.6722044041
SZ000708,503121.1781674612
SH600763,501970.3730724207
SH600687,498039.45183083386
SZ300702,483261.91398262663
SH688356,472091.6840046608
SZ002074,468956.1785893319
SZ000799,451365.34045595047
SZ300677,448461.8230289628
SH601155,442758.60645977966
SZ300587,434434.2010951014
SZ000333,431522.3667482084
SH600021,429960.0504560124
SZ002271,419220.44676248566
SZ000600,413638.07248338195
SH603605,404159.4355042529
SZ300072,402291.9198305314
SZ002901,397159.2827537529
SZ002605,394005.8385416507
SZ002607,371753.906669062
SZ300450,369654.383234221
SZ300724,354987.8853087579
SZ000902,353897.48275267676
SZ002411,352485.19314585126
SZ002373,348501.9302567921
SZ002643,348466.61441908777
SH600991,330755.19245424145
SH688169,326932.90656697284
SZ000531,323377.5891003118
SH601636,323217.08301904623
SZ300017,319983.4737393243
SZ000960,317757.98704852175
SZ300202,315853.9042282924
SH600446,313382.1614542908
SZ002100,312360.4783563062
SZ002050,312306.9326660149
SH600132,311251.8073686133
SZ000887,310579.32558921434
SH603489,309517.51352218166
SZ000151,305978.9261073015
SZ000036,304354.03312195436
SH600398,302044.8715312784
SH603233,289849.4425522026
SZ000656,289472.95341945
SH600690,289322.81856069574
SH603658,287608.6910531948
SZ002555,284170.90621337644
SH600131,279654.5479648268
SH600389,279077.4027553031
SH688188,275484.02594871796
SZ002458,272608.72931264644
SH603659,270677.6702668271
SZ300267,266185.47124436894
SZ002352,263541.1658613108
SH600566,263276.95520387555
SZ002180,262221.1154686993
SZ000048,261637.7192900604
SZ300607,259116.44967920578
SZ300132,258546.1007666638
SZ300454,257732.63694313914
SZ000661,255179.3241032483
SZ300025,255120.21652050293
SZ002572,251361.18002157495
SH603707,251261.6792638984
SZ000527,248114.92340879116
SH601633,241872.0096758767
SZ002081,238331.36324642895
SZ002504,233495.73590031877
SH600807,232542.51389149297
SZ000522,232059.89912752036
SZ300251,230560.247102612
SZ000157,227395.506670179
SH601313,225806.11421812663
SZ000826,223176.0571715833
SZ300124,219988.38533938886
SH600728,208811.63490825018
SH600801,200932.1684049567
SZ002697,198242.1815685623
SH600396,198225.23473441496
SZ000563,195042.17892133223
SZ300497,193490.32749079308
SH600582,193246.42229181365
SH600415,192677.15233852284
SZ002507,188389.6786742598
SH600382,186265.5109029379
SH600297,186014.49567159032
SZ002120,185464.1193077542
SZ000732,179869.4194167187
SZ300760,177912.92014154908
SH603305,172576.6625195474
SZ300237,171466.93913091038
SH600315,165854.74589219486
SZ002043,165016.41590523603
SZ002171,160417.00670907262
SZ300662,160202.40696312638
SZ002146,158529.90204395074
SZ002092,154998.6402116986
SZ300462,154385.90602439316
SH600383,152392.68036673922
SH600553,149862.70280507574
SZ000301,149328.71373692062
SH600684,148991.123828967
SZ300352,147996.66392848367
SZ002008,147885.55062551377
SZ000718,145373.23045538366
SZ002042,143542.7439450035
SH600519,142850.96359832946
SZ002699,142294.93158847792
SZ000753,140808.5549610561
SZ000877,139613.09143763804
SH601000,131077.85136631876
SZ000540,130396.4215982398
SH688301,128097.7378620354
SZ300738,127570.77722213208
SZ300145,127460.15786128049
SH600419,127163.60431474203
SZ000673,125357.86028728029
SZ300274,122959.06145095942
SZ000062,122286.74185852031
SZ000921,120695.78378284606
SZ002299,120539.31555151055
SZ300231,120265.02191194438
SH601003,118295.15373288252
SH600755,117779.05190292327
SZ002706,117066.97661306476
SZ300273,115309.62205760751
SZ300100,114994.34851640777
SH603806,114488.60692411568
SZ002038,113221.33033011312
SH603638,112790.18330471567
SH600856,112437.0416873144
SZ300027,109291.92831645074
SZ002200,108731.75509726076
SZ300009,108434.60768041265
SH603601,107917.3127484381
SZ000688,106021.26909288066
SZ000838,105868.47373683704
SZ000968,103996.22345701384
SZ300770,103694.9756791091
SZ002061,102971.61289922136
SZ000625,101784.36224148935
SZ002450,101627.96281936695
SH600253,101098.06275872863
SH603039,98105.7643762026
SZ000717,98026.02814438206
SH600863,96551.40612165123
SZ000982,95386.08821408788
SZ000651,94995.9464818614
SZ300572,94606.23380603839
SH600340,93543.48033076013
SH601818,93042.86823937227
SH600502,87910.55402823986
SH600263,87857.98368479026
SH600258,86443.1774671264
SZ000156,84971.30731177388
SZ002208,84265.20095715427
SZ000413,84087.23209526704
