symbol,net_contribution
SZ300595,1220268.3104030383
SH603986,1213408.4761903335
SZ300122,1192769.5592406252
SH600702,1146172.235666086
SZ002847,1137578.77976713
SZ300726,1116772.8888871176
SH603208,1114481.1907871808
SZ002085,1023035.0255939141
SH601669,1018099.8569171354
SZ002916,1014994.436010465
SH601012,995244.0645719463
SH603444,947062.7668045172
SZ002709,934651.4265971989
SH601766,899905.3479480993
SH600606,895037.2336050029
SZ002110,887185.8086423888
SH603613,861162.8172485719
SH605111,858312.4250772493
SH601888,825326.1090438697
SH688516,819467.8597189526
SH600507,819309.7925442809
SZ300850,800669.6467339313
SH603160,799644.3018419133
SZ300628,798151.9671004051
SZ002236,794292.3092649023
SZ300661,746515.6318536052
SZ300715,736704.9516930846
SZ300296,702162.2025146141
SZ300033,687936.0606346151
SZ000671,680184.3252821144
SH600487,662932.3712777375
SH603127,655666.8309494907
SZ002714,654162.3387300407
SZ002581,613744.3972244901
SH600886,609611.2811137447
SH603010,608866.5721939043
SH688298,605275.2436925524
SH603185,599396.194176046
SH603887,595887.7467288047
SZ300529,591136.4347538194
SH600981,585751.531132538
SH601100,583042.8361773641
SH688036,562911.0536707873
SZ002153,561550.6166949032
SH601919,555800.3488846042
SH600816,555616.2394304819
SH600233,552625.5710834581
SZ002508,537252.3680896449
SZ000957,536560.156330055
SH600687,530160.7599489201
SH600309,525550.6492736363
SZ300724,522848.3551229957
SH688356,521305.29551006865
SZ300638,520609.1888502585
SZ300632,514613.8220185835
SZ002074,507570.15397174086
SH600763,489540.8822007902
SH603737,487064.1670294872
SZ300136,477664.25552986003
SZ000708,467308.21723219263
SZ000799,453713.6156798585
SZ300677,450269.30726091773
SZ000333,443486.03571891115
SZ002869,443228.66552733304
SH600021,441709.54307147453
SZ300587,440552.9926598212
SZ000977,432797.11897989735
SZ002271,430706.121543369
SZ000600,429367.5331694962
SZ300702,420118.21121090907
SH601155,417515.1955388695
SZ002635,409490.0619101669
SZ300782,409227.0538258685
SZ000902,404476.24907128373
SH603605,404379.20922641
SZ002180,380113.44556637725
SZ002373,379710.83250815235
SZ000887,376368.09505231783
SZ002901,372846.5268101677
SZ002241,367344.85892053845
SZ002607,356470.23938800243
SZ002643,346100.9575596722
SZ300072,340322.74995257775
SZ002605,340167.19468495785
SZ300202,335109.2756341393
SZ000531,333114.0629231882
SZ300017,332983.1212075941
SZ300267,331912.3595607125
SH600446,331770.71907605446
SZ300450,329331.9184431168
SH688169,326932.90656697284
SH600991,323296.594543468
SH603489,321916.34077270934
SZ000151,320201.41581307945
SZ002411,315524.6935196621
SH603267,315418.0110779912
SH600398,312676.3078686129
SH600389,309347.70305415895
SZ000960,308747.5804129455
SH603659,308270.1835901437
SZ002050,306475.2653580294
SH600132,294795.48840926215
SZ000036,292530.46407050686
SH600690,290502.0381025794
SZ002100,286862.31329466426
SZ000048,286163.71949364815
SH600131,275767.0841372167
SH688188,273225.7895574821
SZ300124,271162.29368445114
SH600566,269015.35138014494
SZ300251,268344.3438242539
SZ000656,266207.59832816233
SZ300132,266116.4462462823
SH600288,256377.89627308914
SH603233,254878.2128304371
SH603658,254212.65653793362
SZ002458,253707.99501557602
SH600807,252104.34267536178
SH601636,251447.61626484455
SZ002352,251041.91660556418
SZ002504,250797.3537104568
SH600183,249890.43173003197
SH601313,241652.1573211531
SZ300454,240079.71660456806
SZ300025,239907.4432603101
SH603707,231274.12159716105
SZ000527,230936.65382758592
SZ002572,229397.9962163499
SZ002555,227467.9633596642
SZ000661,226949.6842197955
SH601633,226078.3590161748
SZ000522,225474.26882268096
SZ300662,223627.91803215176
SZ000157,223104.2791344749
SZ300352,221478.21090777247
SH600396,211408.97384437412
SZ002507,208662.21366368886
SZ000826,207678.14419195865
SH600582,206191.77727117582
SZ002120,201437.9928355422
SZ300607,197764.78176875878
SH600297,197721.01406174188
SH600801,196704.91867208772
SH600382,193099.54849911283
SH600728,191956.88410848106
SZ300237,188261.1028115251
SH600415,187944.2470754257
SH603305,184829.6537426886
SZ300760,183278.59282543068
SZ000732,182844.11111247563
SZ002008,179898.89384862944
SZ300497,178963.19069969957
SZ002697,176477.13086488098
SZ000563,175543.71276142728
SZ000718,173253.69941552205
SZ300602,163411.50988168654
SZ000540,161143.84985962982
SZ000301,160118.84872125043
SZ300009,157807.75378919148
SZ300274,155984.317081864
SZ002092,154970.82545763836
SZ002146,153399.24655262174
SZ002043,152476.69587174302
SH600315,152186.1399157963
SH600553,147474.21175628036
SZ000753,145442.1088720233
SH601003,145258.35809571145
SZ002841,144680.54349953146
SZ002171,144345.08495556435
SH688301,142619.55585205858
SZ000921,139847.579597609
SH600383,139298.87939471082
SH601000,139212.56127197004
SZ002042,138856.56858332787
SH600684,138840.60828916932
SZ300462,138018.34578684997
SZ000877,136183.4965609715
SH600519,132964.65731959825
SZ002699,131978.5490483134
SZ000673,129533.1275086145
SZ300231,129075.86737381585
SZ300367,127217.24301759317
SH600755,126925.4203257591
SZ000062,125077.61229092645
SZ002706,121757.47317185183
SH600856,119224.23054592311
SZ300273,118664.4642095184
SH603806,118599.46129670017
SZ002299,118315.9775253617
SZ300145,116410.74313502177
SZ000838,116170.54831724125
SH600419,114710.78731360252
SZ300100,113555.94880551868
SH603601,113256.21758444828
SZ002179,112057.28699025256
SZ002681,110545.97147132782
SZ000717,110104.73389151739
SZ300770,108281.61265562475
SZ000625,108281.23642711632
SH603501,107840.3169872564
SZ000688,107687.86703509046
SZ000651,106143.67430856824
SZ000968,105266.40633893164
SH603039,104850.53567706654
SZ002081,104295.4494684866
SZ002061,103923.78011400951
SZ002415,103812.72620273707
SZ300572,102003.47130583809
SZ300027,101965.77818144165
SH600081,101487.59847129462
SZ002038,99944.32332657336
SH601818,98992.59799133276
SH600253,97820.25976318907
SZ002200,95790.53151881718
SH603638,95679.81499001011
SH600863,95492.70948322874
SZ002450,91983.04238539783
SZ002030,90859.54710280197
SH600340,89149.04451270797
SH603040,89109.77695626195
SH600057,88379.74305544281
SH600502,88352.96524028888
SH600258,87540.17210503411
SZ000156,87130.83395009313
SH600263,86599.64453560143
SZ000982,86184.56635746744
SZ002913,85890.99673712964
SZ300738,85752.70499307802
SZ000413,85328.02143781877
SH603882,85267.44851587364
SZ000408,83289.20902897906
SZ300285,83057.67853211844
SZ300182,81867.17773507419
SZ002353,81148.39969893952
SZ000011,79823.20450498408
SZ000568,79796.00398565573
SZ300058,79564.85245202249
SZ300302,79461.8947583267
SH600323,79079.87255265459
SZ002294,78730.00762312475
SZ002273,77711.17064211029
