symbol,net_contribution
SZ300390,1601428.912352277
SZ300014,1499599.5224603512
SZ300763,1462122.8681116647
SZ002475,1117142.6605962059
SZ300595,1019516.4967067919
SH601012,923271.7451350023
SH603127,885698.5795467069
SH603613,833411.3597221551
SH601888,796223.1213185369
SH603010,741773.001644658
SZ300072,737736.2004420261
SZ300593,734294.0133562244
SZ002236,720270.8806275928
SZ300122,714732.5720163631
SH603208,662905.6368238752
SH603444,617309.269270048
SZ300296,614887.3071810283
SH600816,599898.7320150036
SH600132,589012.4081342724
SH688298,575986.1285994179
SZ002085,571658.4071181437
SZ002180,561468.7722267772
SZ000671,523546.18823383027
SH603489,508913.2953445383
SZ002916,504003.9744096061
SZ300850,503703.66642274277
SH600507,481739.175777292
SH601669,478315.47780742345
SH603160,458579.1074351779
SH600309,458484.48600374674
SZ002847,454391.2909935983
SZ000718,451390.32844760746
SZ000977,439166.18721427396
SZ002153,437414.31277975143
SH603986,434350.2717714229
SZ000333,422360.2639931838
SZ300751,417474.4970857396
SZ000661,399808.51746333693
SZ300726,399678.6132993682
SZ002581,396690.094740826
SZ300677,395451.0674654732
SZ300782,392641.8575450578
SZ002241,391181.14286180324
SZ300715,389929.70160851255
SH601766,381860.49659196276
SZ002074,377485.53874097014
SH688036,372281.7741697016
SH600876,369010.5823910644
SH600886,368493.21395617095
SZ000732,366894.33502038603
SZ300661,366658.0675400377
SH600340,362898.5763291672
SZ300529,354600.87180587696
SH600763,339188.7155477047
SZ002508,335718.7941385829
SZ002869,335383.7738664502
SZ002271,333697.98038300587
SZ000151,331713.8218951608
SH603338,321126.9589262733
SH600233,319138.80087802844
SZ000708,318891.7098445397
SZ000902,312737.2472980333
SH600702,312366.97783269105
SZ300136,311331.67656139575
SH603185,305834.6211557881
SH601100,304268.4069801142
SZ000065,300902.4157201195
SZ300702,296597.71568970743
SZ002901,293357.2392906903
SH601919,286694.14888689737
SH600571,283442.6975166055
SH688516,280678.1498268971
SZ002081,279664.8318562382
SZ300638,271495.4240782921
SH600991,271280.67698175204
SH603737,271238.86489443236
SZ000156,256804.39329196277
SZ000957,254738.928472346
SH603233,251687.40901146235
SH688356,250475.67654234753
SH600297,247743.53820044443
SZ002597,242345.994187697
SZ002008,241792.8310118923
SZ002673,240670.08260044327
SZ002709,240363.5277826148
SZ000531,236242.75671666418
SH600027,227232.89393915987
SH600131,225876.5759108927
SZ000600,225594.2380571955
SH603707,223637.94342063786
SZ300025,221115.6951139659
SH600398,217478.0964600703
SZ002643,214123.8650727017
SZ300024,213529.16495867504
SH600396,209902.833809686
SZ000672,209191.01817227743
SZ002458,208552.17608406697
SH600687,202017.70225914143
SZ000563,198779.37222019833
SZ300202,193905.7024962806
SZ000960,188322.50882580312
SZ300015,187066.7406445581
SH603806,185391.97217843495
SZ300628,184270.34092601098
SH600477,182098.14422424417
SZ300132,181577.67374910688
SZ002572,180519.08471255965
SH603605,177643.3294445112
SZ000887,177583.20721657138
SH600288,175122.78868858964
SH601003,174645.77967772604
SH600021,174064.11995091668
SH600483,173840.68601153768
SH600807,171263.07511387725
SZ300100,170634.6392950983
SZ000522,167434.96591640642
SH600487,164412.36244838795
SZ300760,164134.69464204798
SH600690,163122.93006361526
SH600415,161557.51906672792
SH600801,158757.8336243363
SZ002069,158170.62347386032
SZ002841,157219.79073766735
SZ002030,155985.55703311763
SZ002648,153673.4459425304
SH601633,153253.89493156993
SZ000656,151923.18246963958
SH601818,151905.13559118862
SZ002932,151608.13813897618
SZ300017,151098.7784330381
SZ002605,147615.9115670987
SZ300462,145735.66640517244
SZ300324,144726.1245418972
SH600519,144506.11407986173
SZ002100,141623.0657913274
SZ300058,140329.76704544868
SZ002504,140201.6196277031
SZ300182,138277.66909017268
SZ300673,138159.3886762521
SH600383,138004.36876399285
SZ000997,137927.22654095764
SZ300285,132982.2816130009
SZ300208,131708.99306163442
SH601567,131369.9426815876
SZ000157,131280.13522844113
SH600755,129136.36306045268
SZ002043,128757.82995607785
SZ002179,126893.70147855469
SH600662,126737.55621064478
SZ300724,121692.35794216499
SZ002146,120673.86042359672
SH600382,118584.49009739334
SH600863,115029.98440805066
SH601636,114200.15312848822
SH688169,111531.87548730476
SH600266,111197.6890783793
SZ002470,109141.14572431549
SZ002036,108593.29273246374
SH603039,108574.842544841
SH600503,108018.14296493944
SH601318,107843.11564649461
SZ000049,107719.92440222576
SH600020,107065.41417011246
SH603638,105553.78362220188
SZ002049,105350.7620711925
SZ002050,104054.70586021955
SH600566,103736.7571015401
SZ300572,103094.6575710082
SZ002092,102575.60333694902
SZ300432,102278.43771761341
SZ300590,102166.25602352654
SH603887,101603.70769864321
SH600315,101312.85356156487
SH600553,100929.0022344907
SZ000796,100844.80765215901
SH603520,100192.4923650329
SZ000785,99742.1385405726
SZ002208,99461.83809530482
SZ002038,97950.77951580216
SZ300300,97344.87677438633
SZ002718,97329.91441380628
SZ000681,96544.57791584317
SZ002607,95287.49714055331
SZ002467,95116.08175808779
SZ300145,93777.27986548445
SZ300662,91917.01786999911
SZ000527,91473.83799626608
SZ000753,90940.76137482212
SZ300316,90796.9560981018
SZ002681,89732.04513833992
SZ300393,89702.18865065317
SZ300587,89233.26654781587
SH603898,89146.66128266591
SH601000,89136.73945681006
SZ000848,88986.45359695912
SZ002171,87167.09770141367
SZ002411,85752.18562815705
SH600782,85432.27850157523
SZ002042,82754.18922697051
SZ002812,82170.62771838345
SZ002214,81936.67703306046
SZ000838,80478.21072943136
SZ300365,79510.33184949786
SZ002210,78518.67263905553
SZ300357,78083.33429601998
SH600419,77512.4567376796
SZ000930,77511.8738104942
SH603899,77199.18544705561
SZ002285,75943.20301597775
SZ002217,75357.79513529851
SH600057,75262.13142868527
SH601009,74861.29120092205
SZ002029,73554.4679826065
SZ000982,73293.33558443421
SH600502,71772.18481273213
SH601865,70653.75346241286
SH600039,69949.91663774505
SZ300273,69450.64982095757
SZ300197,67910.48511220305
SZ002189,66903.56789855752
SH600253,65996.59927435662
SZ300267,65781.43744095962
SH600684,63997.80751997349
SZ000626,62252.075618942035
SZ300426,61788.12645317908
SZ002507,60146.085951619316
SH603218,57787.084221576806
SZ000553,56460.3313844793
SZ002353,55765.33624909667
SZ001979,55707.58404036274
SZ002595,55395.74077344872
SZ002919,55368.4911751817
SZ000568,55201.40667190205
SZ300026,54631.71454301773
SZ002244,54557.61272889655
SZ002335,53536.08676994522
SH600981,52943.08027950197
SH600081,52882.30097907642
SZ300352,52405.41422831407
SH601238,51336.50763924967
SZ000413,50872.03009767854
SZ000301,50741.663440329605
SH600293,50598.664226267836
SZ002213,50319.54214848374
SZ002061,49744.22319276305
SH688188,49571.69486451952
SZ002410,49476.016033086344
SZ000876,49195.02839059709
SZ002769,47566.564397821785
SZ300454,47486.120482235565
SZ000700,46430.98847200838
SZ002468,45156.967710870435
SZ000673,44866.95965186402
SZ002714,44554.91043454583
SH600550,44489.308671611245
SH601689,43815.24986228009
SH603568,43013.96647567849
SZ000540,42665.546438922815
SZ300115,42225.706054939306
SH600535,41952.92273866758
SZ300009,41112.83529092395
SZ300124,40505.857470724965
SZ002469,39944.376591805136
SZ000799,39212.529308018275
SH600422,38542.313965760375
SH600230,38056.4998241642
SZ002859,37958.07728320535
SZ000029,37837.70394107269
SH603882,37612.98896754719
SZ002055,37415.312579774225
SZ300274,36969.072956114425
SH600258,36898.35592974571
SH600570,36756.791069242754
SZ002867,36340.124531059
SZ300567,36164.519464526034
SZ002273,35772.77927397814
SH600983,35610.131495003414
SH600629,34806.200396579574
SZ000043,34665.10473600292
SZ300232,34455.004468930885
SZ002294,34371.32384383719
SZ000538,34052.2791635539
SZ000963,33629.53245356638
SH600201,33554.62203703844
SZ001914,33029.350525833666
SZ300428,32631.93481563026
SZ000826,32380.230281499622
SH600557,32191.060475646693
SZ300302,32022.317800929188
SZ002304,31877.901632563007
SZ002223,31830.040744303493
SH688301,31316.97629286698
SZ300237,31172.597964476096
SZ300188,30197.930965358566
SH603658,30090.545785700902
SH600287,29925.79581751686
SH601515,29837.17814725428
SZ000968,29817.772887479514
SH600547,29687.86280686414
SH600546,29361.3001558634
SH600985,29218.73308595596
SZ000423,28926.342271329777
SH600323,28786.19466739433
SH600157,28764.29459829518
