trade_date,cash,positions_value,total_value,daily_return
2010-01-04,10000000.0,0.0,10000000.0,0.0
2010-01-05,10000000.0,0.0,10000000.0,0.0
2010-01-06,10000000.0,0.0,10000000.0,0.0
2010-01-07,10000000.0,0.0,10000000.0,0.0
2010-01-08,10000000.0,0.0,10000000.0,0.0
2010-01-11,7499816.303207549,2492948.2880592346,9992764.591266785,-0.0007235408733214932
2010-01-12,7499816.303207549,2544620.1363563538,10044436.439563904,0.005170926206174986
2010-01-13,7499816.303207549,2540632.839202881,10040449.142410431,-0.00039696574093173176
2010-01-14,7499816.303207549,2620473.1491088867,10120289.452316437,0.00795186637306533
2010-01-15,7499816.303207549,2625437.112903595,10125253.416111145,0.0004904962272171964
2010-01-18,7499816.303207549,2644897.596645355,10144713.899852905,0.0019219749809713527
2010-01-19,7499816.303207549,2642136.9389533997,10141953.24216095,-0.0002721277030784952
2010-01-20,7499816.303207549,2511373.763656616,10011190.066864166,-0.012893293054555777
2010-01-21,7499816.303207549,2508279.0996551514,10008095.402862702,-0.00030912049224873783
2010-01-22,7499816.303207549,2495078.575897217,9994894.879104767,-0.0013189846046191
2010-01-25,7499816.303207549,2447580.951499939,9947397.25470749,-0.004752188489403286
2010-01-26,7499816.303207549,2357326.976966858,9857143.280174408,-0.009073124579433989
2010-01-27,7499816.303207549,2349261.3565444946,9849077.659752045,-0.0008182513120800206
2010-01-28,7499816.303207549,2385463.286972046,9885279.590179596,0.0036756670703785854
2010-01-29,7499816.303207549,2436264.9132728577,9936081.216480408,0.005139118811700483
2010-02-01,7499816.303207549,2501437.7371788025,10001254.040386353,0.006559208050538778
2010-02-02,7499816.303207549,2436824.7420310974,9936641.045238648,-0.006460489343315334
2010-02-03,7499816.303207549,2441963.0653381348,9941779.368545685,0.0005171086772324252
2010-02-04,7499816.303207549,2469333.82768631,9969150.13089386,0.0027531049858913192
2010-02-05,7499816.303207549,2392707.8424453735,9892524.145652924,-0.007686310691969234
2010-02-08,5897188.863911784,3988263.4501457214,9885452.314057507,-0.0007148662455905841
2010-02-09,5897188.863911784,3975698.3010292053,9872887.16494099,-0.0012710747791123689
2010-02-10,5897188.863911784,3998175.2625465393,9895364.126458324,0.002276635106005287
2010-02-11,5897188.863911784,4000164.1426086426,9897353.006520428,0.00020099109408056037
2010-02-12,5897188.863911784,4035116.1277770996,9932304.991688885,0.003531447766431217
2010-02-22,5897188.863911784,4041750.5863189697,9938939.450230755,0.000667967661828861
2010-02-23,5897188.863911784,4055632.293319702,9952821.157231487,0.0013966990210820818
2010-02-24,5897188.863911784,4157682.4407577515,10054871.304669537,0.010253389046773087
2010-02-25,5897188.863911784,4207276.732158661,10104465.596070446,0.004932364611954565
2010-02-26,5897188.863911784,4201077.741622925,10098266.60553471,-0.0006134901917175251
2010-03-01,5897188.863911784,4265852.409553528,10163041.273465313,0.006414434324312657
2010-03-02,5897188.863911784,4235536.308002472,10132725.171914257,-0.0029829753452057517
2010-03-03,5897188.863911784,4277104.877471924,10174293.741383709,0.004102407670610875
2010-03-04,5897188.863911784,4154341.4834976196,10051530.347409405,-0.012066035942619457
2010-03-05,5897188.863911784,4143157.6398849487,10040346.503796734,-0.0011126508328708207
2010-03-08,5997488.3666063165,4041430.612850189,10038918.979456507,-0.00014217879230438157
2010-03-09,5997488.3666063165,4057729.258823395,10055217.625429712,0.0016235459222808668
2010-03-10,5997488.3666063165,4013168.2579040527,10010656.62451037,-0.004431629685134553
2010-03-11,5997488.3666063165,3979663.7307167053,9977152.097323023,-0.003346886067924215
2010-03-12,5997488.3666063165,3946797.5662231445,9944285.932829462,-0.0032941428749371227
2010-03-15,5997488.3666063165,3936642.548751831,9934130.915358149,-0.0010211912187468863
2010-03-16,5997488.3666063165,3950225.1930236816,9947713.55963,0.0013672705128993101
2010-03-17,5997488.3666063165,4033732.5065612793,10031220.873167597,0.008394623853715366
2010-03-18,5997488.3666063165,4052320.4272270203,10049808.793833338,0.0018530068174913428
2010-03-19,5997488.3666063165,4059004.683971405,10056493.050577722,0.0006651128276675689
2010-03-22,5997488.3666063165,4097282.000541687,10094770.367148004,0.0038062291076792487
2010-03-23,5997488.3666063165,4095604.900741577,10093093.267347895,-0.00016613550770483432
2010-03-24,5997488.3666063165,4062138.8241767883,10059627.190783106,-0.0033157403462281687
2010-03-25,5997488.3666063165,3999624.303817749,9997112.670424066,-0.006214397330381871
2010-03-26,5997488.3666063165,4079312.2590065002,10076800.625612818,0.007971097037297925
2010-03-29,5997488.3666063165,4115395.377445221,10112883.744051538,0.0035808109914376995
2010-03-30,5997488.3666063165,4112460.7845306396,10109949.151136957,-0.0002901835904429717
2010-03-31,5997488.3666063165,4130196.521091461,10127684.887697779,0.0017542854366212612
2010-04-01,5997488.3666063165,4204435.323047638,10201923.689653955,0.007330283552399619
2010-04-02,5997488.3666063165,4212621.725654602,10210110.09226092,0.0008024371536190511
2010-04-06,5997488.3666063165,4215665.282821655,10213153.649427973,0.00029809249259327153
2010-04-07,5997488.3666063165,4235101.41620636,10232589.782812677,0.0019030491513063463
2010-04-08,5997488.3666063165,4198983.415222168,10196471.781828485,-0.0035297028172533995
2010-04-09,3548481.832801723,6719790.149211884,10268271.982013606,0.007041671052635756
2010-04-12,3548481.832801723,6738943.9086437225,10287425.741445445,0.0018653342515069227
2010-04-13,3548481.832801723,6819034.530305862,10367516.363107584,0.0077852928103747665
2010-04-14,3548481.832801723,6860129.173564911,10408611.006366633,0.003963788608550622
2010-04-15,3548481.832801723,6811373.244762421,10359855.077564143,-0.004684191653686276
2010-04-16,3548481.832801723,6776692.012023926,10325173.844825648,-0.003347656166890034
2010-04-19,3548481.832801723,6425101.292800903,9973583.125602625,-0.03405179656119961
2010-04-20,3548481.832801723,6498915.53106308,10047397.363864802,0.007400974888622791
2010-04-21,3548481.832801723,6637478.86595726,10185960.698758982,0.013790967936882836
2010-04-22,3548481.832801723,6665326.157474518,10213807.99027624,0.002733889550609714
2010-04-23,3548481.832801723,6675091.929721832,10223573.762523554,0.0009561343092225894
2010-04-26,3548481.832801723,6708534.566831589,10257016.39963331,0.003271129830582975
2010-04-27,3548481.832801723,6567070.542764664,10115552.375566386,-0.013791927257909231
2010-04-28,3548481.832801723,6579775.044202805,10128256.877004527,0.0012559374877865181
2010-04-29,3548481.832801723,6335905.659914017,9884387.492715739,-0.024078119981581048
2010-04-30,3548481.832801723,6169355.716562271,9717837.549363993,-0.01684979908714468
2010-05-04,3548481.832801723,6208386.122274399,9756867.95507612,0.004016367377398966
2010-05-05,3548481.832801723,6333509.887742996,9881991.720544718,0.012824173294617491
2010-05-06,3548481.832801723,6120660.935258865,9669142.768060587,-0.02153907415664158
2010-05-07,3548481.832801723,6005779.86035347,9554261.693155192,-0.011881205776056447
2010-05-10,3548481.832801723,5846295.804262161,9394777.637063883,-0.016692452144739245
2010-05-11,276.3377317259401,9087362.136542797,9087638.474274524,-0.032692542032889294
2010-05-12,276.3377317259401,9050760.413599014,9051036.75133074,-0.0040276385385923374
2010-05-13,276.3377317259401,9314687.921226025,9314964.258957751,0.029159920004546036
2010-05-14,276.3377317259401,9319849.29100275,9320125.628734477,0.0005540944262627523
2010-05-17,276.3377317259401,8738850.980341434,8739127.318073161,-0.06233803425031792
2010-05-18,276.3377317259401,8948222.966396809,8948499.304128535,0.023957996998439146
2010-05-19,276.3377317259401,8969897.84424305,8970174.181974776,0.002422180201348434
2010-05-20,276.3377317259401,8898618.09065342,8898894.428385146,-0.007946306520208224
2010-05-21,276.3377317259401,9169306.299185753,9169582.63691748,0.030418184046425933
2010-05-24,276.3377317259401,9614536.166417599,9614812.504149325,0.048555085314277546
2010-05-25,276.3377317259401,9461510.058152676,9461786.395884402,-0.015915662234586847
2010-05-26,276.3377317259401,9451529.795837402,9451806.133569129,-0.0010547968319823964
2010-05-27,276.3377317259401,9585438.490009308,9585714.827741034,0.014167524415922284
2010-05-28,276.3377317259401,9600026.067352295,9600302.405084021,0.0015218038096409536
2010-05-31,276.3377317259401,9345954.436314106,9346230.774045832,-0.026464961239516804
2010-06-01,276.3377317259401,9219459.479117393,9219735.81684912,-0.01353432846404612
2010-06-02,276.3377317259401,9376043.317008018,9376319.654739745,0.01698354931216861
2010-06-03,276.3377317259401,9334864.501309395,9335140.839041121,-0.004391788805729102
2010-06-04,276.3377317259401,9430386.518836021,9430662.856567748,0.010232520234417564
2010-06-07,276.3377317259401,9377932.709288597,9378209.047020324,-0.00556204906751534
2010-06-08,240.19761857323465,9511454.49540615,9511694.693024725,0.014233596770463652
2010-06-09,240.19761857323465,9679949.514269829,9680189.711888403,0.017714510852334442
2010-06-10,240.19761857323465,9732399.614548683,9732639.812167257,0.005418292599621122
2010-06-11,240.19761857323465,9684889.708542824,9685129.906161398,-0.004881502544300975
2010-06-17,240.19761857323465,9453769.371151924,9454009.568770498,-0.023863421516304828
2010-06-18,240.19761857323465,9066307.686114311,9066547.883732885,-0.04098384735271665
2010-06-21,240.19761857323465,9328121.046507359,9328361.244125932,0.028876851890099253
2010-06-22,240.19761857323465,9410093.584430218,9410333.782048792,0.008787453206154261
2010-06-23,240.19761857323465,9424669.152855873,9424909.350474447,0.0015488896316790957
2010-06-24,240.19761857323465,9430804.547095299,9431044.744713873,0.0006509764721627231
2010-06-25,240.19761857323465,9285276.23720169,9285516.434820265,-0.01543077292419559
2010-06-28,240.19761857323465,9060923.179721832,9061163.377340406,-0.024161613309793384
2010-06-29,240.19761857323465,8607286.543107033,8607526.740725607,-0.050063840339666044
2010-06-30,240.19761857323465,8610727.387881279,8610967.585499853,0.0003997483688278347
2010-07-01,240.19761857323465,8468717.780518532,8468957.978137106,-0.016491713149853204
2010-07-02,240.19761857323465,8340898.009824753,8341138.207443326,-0.015092738802548133
2010-07-05,240.19761857323465,8369837.435555458,8370077.633174031,0.0034694816236087167
2010-07-06,240.19761857323465,8616558.978629112,8616799.176247686,0.029476613466020485
2010-07-07,240.19761857323465,8739729.107880592,8739969.305499166,0.014294185895732614
2010-07-08,110.67249631727464,8762454.533314705,8762565.205811022,0.002585352364754767
2010-07-09,110.67249631727464,8988719.430279732,8988830.102776049,0.025821764705953543
2010-07-12,110.67249631727464,8992914.890885353,8993025.56338167,0.0004667415623225146
2010-07-13,110.67249631727464,8875052.857518196,8875163.530014513,-0.013105937766603737
2010-07-14,110.67249631727464,8892836.18004322,8892946.852539537,0.0020037177303702247
2010-07-15,110.67249631727464,8749069.66240406,8749180.334900377,-0.016166352956231256
2010-07-16,110.67249631727464,8768988.135170937,8769098.807667254,0.00227661015140157
2010-07-19,110.67249631727464,8935089.360189438,8935200.032685755,0.018941652803965647
2010-07-20,110.67249631727464,9160184.094429016,9160294.766925333,0.02519190767035573
2010-07-21,110.67249631727464,9139912.346792221,9140023.019288538,-0.002213001672172088
2010-07-22,110.67249631727464,9275645.848155022,9275756.520651339,0.014850455089265857
2010-07-23,110.67249631727464,9292351.16596222,9292461.838458536,0.0018009655352644316
2010-07-26,110.67249631727464,9430040.916085243,9430151.58858156,0.014817359760700866
2010-07-27,110.67249631727464,9477042.361211777,9477153.033708094,0.004984166445791249
2010-07-28,110.67249631727464,9675471.41315937,9675582.085655687,0.020937622431739467
2010-07-29,110.67249631727464,9708922.972035408,9709033.644531725,0.0034573174595491363
