trade_date,symbol,side,requested_shares,filled_shares,price,gross_value,commission,tax,reason
2010-01-11,SH600553,buy,48300,48300,10.353127666473387,500056.0662906646,150.01681988719938,0.0,filled
2010-01-11,SH600607,buy,22700,22700,22.021978998184203,499898.9232587814,149.9696769776344,0.0,filled
2010-01-11,SH600631,buy,27700,27700,18.03789635658264,499649.7290773391,149.89491872320173,0.0,filled
2010-01-11,SZ000522,buy,40000,40000,12.503638188362121,500145.52753448486,150.04365826034544,0.0,filled
2010-01-11,SZ000527,buy,38400,38400,13.012594283103942,499683.62047119136,149.9050861413574,0.0,filled
2010-02-08,SH600263,buy,50500,50500,9.781405735969543,493960.9896664619,148.18829689993856,0.0,filled
2010-02-08,SH600553,buy,2300,2300,9.775123329162597,22482.78365707397,6.74483509712219,0.0,filled
2010-02-08,SH600631,buy,1000,1000,17.184441749572752,17184.44174957275,5.155332524871825,0.0,filled
2010-02-08,SZ000522,buy,3100,3100,11.460256524085997,35526.79522466659,10.658038567399975,0.0,filled
2010-02-08,SZ000527,buy,4000,4000,11.655439763069152,46621.75905227661,13.986527715682982,0.0,filled
2010-02-08,SZ000578,buy,21600,21600,22.804466560363768,492576.47770385735,147.7729433111572,0.0,filled
2010-02-08,SZ002082,buy,37200,37200,13.274020112991332,493793.5482032776,148.13806446098326,0.0,filled
2010-03-08,SH600607,sell,22700,0,,0.0,0.0,0.0,missing_open
2010-03-08,SH600263,sell,50500,50500,10.98543968296051,554764.7039895058,166.4294111968517,554.7647039895057,filled
2010-03-08,SH600553,sell,50600,50600,9.914727447509765,501685.2088439941,150.5055626531982,501.68520884399413,filled
2010-03-08,SH600631,sell,1200,1200,18.20992317008972,21851.907804107665,6.555572341232299,21.851907804107665,filled
2010-03-08,SZ000522,sell,1700,1700,12.120834028244019,20605.417848014833,6.181625354404449,20.605417848014834,filled
2010-03-08,SZ000527,sell,3000,3000,12.731405058860778,38194.21517658234,11.4582645529747,38.19421517658234,filled
