variant,period,total_return,annualized_return,maximum_drawdown,sharpe,calmar,benchmark_total_return,benchmark_annualized_return,annualized_excess_return
standard,development,1.806894043196718,0.14315040044433158,0.5198897566266705,0.6460954696902823,0.27534760710264766,0.38582754135131836,0.04320511921964809,0.09994528122468349
standard,selection-validation,0.9123905230672855,0.18284083513175609,0.36519703209302246,0.7712499344558444,0.5006635297221779,0.17734789848327637,0.04319101168069173,0.13964982345106436
standard,full,4.367877567463404,0.15623933351675756,0.5198897566266705,0.6882655832123635,0.3005239697941424,0.631600022315979,0.04320035153377222,0.11303898198298534
double-cost,development,1.4839621975881196,0.12518127905604515,0.520389268886255,0.5867403768163603,0.2405531523045431,0.38582754135131836,0.04320511921964809,0.08197615983639706
double-cost,selection-validation,0.8115122552800575,0.16635521144927323,0.36813778415817944,0.7205473099602652,0.4518830139364196,0.17734789848327637,0.04319101168069173,0.1231641997685815
double-cost,full,3.4997279625832505,0.1387511897862339,0.520389268886255,0.6317855242499169,0.26662961379505634,0.631600022315979,0.04320035153377222,0.09555083825246169
delay-1,development,1.6539483742312555,0.13487759969252644,0.5120834775329544,0.6225394760530111,0.26338986827366756,0.38582754135131836,0.04320511921964809,0.09167248047287835
delay-1,selection-validation,0.7987252783742551,0.164217327516198,0.3673307633528232,0.7137317173378719,0.44705574348660354,0.17734789848327637,0.04319101168069173,0.12102631583550627
delay-1,full,3.773724028230033,0.14458109655263862,0.5120834775329544,0.6533978173902703,0.2823389210860339,0.631600022315979,0.04320035153377222,0.1013807450188664
slippage-30bp,development,1.4496703174363947,0.12315547695791107,0.5203388091506346,0.579974534199036,0.23668324328708373,0.38582754135131836,0.04320511921964809,0.07995035773826298
slippage-30bp,selection-validation,0.7957253408718516,0.16371413094943632,0.36834333556424137,0.7123383815371999,0.4444606842109773,0.17734789848327637,0.04319101168069173,0.1205231192687446
slippage-30bp,full,3.398935065802127,0.13652469452027138,0.5203388091506346,0.6245228032112782,0.26237653644002634,0.631600022315979,0.04320035153377222,0.09332434298649916
capacity-5pct,development,1.814499315513229,0.14355143784294588,0.5194437466501549,0.6474261819302787,0.27635608045855964,0.38582754135131836,0.04320511921964809,0.10034631862329779
capacity-5pct,selection-validation,0.9133836820935854,0.1829998994154587,0.36506297245755126,0.7716527236264009,0.5012831024289583,0.17734789848327637,0.04319101168069173,0.13980888773476696
capacity-5pct,full,4.385217063566597,0.1565615188221099,0.5194437466501549,0.6892887044928824,0.3014022593048059,0.631600022315979,0.04320035153377222,0.11336116728833767
offset-5,development,1.7394120067304635,0.13954993535605742,0.49563197133757786,0.6320602996216742,0.28155959144332343,0.38582754135131836,0.04320511921964809,0.09634481613640933
offset-5,selection-validation,0.7422441398573136,0.15463707815337524,0.34861094015126837,0.6835296332863356,0.44358068076198504,0.17734789848327637,0.04319101168069173,0.11144606647268351
offset-5,full,3.7727245153809204,0.14456039116835684,0.49563197133757786,0.6492992905491262,0.29166881784931487,0.631600022315979,0.04320035153377222,0.10136003963458462
offset-10,development,1.49327012577834,0.12572694604012047,0.48737153122604915,0.5929209355942799,0.2579694093412418,0.38582754135131836,0.04320511921964809,0.08252182682047238
offset-10,selection-validation,0.7299432089644189,0.15252017290351239,0.3768922232270143,0.6728364624711188,0.4046784823459851,0.17734789848327637,0.04319101168069173,0.10932916122282066
offset-10,full,3.3132157222041103,0.13459418768696763,0.48737153122604915,0.6201346175002238,0.27616341756437374,0.631600022315979,0.04320035153377222,0.0913938361531954
offset-15,development,1.0807961602117362,0.09964366626755794,0.48806826713681173,0.5033382024426876,0.20415928052873505,0.38582754135131836,0.04320511921964809,0.05643854704790985
offset-15,selection-validation,0.7516326566908833,0.15624533691566156,0.3501497750239656,0.68898091422091,0.44622429617430864,0.17734789848327637,0.04319101168069173,0.11305432523496983
offset-15,full,2.644790506143875,0.11820895178475488,0.48806826713681173,0.5665068953617953,0.24219757715086077,0.631600022315979,0.04320035153377222,0.07500860025098266
exclude-top5,development,1.8597668184393426,0.1459191300294771,0.520089306888172,0.6549326628231182,0.2805655261450168,0.38582754135131836,0.04320511921964809,0.102714010809829
exclude-top5,selection-validation,0.6243295894070491,0.13386954523408123,0.3652339974400115,0.6160532314090859,0.3665308984716541,0.17734789848327637,0.04319101168069173,0.0906785335533895
exclude-top5,full,3.6452038619954905,0.14188568200742036,0.520089306888172,0.6421254979729736,0.2728102272595429,0.631600022315979,0.04320035153377222,0.09868533047364814
exclude-top-industry,development,1.4761250906997119,0.12472045553624933,0.5191130530940948,0.5849469942421841,0.2402568280509841,0.38582754135131836,0.04320511921964809,0.08151533631660124
exclude-top-industry,selection-validation,0.6611899121757705,0.14047825476131814,0.36149245292986076,0.6422804824703462,0.38860632807892864,0.17734789848327637,0.04319101168069173,0.09728724308062642
exclude-top-industry,full,3.1133140219556674,0.1299523070870976,0.5191130530940948,0.6040327539490749,0.25033527150306956,0.631600022315979,0.04320035153377222,0.08675195555332538
industry-cap-25pct,development,1.856499126305347,0.14574931160092097,0.5214516299944649,0.6540771164769569,0.27950686740104363,0.38582754135131836,0.04320511921964809,0.10254419238127288
industry-cap-25pct,selection-validation,0.9199570292876609,0.1840511466624395,0.36535449118554264,0.7757285452197806,0.503760460327749,0.17734789848327637,0.04319101168069173,0.14086013498174776
industry-cap-25pct,full,4.484355576704022,0.15838561222983794,0.5214516299944649,0.6949919499997823,0.3037397969808229,0.631600022315979,0.04320035153377222,0.11518526069606572
