symbol,net_contribution
SZ300390,1881369.5574238137
SZ300763,1620527.7559378229
SZ300014,1456534.3704793763
SZ002475,1290209.311306439
SZ300593,1090747.5309615347
SZ300122,982277.7258858617
SH603986,977259.8290678803
SZ300595,970791.7502507751
SH600702,970134.3617765574
SZ300726,957840.5155846344
SH601669,915861.0585006243
SZ002847,901458.4749577573
SZ002085,894437.812523065
SH603208,866190.7640420052
SZ002916,816336.971699016
SH601766,807559.1892642007
SH600606,803636.4990804503
SH601012,794501.1032244973
SZ002709,765392.4507054545
SH605111,758200.444970554
SH603444,739510.0109752698
SZ002110,738813.6820145996
SZ002236,728348.9067518588
SH603613,706937.3989145826
SH688516,703543.7847613371
SH600507,690494.5301375624
SZ300850,681103.4589449312
SH601888,679415.4426549274
SZ300628,639103.0545955712
SH603160,624072.7694064367
SZ000671,621743.2489613399
SZ300296,596014.5010861147
SZ300661,585869.404574337
SZ300715,553907.4573041127
SH600487,553101.4404185459
SZ002581,551753.0151093425
SZ002714,549045.4864370697
SH600886,536164.5161665209
SZ300033,536045.2799444981
SH600981,524515.7588664482
SH603010,517854.7058782389
SH688298,505929.2820300665
SH603127,503014.5624543935
SZ002153,499194.4696766508
SH603185,487508.0670934417
SH600233,482923.16549750965
SH600816,475828.64419136965
SH688036,470357.21923861676
SZ000957,466625.77385441976
SH600687,466596.05056315113
SH601100,464665.180547704
SH603887,462673.2213033561
SH688356,462244.63964725565
SH601919,462085.86057977355
SZ002508,460588.32956732303
SZ300529,456196.181589428
SZ002074,452870.38894055545
SH600309,424480.653585762
SZ300632,405472.5288272035
SZ300638,405139.55373030447
SZ300136,400037.7721779557
SH600021,392920.6978506694
SH600763,383379.43776967376
SH603737,381426.6665063887
SZ000799,379694.1916833543
SZ000977,378964.7380369641
SZ000708,374450.5802245198
SZ300587,374158.28025754075
SZ000600,373221.24566202384
SZ300677,373052.4474871685
SZ000333,367592.3967896703
SZ002271,365942.27514091966
SZ002635,364658.58236896317
SZ000902,357495.62614073465
SH601155,348599.59375877725
SZ300724,344690.4178816263
SZ002241,339712.0244032437
SZ002869,337153.29649394937
SZ002373,336158.21677098447
SZ000887,335176.9717118541
SZ002180,332520.5725778239
SH603605,329070.73276991374
SZ300450,323401.90164837125
SZ300782,322938.2986201757
SZ300702,319848.8686482074
SH600991,315483.33237647626
SZ002643,303954.2786285643
SZ000960,302635.0061449374
SZ300202,301472.48954701127
SZ002901,296303.0639525467
SZ000531,292432.1377957809
SH600446,290490.5366454611
SZ000151,282630.5828377214
SH600398,278568.7963311894
SZ300017,275846.3567301369
SZ300072,274050.3650414335
SZ002411,271356.5400159939
SH600389,269058.9070111711
SZ002605,268445.8608192119
SH688169,267262.00484516635
SZ002607,267144.4428883905
SH603489,264523.49021745427
SZ002050,258245.63183500187
SH603659,252459.59568232135
SZ000048,251324.2498514448
SH600288,250474.30704616368
SH603267,249383.14079137612
SZ000036,242119.63850738044
SH600690,238581.10447403626
SZ300251,236357.8665397872
SH600566,229131.7770705138
SH688188,226331.93697244534
SH600807,222289.2412622802
SZ002100,221142.64631672367
SZ000656,220883.85917194502
SZ000527,220527.8772994271
SZ300025,219661.81479608885
SZ002504,219411.5915539579
SZ000157,218725.23323346733
SH600131,217385.7055457118
SZ000522,217316.990001517
SZ002458,216006.78817335074
SZ002352,215925.82832043723
SH601633,213948.05914748047
SZ300132,212987.44514306396
SH601313,205749.5354151558
SH601636,204135.5740109994
SH603233,197974.5626131869
SH600183,197430.26966816222
SH603658,193083.20339831722
SZ000826,192722.89897114207
SZ300267,192097.59037109226
SZ002572,191426.83162482618
SZ300454,190320.57705053408
SH600132,186976.33760265564
