trade_date,cash,positions_value,total_value,daily_return
2010-01-04,7496920.216152164,2467753.3410072327,9964673.557159398,-0.0035326442840601935
2010-01-05,7496920.216152164,2441845.891857147,9938766.108009312,-0.0025999295412413304
2010-01-06,7496920.216152164,2438931.1884880066,9935851.404640172,-0.00029326611950264425
2010-01-07,7496920.216152164,2392312.3832702637,9889232.599422429,-0.004691978907411132
2010-01-08,7496920.216152164,2405654.8347473145,9902575.05089948,0.0013491897720991908
2010-01-11,7496920.216152164,2424839.009284973,9921759.225437138,0.0019372915064064244
2010-01-12,7496920.216152164,2474988.829231262,9971909.045383427,0.005054529021195853
2010-01-13,7496920.216152164,2471635.0757598877,9968555.291912053,-0.0003363201024108031
2010-01-14,7496920.216152164,2548547.2338676453,10045467.45001981,0.007715476902672158
2010-01-15,7496920.216152164,2553494.978904724,10050415.19505689,0.0004925350723294919
2010-01-18,7496920.216152164,2572951.862716675,10069872.07886884,0.0019359283606035227
2010-01-19,7496920.216152164,2570639.703845978,10067559.919998143,-0.0002296115434821111
2010-01-20,7496920.216152164,2444014.6657943726,9940934.881946538,-0.012577530112344082
2010-01-21,7496920.216152164,2441204.9927711487,9938125.208923314,-0.0002826366993236018
2010-01-22,7496920.216152164,2426990.6398773193,9923910.856029484,-0.001430285148859567
2010-01-25,7496920.216152164,2380723.7426757812,9877643.958827946,-0.004662163724841184
2010-01-26,7496920.216152164,2292762.0197296143,9789682.23588178,-0.00890513196393894
2010-01-27,7496920.216152164,2284589.807987213,9781510.024139378,-0.0008347780393165305
2010-01-28,7496920.216152164,2319670.834827423,9816591.050979588,0.0035864633122733025
2010-01-29,7496920.216152164,2370509.7067832947,9867429.92293546,0.005178872349052233
2010-02-01,5930996.405954863,3952328.690433502,9883325.096388366,0.0016108726970496257
2010-02-02,5930996.405954863,3870950.3337860107,9801946.739740875,-0.008233904668098924
2010-02-03,5930996.405954863,3906017.0888900757,9837013.49484494,0.00357752965152236
2010-02-04,5930996.405954863,3949284.9769592285,9880281.382914092,0.004398478063675215
2010-02-05,5930996.405954863,3834165.1849746704,9765161.590929534,-0.011651468973711054
2010-02-08,5930996.405954863,3827456.6029548645,9758453.008909728,-0.000686991398691994
2010-02-09,5930996.405954863,3814800.8370399475,9745797.242994811,-0.0012969028905874813
2010-02-10,5930996.405954863,3836412.578678131,9767408.984632995,0.0022175447630738976
2010-02-11,5930996.405954863,3838133.4560394287,9769129.861994293,0.00017618565619659243
2010-02-12,5930996.405954863,3871697.9286193848,9802694.334574249,0.0034357689020527715
2010-02-22,5930996.405954863,3877766.7066574097,9808763.112612274,0.0006190928566058851
2010-02-23,5930996.405954863,3891774.6465682983,9822771.052523162,0.0014281046193149738
2010-02-24,5930996.405954863,3990222.8776931763,9921219.28364804,0.010022449937850286
2010-02-25,5930996.405954863,4037611.4079475403,9968607.813902404,0.004776482496709811
2010-02-26,5930996.405954863,4031651.121711731,9962647.527666595,-0.0005979055799042454
2010-03-01,5474325.714318436,4547653.284311295,10021978.99862973,0.005955391957646716
2010-03-02,5474325.714318436,4521321.053504944,9995646.76782338,-0.0026274482125686616
2010-03-03,5474325.714318436,4565689.382076263,10040015.096394699,0.0044387651546615725
2010-03-04,5474325.714318436,4426449.663305283,9900775.377623718,-0.01386847703256755
2010-03-05,5474325.714318436,4397997.5924015045,9872323.30671994,-0.0028737214832771363
2010-03-08,5474325.714318436,4401166.0529613495,9875491.767279785,0.0003209437597821996
2010-03-09,5474325.714318436,4407844.335317612,9882170.049636047,0.000676248080970332
2010-03-10,5474325.714318436,4355893.284130096,9830218.998448532,-0.005257048899844463
2010-03-11,5474325.714318436,4326188.330125809,9800514.044444244,-0.0030217998204288277
2010-03-12,5474325.714318436,4291840.05651474,9766165.770833176,-0.0035047420426421727
2010-03-15,5474325.714318436,4273583.917474747,9747909.631793182,-0.0018693251239412234
2010-03-16,5474325.714318436,4291788.609981537,9766114.324299973,0.0018675483456898068
2010-03-17,5474325.714318436,4382006.856584549,9856332.570902985,0.009237885571186766
2010-03-18,5474325.714318436,4400151.981210709,9874477.695529144,0.001840961077117731
2010-03-19,5474325.714318436,4411652.140951157,9885977.855269592,0.0011646347376585986
2010-03-22,5474325.714318436,4447577.249288559,9921902.963606995,0.0036339458638634525
2010-03-23,5474325.714318436,4436083.650493622,9910409.364812057,-0.0011584066924555936
2010-03-24,5474325.714318436,4404677.913141251,9879003.627459686,-0.0031689646911943203
2010-03-25,5474325.714318436,4332978.5086631775,9807304.222981613,-0.007257756670802085
2010-03-26,5474325.714318436,4416358.410787582,9890684.125106018,0.008501816628571524
2010-03-29,5474325.714318436,4462698.260211945,9937023.97453038,0.004685201634003766
2010-03-30,5474325.714318436,4458777.495145798,9933103.209464233,-0.000394561296842566
2010-03-31,5474325.714318436,4471555.434656143,9945881.148974579,0.001286399551166495
2010-04-01,3478177.107519238,6564750.843477249,10042927.950996486,0.00975748659855169
2010-04-02,3478177.107519238,6574018.964958191,10052196.072477428,0.0009228505398191089
2010-04-06,3478177.107519238,6587366.370582581,10065543.478101818,0.0013278099161768697
2010-04-07,3478177.107519238,6585133.88504982,10063310.992569057,-0.0002217948327993824
2010-04-08,3478177.107519238,6561786.084222794,10039963.19174203,-0.002320091354054976
2010-04-09,3478177.107519238,6629527.7623176575,10107704.869836895,0.006747203829450488
2010-04-12,3478177.107519238,6648900.334596634,10127077.442115871,0.0019166143579030237
2010-04-13,3478177.107519238,6731709.684276581,10209886.791795818,0.008177023445635312
2010-04-14,3478177.107519238,6773446.852445602,10251623.95996484,0.004087916841796879
2010-04-15,3478177.107519238,6724683.130455017,10202860.237974254,-0.004756682666182455
2010-04-16,3478177.107519238,6690964.602136612,10169141.70965585,-0.0033048113501454868
2010-04-19,3478177.107519238,6343498.302745819,9821675.410265056,-0.03416869479366824
2010-04-20,3478177.107519238,6417807.260227203,9895984.36774644,0.00756581279439561
2010-04-21,3478177.107519238,6554820.649051666,10032997.756570904,0.013845352188613491
2010-04-22,3478177.107519238,6581253.945207596,10059431.052726833,0.002634635908157934
2010-04-23,3478177.107519238,6594221.149110794,10072398.256630031,0.0012890593747529877
2010-04-26,3478177.107519238,6629770.983219147,10107948.090738384,0.003529430946095813
2010-04-27,3478177.107519238,6489581.902980804,9967759.010500042,-0.013869192736238323
2010-04-28,3478177.107519238,6505057.0640563965,9983234.171575634,0.0015525215907898904
2010-04-29,3478177.107519238,6261430.983400345,9739608.090919582,-0.024403522592879368
2010-04-30,3478177.107519238,6096192.04826355,9574369.155782787,-0.016965665722304624
2010-05-04,324.62803974421695,9470727.164161205,9471051.792200949,-0.010791036140426646
2010-05-05,324.62803974421695,9618331.17723465,9618655.805274393,0.015584754081377827
2010-05-06,324.62803974421695,9220871.38313055,9221196.011170294,-0.04132176076891658
2010-05-07,324.62803974421695,8971246.288979053,8971570.917018797,-0.027070793620383782
2010-05-10,324.62803974421695,9012023.66117239,9012348.289212134,0.004545176376634652
2010-05-11,324.62803974421695,8795415.040886402,8795739.668926146,-0.02403464816659051
2010-05-12,324.62803974421695,8760072.90879488,8760397.536834624,-0.004018096649265335
2010-05-13,324.62803974421695,9017432.500374317,9017757.12841406,0.029377615627295794
2010-05-14,324.62803974421695,9024281.41707182,9024606.045111563,0.0007594922551110717
2010-05-17,324.62803974421695,8451873.68838787,8452198.316427615,-0.06342744778250009
2010-05-18,324.62803974421695,8669206.282949448,8669530.910989191,0.025713144252563325
2010-05-19,324.62803974421695,8700189.432120323,8700514.060160067,0.003573797647068
2010-05-20,324.62803974421695,8636567.048692703,8636891.676732447,-0.007312485559784254
2010-05-21,324.62803974421695,8905287.9139781,8905612.542017844,0.031113145254481278
2010-05-24,324.62803974421695,9327447.519695759,9327772.147735503,0.04740376967062687
2010-05-25,324.62803974421695,9180922.62340784,9181247.251447584,-0.015708455777780794
2010-05-26,324.62803974421695,9160643.698120117,9160968.326159861,-0.002208733163626131
2010-05-27,324.62803974421695,9298018.695056438,9298343.323096182,0.01499568517708294
2010-05-28,324.62803974421695,9290187.54092455,9290512.168964293,-0.0008422096130218382
2010-05-31,324.62803974421695,9078074.48618412,9078399.114223864,-0.02283114761412286
2010-06-01,11.14138919004472,8865975.939846039,8865987.081235228,-0.02339752089725078
2010-06-02,11.14138919004472,8983103.444862366,8983114.586251555,0.013210881534468477
2010-06-03,11.14138919004472,9034076.410245895,9034087.551635085,0.005674308714879617
2010-06-04,11.14138919004472,9132688.537931442,9132699.679320632,0.010915560328801366
2010-06-07,11.14138919004472,9130578.572797775,9130589.714186965,-0.00023103410905367383
2010-06-08,11.14138919004472,9309892.699575424,9309903.840964613,0.019638833020723112
2010-06-09,11.14138919004472,9468288.26417923,9468299.405568419,0.01701366279497396
2010-06-10,11.14138919004472,9539541.495084763,9539552.636473952,0.0075254518106628865
2010-06-11,11.14138919004472,9482798.51822853,9482809.65961772,-0.005948180068662601
2010-06-17,11.14138919004472,9241468.693637848,9241479.835027037,-0.025449189981992304
2010-06-18,11.14138919004472,8859131.088733673,8859142.230122862,-0.04137190273954172
2010-06-21,11.14138919004472,9114710.047316551,9114721.18870574,0.028849176584371694
2010-06-22,11.14138919004472,9199132.078576088,9199143.219965277,0.00926216277072145
2010-06-23,11.14138919004472,9238028.736877441,9238039.87826663,0.004228291414893448
2010-06-24,11.14138919004472,9243734.79385376,9243745.935242949,0.0006176696627757661
2010-06-25,11.14138919004472,9102670.387172699,9102681.528561888,-0.015260523998526954
2010-06-28,11.14138919004472,8875455.881118774,8875467.022507964,-0.024961271614412084
2010-06-29,11.14138919004472,8426597.254419327,8426608.395808516,-0.050572958646700306
2010-06-30,11.14138919004472,8448107.183885574,8448118.325274764,0.002552620040697118
2010-07-01,145.87720156706638,8330807.562112808,8330953.439314376,-0.013868755319141113
2010-07-02,145.87720156706638,8190256.555747986,8190402.432949553,-0.016870938889365528
