trade_date,symbol,side,requested_shares,filled_shares,price,gross_value,commission,tax,reason
2010-01-04,SH600553,buy,49400,49400,10.113643006324766,499613.96451244346,149.88418935373303,0.0,filled
2010-01-04,SH600607,buy,22000,22000,22.672666801452635,498798.66963195795,149.63960088958737,0.0,filled
2010-01-04,SH600631,buy,27800,27800,17.968496810913084,499524.21134338377,149.8572634030151,0.0,filled
2010-01-04,SZ000522,buy,37500,37500,13.326623933792114,499748.3975172043,149.92451925516127,0.0,filled
2010-01-04,SZ000527,buy,35600,35600,14.03522901725769,499654.15301437373,149.8962459043121,0.0,filled
2010-01-08,SZ000527,sell,35600,35600,12.512846179962159,445457.32400665287,133.63719720199586,445.45732400665287,filled
2010-01-21,SZ000522,sell,37500,37500,12.159705030441284,455988.93864154816,136.79668159246444,455.98893864154815,filled
2010-02-01,SH600553,sell,1900,1900,10.44136855316162,19838.60025100708,5.9515800753021235,19.83860025100708,filled
2010-02-01,SH600607,sell,600,600,23.08685821723938,13852.114930343629,5.0,13.852114930343628,filled
2010-02-01,SH600631,sell,600,600,18.21937225341797,10931.623352050781,5.0,10.931623352050782,filled
2010-02-01,SH600263,buy,48800,48800,10.182816305160522,496921.43569183344,149.07643070755003,0.0,filled
2010-02-01,SZ000522,buy,43500,43500,11.41088125514984,496373.3345990181,148.9120003797054,0.0,filled
2010-02-01,SZ000527,buy,41600,41600,11.929313941955565,496259.4599853515,148.87783799560543,0.0,filled
2010-02-01,SZ000578,buy,21100,21100,23.469718168258666,495211.05335025786,148.56331600507735,0.0,filled
2010-02-01,SZ002082,buy,35600,35600,13.944502127647398,496424.27574424737,148.9272827232742,0.0,filled
2010-02-09,SZ002082,sell,35600,0,,0.0,0.0,0.0,missing_open
2010-02-09,SZ000522,sell,100,100,11.665401168823243,1166.5401168823244,5.0,1.1665401168823244,filled
2010-02-11,SZ000527,sell,100,100,11.54702562904358,1154.702562904358,5.0,1.1547025629043581,filled
2010-02-11,SZ000578,sell,100,100,22.679124269485474,2267.9124269485474,5.0,2.2679124269485476,filled
2010-02-11,SZ002082,sell,35600,35600,12.718656703948975,452784.1786605835,135.83525359817503,452.7841786605835,filled
2010-03-01,SH600607,sell,21400,0,,0.0,0.0,0.0,missing_open
2010-03-01,SH600263,sell,48800,48800,10.890126651763916,531438.180606079,159.4314541818237,531.4381806060791,filled
2010-03-01,SH600553,sell,47500,47500,10.280198707580567,488309.4386100769,146.49283158302305,488.30943861007694,filled
2010-03-01,SH600631,sell,100,100,18.35749007034302,1835.749007034302,5.0,1.8357490070343019,filled
2010-03-01,SZ000522,sell,2800,2800,12.27894849872589,34381.05579643249,10.314316738929746,34.38105579643249,filled
2010-03-01,SZ000527,sell,2800,2800,12.8712063331604,36039.37773284912,10.811813319854735,36.03937773284912,filled
2010-03-01,SH600369,buy,71900,71900,6.953332723617553,499944.6228281021,149.98338684843063,0.0,filled
2010-03-01,SH600991,buy,52800,52800,9.459902302742003,499482.8415847778,149.84485247543333,0.0,filled
2010-03-01,SZ000578,buy,1000,1000,22.655258205413816,22655.258205413815,6.7965774616241434,0.0,filled
2010-03-01,SZ000602,buy,44400,44400,11.243847131729124,499226.81264877314,149.76804379463192,0.0,filled
2010-03-01,SZ002082,buy,36500,36500,13.693819681167602,499824.4183626175,149.94732550878524,0.0,filled
2010-03-15,SZ000602,sell,44400,44400,10.243909578323365,454829.5852775574,136.4488755832672,454.8295852775574,filled
2010-03-15,SZ002082,sell,100,100,12.709967891693115,1270.9967891693116,5.0,1.2709967891693117,filled
2010-03-16,SZ002082,sell,36400,36400,12.557443985939026,457090.96108818054,137.12728832645416,457.09096108818056,filled
2010-04-01,SH600607,sell,21400,0,,0.0,0.0,0.0,missing_open
2010-04-01,SH600991,sell,200,200,9.372260699272156,1874.4521398544312,5.0,1.8744521398544312,filled
2010-04-01,SZ000527,sell,38700,38700,13.63658017730713,527735.652861786,158.32069585853577,527.735652861786,filled
2010-04-01,SH600351,buy,53100,53100,9.307684960365295,494238.0713953972,148.27142141861916,0.0,filled
2010-04-01,SH600369,buy,900,900,6.790754326343536,6111.678893709182,5.0,0.0,filled
2010-04-01,SH600545,buy,38000,38000,12.998828547477721,493955.48480415344,148.18664544124601,0.0,filled
2010-04-01,SH600631,buy,100,100,18.117325223922727,1811.7325223922726,5.0,0.0,filled
2010-04-01,SH600978,buy,75200,75200,6.572797959327697,494274.4065414428,148.28232196243283,0.0,filled
2010-04-01,SZ000522,buy,1400,1400,11.748948438644408,16448.52781410217,5.0,0.0,filled
2010-04-01,SZ000602,buy,42700,42700,11.570610565185545,494065.0711334228,148.21952134002683,0.0,filled
2010-04-01,SZ000791,buy,85900,85900,5.748943502426147,493834.246858406,148.15027405752178,0.0,filled
2010-04-01,SZ002082,buy,36000,36000,13.711723729133604,493622.05424880976,148.08661627464292,0.0,filled
2010-04-01,SZ002242,buy,45600,45600,10.83936266040802,494274.9373146057,148.2824811943817,0.0,filled
2010-04-20,SH600369,sell,72800,72800,6.291760927677155,458040.19553489686,137.41205866046906,458.0401955348969,filled
2010-04-20,SZ000578,sell,22000,22000,20.679584672927856,454950.86280441284,136.48525884132383,454.95086280441285,filled
2010-04-20,SZ000791,sell,85900,85900,5.2142434086799625,447903.5088056088,134.3710526416826,447.9035088056088,filled
2010-04-28,SH600631,sell,100,100,17.72491976737976,1772.491976737976,5.0,1.772491976737976,filled
2010-04-28,SZ002082,sell,36000,36000,12.203038576126099,439309.38874053955,131.79281662216187,439.30938874053953,filled
2010-04-30,SH600545,sell,38000,38000,11.200445866584777,425616.94293022156,127.68508287906646,425.61694293022157,filled
2010-04-30,SH600631,sell,27100,27100,15.843320317268372,429353.98059797287,128.80619417939184,429.3539805979729,filled
2010-05-04,SH600607,sell,21400,0,,0.0,0.0,0.0,missing_open
2010-05-04,SH600351,sell,53100,53100,8.835328305244445,469155.93300848006,140.746779902544,469.1559330084801,filled
2010-05-04,SH600978,sell,75200,75200,5.978478275299072,449581.56630249025,134.87446989074706,449.5815663024903,filled
2010-05-04,SH600991,sell,52600,52600,10.367643218994141,545338.0333190918,163.60140999572752,545.3380333190918,filled
2010-05-04,SZ000522,sell,42000,42000,13.962890808105469,586441.4139404297,175.9324241821289,586.4414139404297,filled
2010-05-04,SZ000602,sell,42700,42700,10.17221544456482,434353.5994829178,130.30607984487534,434.35359948291784,filled
2010-05-04,SZ002242,sell,45600,45600,10.41066522502899,474726.334261322,142.4179002783966,474.726334261322,filled
2010-05-04,SH600067,buy,64800,64800,4.678929626464844,303194.63979492185,90.95839193847655,0.0,filled
2010-05-04,SH600139,buy,28900,28900,10.465000520706175,302438.5150484085,90.73155451452253,0.0,filled
2010-05-04,SH600166,buy,71300,71300,4.248080239295959,302888.12106180185,90.86643631854055,0.0,filled
2010-05-04,SH600216,buy,17600,17600,17.1480723323822,301806.0730499267,90.54182191497802,0.0,filled
2010-05-04,SH600348,buy,22300,22300,13.592879226684568,303121.2067550659,90.93636202651976,0.0,filled
2010-05-04,SH600525,buy,49800,49800,6.07993068742752,302780.5482338905,90.83416447016714,0.0,filled
2010-05-04,SH600546,buy,27200,27200,11.118751725196837,302430.046925354,90.7290140776062,0.0,filled
2010-05-04,SH600595,buy,27900,27900,10.836439589500426,302336.6645470619,90.70099936411856,0.0,filled
2010-05-04,SH600742,buy,57700,57700,5.247818698406219,302799.13889803883,90.83974166941164,0.0,filled
