trade_date,cash,positions_value,total_value,daily_return
2010-01-04,7501911.402161831,2467753.3410072327,9969664.743169064,-0.003033525683093674
2010-01-05,7501911.402161831,2441845.891857147,9943757.294018978,-0.0025986279195432394
2010-01-06,7501911.402161831,2438931.1884880066,9940842.590649838,-0.00029311891702077375
2010-01-07,7501911.402161831,2392312.3832702637,9894223.785432095,-0.004689623117218655
2010-01-08,7501911.402161831,2405654.8347473145,9907566.236909145,0.0013485091672067462
2010-01-11,7501911.402161831,2424839.009284973,9926750.411446804,0.0019363155470200066
2010-01-12,7501911.402161831,2474988.829231262,9976900.231393093,0.005051987595906526
2010-01-13,7501911.402161831,2471635.0757598877,9973546.477921719,-0.00033615185013291526
2010-01-14,7501911.402161831,2548547.2338676453,10050458.636029476,0.0077116157505272565
2010-01-15,7501911.402161831,2553494.978904724,10055406.381066555,0.000492290473127488
2010-01-18,7501911.402161831,2572951.862716675,10074863.264878506,0.0019349674269342199
2010-01-19,7501911.402161831,2570639.703845978,10072551.106007809,-0.00022949779167302786
2010-01-20,7501911.402161831,2444014.6657943726,9945926.067956204,-0.012571297650312174
2010-01-21,7501911.402161831,2441204.9927711487,9943116.39493298,-0.000282494863125482
2010-01-22,7501911.402161831,2426990.6398773193,9928902.04203915,-0.001429567182887781
2010-01-25,7501911.402161831,2380723.7426757812,9882635.144837612,-0.004659820089436217
2010-01-26,7501911.402161831,2292762.0197296143,9794673.421891445,-0.008900634462066126
2010-01-27,7501911.402161831,2284589.807987213,9786501.210149044,-0.0008343526517317068
2010-01-28,7501911.402161831,2319670.834827423,9821582.236989254,0.003584634190187286
2010-01-29,7501911.402161831,2370509.7067832947,9872421.108945126,0.005176240521044262
2010-02-01,5937504.096083269,3954135.6013298035,9891639.697413072,0.001946694560114759
2010-02-02,5937504.096083269,3872665.0632858276,9810169.159369096,-0.00823630262890418
2010-02-03,5937504.096083269,3907741.784095764,9845245.880179033,0.0035755469900777825
2010-02-04,5937504.096083269,3951041.404533386,9888545.500616655,0.00439802326570593
2010-02-05,5937504.096083269,3835879.9144744873,9773384.010557756,-0.01164594834009891
2010-02-08,5937504.096083269,3829169.3655967712,9766673.46168004,-0.0006866146741463242
2010-02-09,5937504.096083269,3816537.333393097,9754041.429476365,-0.0012933812370441444
2010-02-10,5937504.096083269,3838151.0418891907,9775655.13797246,0.002215872123607854
2010-02-11,5937504.096083269,3839862.0849609375,9777366.181044206,0.00017503103859506375
2010-02-12,5937504.096083269,3873488.055419922,9810992.15150319,0.0034391644780755737
2010-02-22,5937504.096083269,3879538.8690948486,9817042.965178117,0.0006167382035873192
2010-02-23,5937504.096083269,3893560.708427429,9831064.804510698,0.0014283159788865962
2010-02-24,5937504.096083269,3992039.7541046143,9929543.850187883,0.01001712913457764
2010-02-25,5937504.096083269,4039475.7517814636,9976979.847864732,0.0047772584916829786
2010-02-26,5937504.096083269,4033488.7159347534,9970992.812018022,-0.0006000849894460814
2010-03-01,5484803.709893605,4550824.034309387,10035627.744202992,0.006482296537920096
2010-03-02,5484803.709893605,4524487.252426147,10009290.962319752,-0.002624328298591272
2010-03-03,5484803.709893605,4568890.404224396,10053694.114118,0.004436193529132604
2010-03-04,5484803.709893605,4429490.029144287,9914293.739037892,-0.013865587464447993
2010-03-05,5484803.709893605,4401038.83972168,9885842.549615284,-0.002869714189582595
2010-03-08,5484803.709893605,4404181.665802002,9888985.375695607,0.00031791180817908327
2010-03-09,5484803.709893605,4410818.130970001,9895621.840863606,0.0006710966712832889
2010-03-10,5484803.709893605,4358865.522003174,9843669.231896779,-0.005250060057094275
2010-03-11,5484803.709893605,4329160.243225098,9813963.953118702,-0.00301770387426481
2010-03-12,5484803.709893605,4294790.083217621,9779593.793111226,-0.003502168967775221
2010-03-15,6903566.603380231,2848738.569688797,9752305.173069028,-0.002790363344275071
2010-03-16,7387179.700103483,2381621.7529296875,9768801.453033172,0.001691526225994
2010-03-17,9265027.712458108,500976.0097503662,9766003.722208474,-0.00028639448126244194
2010-03-18,9265027.712458108,500976.0097503662,9766003.722208474,0.0
2010-03-19,9265027.712458108,500976.0097503662,9766003.722208474,0.0
2010-03-22,9265027.712458108,500976.0097503662,9766003.722208474,0.0
2010-03-23,9265027.712458108,500976.0097503662,9766003.722208474,0.0
2010-03-24,9265027.712458108,500976.0097503662,9766003.722208474,0.0
2010-03-25,9265027.712458108,500976.0097503662,9766003.722208474,0.0
2010-03-26,9265027.712458108,500976.0097503662,9766003.722208474,0.0
2010-03-29,9265027.712458108,500976.0097503662,9766003.722208474,0.0
2010-03-30,9265027.712458108,500976.0097503662,9766003.722208474,0.0
2010-03-31,9265027.712458108,500976.0097503662,9766003.722208474,0.0
2010-04-01,3404830.8255899167,6452390.088891983,9857220.9144819,0.009340278262027768
2010-04-02,4873773.767154474,4974617.014694214,9848390.781848688,-0.0008958034632500222
2010-04-06,4873773.767154474,4980324.743890762,9854098.511045236,0.0005795595770903272
2010-04-07,4873773.767154474,4963648.683977127,9837422.4511316,-0.0016922968544452743
2010-04-08,4873773.767154474,4952279.353284836,9826053.12043931,-0.0011557225227206702
2010-04-09,4873773.767154474,5015818.9574718475,9889592.724626321,0.006466442162300412
2010-04-12,4873773.767154474,5040560.095787048,9914333.862941522,0.0025017348038602893
2010-04-13,4873773.767154474,5066756.857156754,9940530.624311227,0.0026423118014640146
2010-04-14,4873773.767154474,5111713.146972656,9985486.91412713,0.004522524150366136
2010-04-15,5353132.460487561,4600006.394958496,9953138.855446057,-0.00323950739300527
2010-04-16,5353132.460487561,4596007.107210159,9949139.56769772,-0.00040181171049857856
2010-04-19,5353132.460487561,4354196.866321564,9707329.326809125,-0.024304638531123968
2010-04-20,7186409.511613752,2563879.671239853,9750289.182853606,0.004425507222242553
2010-04-21,7186409.511613752,2605252.7891635895,9791662.300777342,0.004243270855647463
2010-04-22,7186409.511613752,2619745.9483146667,9806155.45992842,0.0014801530839076982
2010-04-23,7186409.511613752,2623013.3550167084,9809422.866630461,0.0003331995617847916
2010-04-26,7186409.511613752,2609521.542263031,9795931.053876784,-0.0013753931232359795
2010-04-27,7186409.511613752,2542993.673992157,9729403.18560591,-0.006791377757252137
2010-04-28,7660909.963784501,2079956.0405731201,9740866.004357621,0.0011781625792495198
2010-04-29,7660909.963784501,2021124.3403434753,9682034.304127976,-0.006039678628504519
2010-04-30,8125082.456630454,1511832.5017929077,9636914.958423361,-0.004660110085065283
2010-05-04,19.83023846533615,9687002.37762928,9687022.207867745,0.005199511426692283
2010-05-05,4082926.633542431,5623349.648952484,9706276.282494916,0.0019876154110116673
2010-05-06,4382931.196627406,5174035.582065582,9556966.778692989,-0.015382779086064557
2010-05-07,5213017.698962024,4243045.272922516,9456062.971884541,-0.01055814142133571
2010-05-10,5784995.01482374,3569627.913093567,9354622.927917307,-0.010727513582433068
2010-05-11,6388798.783921952,2887729.874229431,9276528.658151384,-0.00834820070971154
2010-05-12,6956727.139521654,2217937.5135421753,9174664.65306383,-0.010980832253242201
2010-05-13,7830471.505216155,1386542.9058551788,9217014.411071334,0.004615946152687123
2010-05-14,7830471.505216155,1407448.7841367722,9237920.289352927,0.0022681833128612716
2010-05-17,7830471.505216155,1371755.227470398,9202226.732686553,-0.0038638086872769817
2010-05-18,7830471.505216155,1391994.6619987488,9222466.167214904,0.0021994061998560355
2010-05-19,7830471.505216155,1409874.5660066605,9240346.071222816,0.0019387334888225638
2010-05-20,7830471.505216155,1407449.6139287949,9237921.11914495,-0.0002624308720879931
2010-05-21,7830471.505216155,1428955.4565668106,9259426.961782966,0.0023279959160342756
2010-05-24,7830471.505216155,1456826.1005878448,9287297.605804,0.0030099750379875
2010-05-25,7830471.505216155,1455634.9782943726,9286106.483510528,-0.00012825283995721026
2010-05-26,7830471.505216155,1412996.2059736252,9243467.71118978,-0.004591673851302658
2010-05-27,7830471.505216155,1432883.587694168,9263355.092910323,0.0021515065927550925
2010-05-28,7830471.505216155,1446035.8825206757,9276507.38773683,0.0014198197839325744
2010-05-31,7830471.505216155,1437628.8047790527,9268100.309995208,-0.000906276186739885
2010-06-01,467.29005361697637,9190937.766122818,9191405.056176435,-0.008275185987797418
2010-06-02,4323690.89701318,4887263.844490051,9210954.741503231,0.0021269528659995096
2010-06-03,4323690.89701318,4921046.8791008,9244737.77611398,0.0036677017267847667
2010-06-04,4323690.89701318,4986761.1120224,9310452.00903558,0.007108285222690469
2010-06-07,4601599.8108681105,4713815.789794922,9315415.600663032,0.0005331203708085486
2010-06-08,4601599.8108681105,4808457.725191116,9410057.536059227,0.010159711541958272
2010-06-09,4601599.8108681105,4848983.448839188,9450583.259707298,0.004306639305102777
2010-06-10,4601599.8108681105,4883497.42102623,9485097.23189434,0.003652046782572027
2010-06-11,4601599.8108681105,4833529.5954704285,9435129.406338539,-0.005268035143359495
