trade_date,symbol,side,requested_shares,filled_shares,price,gross_value,commission,tax,reason
2010-01-04,SH600553,buy,49400,49400,10.113643006324766,499613.96451244346,149.88418935373303,0.0,filled
2010-01-04,SH600607,buy,22000,22000,22.672666801452635,498798.66963195795,149.63960088958737,0.0,filled
2010-01-04,SH600631,buy,27800,27800,17.968496810913084,499524.21134338377,149.8572634030151,0.0,filled
2010-01-04,SZ000522,buy,37500,37500,13.326623933792114,499748.3975172043,149.92451925516127,0.0,filled
2010-01-04,SZ000527,buy,35600,35600,14.03522901725769,499654.15301437373,149.8962459043121,0.0,filled
2010-02-01,SH600553,sell,2200,2200,10.44136855316162,22971.010816955564,6.891303245086669,22.971010816955566,filled
2010-02-01,SH600607,sell,700,700,23.08685821723938,16160.800752067567,5.0,16.16080075206757,filled
2010-02-01,SH600631,sell,700,700,18.21937225341797,12753.560577392578,5.0,12.753560577392578,filled
2010-02-01,SH600263,buy,48500,48500,10.182816305160522,493866.5908002853,148.15997724008557,0.0,filled
2010-02-01,SZ000522,buy,5800,5800,11.41088125514984,66183.11127986907,19.85493338396072,0.0,filled
2010-02-01,SZ000527,buy,5800,5800,11.929313941955565,69190.02086334227,20.75700625900268,0.0,filled
2010-02-01,SZ000578,buy,21000,21000,23.469718168258666,492864.081533432,147.8592244600296,0.0,filled
2010-02-01,SZ002082,buy,35400,35400,13.944502127647398,493635.3753187179,148.09061259561537,0.0,filled
2010-03-01,SH600263,sell,2800,2800,10.890126651763916,30492.354624938966,9.147706387481689,30.492354624938965,filled
2010-03-01,SZ000522,sell,2800,2800,12.27894849872589,34381.05579643249,10.314316738929746,34.38105579643249,filled
2010-03-01,SZ000527,sell,2700,2700,12.8712063331604,34752.25709953308,10.425677129859924,34.75225709953308,filled
2010-03-01,SH600369,buy,71800,71800,6.953332723617553,499249.2895557403,149.77478686672208,0.0,filled
2010-03-01,SH600553,buy,1200,1200,10.30077968597412,12360.935623168945,5.0,0.0,filled
2010-03-01,SH600991,buy,52700,52700,9.459902302742003,498536.8513545036,149.56105540635107,0.0,filled
2010-03-01,SZ000578,buy,1000,1000,22.655258205413816,22655.258205413815,6.7965774616241434,0.0,filled
2010-03-01,SZ000602,buy,44400,44400,11.243847131729124,499226.81264877314,149.76804379463192,0.0,filled
2010-03-01,SZ002082,buy,1000,1000,13.693819681167602,13693.819681167603,5.0,0.0,filled
2010-03-15,SH600631,sell,27100,27100,17.34844458389282,470142.8482234955,141.04285446704864,470.1428482234955,filled
2010-03-15,SH600991,sell,52700,52700,9.233105369567872,486584.6529762268,145.97539589286802,486.58465297622683,filled
2010-03-15,SZ000522,sell,40500,40500,11.437418930053711,463215.4666671753,138.96464000015257,463.2154666671753,filled
2010-03-16,SH600263,sell,45700,45700,10.446860034942627,477421.5035968781,143.22645107906342,477.4215035968781,filled
2010-03-16,SZ000527,sell,38700,38700,12.512728995323181,484242.6121190071,145.27278363570213,484.2426121190071,filled
2010-03-17,SH600369,sell,71800,71800,6.682142498016358,479777.8313575745,143.93334940727235,479.7778313575745,filled
2010-03-17,SH600553,sell,48400,48400,9.705268003463745,469734.97136764525,140.92049141029355,469.73497136764524,filled
2010-03-17,SZ000578,sell,22000,22000,22.02562650489807,484563.78310775757,145.36913493232726,484.56378310775756,filled
2010-03-17,SZ000602,sell,44400,44400,10.296841784477234,457179.7752307892,137.15393256923676,457.17977523078923,filled
2010-03-17,SZ002082,sell,36400,36400,12.621956511497498,459439.21701850893,137.83176510555268,459.43921701850894,filled
2010-04-01,SH600351,buy,52200,52200,9.307684960365295,485861.1549310684,145.75834647932052,0.0,filled
2010-04-01,SH600369,buy,71600,71600,6.790754326343536,486218.0097661972,145.86540292985913,0.0,filled
2010-04-01,SH600545,buy,37400,37400,12.998828547477721,486156.18767566676,145.84685630270002,0.0,filled
2010-04-01,SH600631,buy,26800,26800,18.117325223922727,485544.3160011291,145.66329480033872,0.0,filled
2010-04-01,SH600978,buy,73900,73900,6.572797959327697,485729.7691943168,145.71893075829504,0.0,filled
2010-04-01,SH600991,buy,51700,51700,9.391023983955382,485515.93997049326,145.65478199114796,0.0,filled
2010-04-01,SZ000522,buy,41300,41300,11.748948438644408,485231.57051601406,145.5694711548042,0.0,filled
2010-04-01,SZ000578,buy,21600,21600,22.448000831604002,484876.8179626464,145.46304538879392,0.0,filled
2010-04-01,SZ000602,buy,42000,42000,11.570610565185545,485965.6437377929,145.78969312133785,0.0,filled
2010-04-01,SZ000791,buy,84600,84600,5.748943502426147,486360.620305252,145.9081860915756,0.0,filled
2010-04-01,SZ002082,buy,35400,35400,13.711723729133604,485395.0200113296,145.61850600339886,0.0,filled
2010-04-01,SZ002242,buy,44800,44800,10.83936266040802,485603.4471862793,145.68103415588376,0.0,filled
2010-04-02,SH600369,sell,71600,71600,6.826918403148651,488807.35766544344,146.64220729963301,488.8073576654435,filled
2010-04-02,SH600978,sell,100,100,6.693384125232696,669.3384125232697,5.0,0.6693384125232696,filled
2010-04-02,SZ000522,sell,41300,41300,11.7944786195755,487111.96698846814,146.13359009654042,487.11196698846817,filled
2010-04-02,SZ000578,sell,21600,21600,22.55065941810608,487094.2434310913,146.12827302932737,487.09424343109134,filled
2010-04-02,SZ002082,sell,100,100,14.358634766578675,1435.8634766578675,5.0,1.4358634766578675,filled
2010-04-15,SH600631,sell,26800,26800,17.7534118309021,475791.4370681762,142.73743112045287,475.7914370681762,filled
2010-04-20,SH600351,sell,100,100,9.151832582473755,915.1832582473755,5.0,0.9151832582473756,filled
2010-04-20,SH600545,sell,37400,37400,12.254197769165039,458306.99656677246,137.49209897003172,458.30699656677245,filled
2010-04-20,SZ000791,sell,84600,84600,5.2142434086799625,441124.9923743248,132.33749771229745,441.12499237432485,filled
2010-04-20,SZ002082,sell,35300,35300,13.096381856918335,462302.2795492172,138.69068386476513,462.3022795492172,filled
2010-04-20,SZ002242,sell,44800,44800,10.393966890335083,465649.7166870117,139.6949150061035,465.64971668701173,filled
2010-04-28,SH600978,sell,73800,73800,6.394590924739838,471920.8102458,141.57624307374,471.9208102458,filled
2010-04-30,SZ000602,sell,42000,42000,11.013665937423706,462573.96937179565,138.77219081153868,462.57396937179567,filled
2010-05-04,SH600351,sell,52100,52100,8.835328305244445,460320.6047032356,138.09618141097067,460.32060470323563,filled
2010-05-04,SH600991,sell,22500,22500,10.367643218994141,233271.97242736816,69.98159172821045,233.27197242736815,filled
2010-05-04,SH600067,buy,64900,64900,4.678929626464844,303662.53275756835,91.0987598272705,0.0,filled
2010-05-04,SH600139,buy,29000,29000,10.465000520706175,303485.01510047907,91.04550453014372,0.0,filled
2010-05-04,SH600216,buy,17700,17700,17.1480723323822,303520.8802831649,91.05626408494946,0.0,filled
2010-05-04,SH600348,buy,22300,22300,13.592879226684568,303121.2067550659,90.93636202651976,0.0,filled
2010-05-04,SH600525,buy,49900,49900,6.07993068742752,303388.54130263324,91.01656239078996,0.0,filled
2010-05-04,SH600546,buy,27300,27300,11.118751725196837,303541.92209787364,91.06257662936208,0.0,filled
2010-05-04,SH600595,buy,28000,28000,10.836439589500426,303420.3085060119,91.02609255180356,0.0,filled
2010-05-04,SH600742,buy,57800,57800,5.247818698406219,303323.92076787946,90.99717623036383,0.0,filled
2010-05-04,SH600809,buy,22200,22200,13.645733160018919,302935.27615242,90.88058284572598,0.0,filled
2010-05-04,SZ000338,buy,60700,60700,4.998984411716461,303438.3537911892,91.03150613735676,0.0,filled
