trade_date,cash,positions_value,total_value,daily_return
2010-01-04,7501911.402161831,2467753.3410072327,9969664.743169064,-0.003033525683093674
2010-01-05,7501911.402161831,2441845.891857147,9943757.294018978,-0.0025986279195432394
2010-01-06,7501911.402161831,2438931.1884880066,9940842.590649838,-0.00029311891702077375
2010-01-07,7501911.402161831,2392312.3832702637,9894223.785432095,-0.004689623117218655
2010-01-08,7501911.402161831,2405654.8347473145,9907566.236909145,0.0013485091672067462
2010-01-11,7501911.402161831,2424839.009284973,9926750.411446804,0.0019363155470200066
2010-01-12,7501911.402161831,2474988.829231262,9976900.231393093,0.005051987595906526
2010-01-13,7501911.402161831,2471635.0757598877,9973546.477921719,-0.00033615185013291526
2010-01-14,7501911.402161831,2548547.2338676453,10050458.636029476,0.0077116157505272565
2010-01-15,7501911.402161831,2553494.978904724,10055406.381066555,0.000492290473127488
2010-01-18,7501911.402161831,2572951.862716675,10074863.264878506,0.0019349674269342199
2010-01-19,7501911.402161831,2570639.703845978,10072551.106007809,-0.00022949779167302786
2010-01-20,7501911.402161831,2444014.6657943726,9945926.067956204,-0.012571297650312174
2010-01-21,7501911.402161831,2441204.9927711487,9943116.39493298,-0.000282494863125482
2010-01-22,7501911.402161831,2426990.6398773193,9928902.04203915,-0.001429567182887781
2010-01-25,7501911.402161831,2380723.7426757812,9882635.144837612,-0.004659820089436217
2010-01-26,7501911.402161831,2292762.0197296143,9794673.421891445,-0.008900634462066126
2010-01-27,7501911.402161831,2284589.807987213,9786501.210149044,-0.0008343526517317068
2010-01-28,7501911.402161831,2319670.834827423,9821582.236989254,0.003584634190187286
2010-01-29,7501911.402161831,2370509.7067832947,9872421.108945126,0.005176240521044262
2010-02-01,4949411.88119481,4949519.964790344,9898931.845985156,0.0026853328831373258
2010-02-02,4949411.88119481,4843508.152103424,9792920.033298235,-0.01070941939355985
2010-02-03,4949411.88119481,4886797.288894653,9836209.170089465,0.004420452392548402
2010-02-04,4949411.88119481,4932792.240905762,9882204.122100573,0.00467608518848639
2010-02-05,4949411.88119481,4796966.416835785,9746378.298030596,-0.013744486795836952
2010-02-08,4949411.88119481,4792951.253223419,9742363.13441823,-0.00041196467955451066
2010-02-09,4949411.88119481,4789902.681827545,9739314.563022356,-0.000312919088912178
2010-02-10,4949411.88119481,4828287.366199493,9777699.247394305,0.0039412100434341735
2010-02-11,4949411.88119481,4831196.328449249,9780608.20964406,0.00029750989227150804
2010-02-12,4949411.88119481,4865421.28534317,9814833.166537981,0.0034992667286450896
2010-02-22,4949411.88119481,4863685.543823242,9813097.425018054,-0.00017684880532109482
2010-02-23,4949411.88119481,4885493.9383506775,9834905.819545489,0.002222376236868495
2010-02-24,4949411.88119481,4995952.283191681,9945364.164386492,0.011231255984321065
2010-02-25,4949411.88119481,5049377.930450439,9998789.81164525,0.005371914630343255
2010-02-26,4949411.88119481,5046385.66570282,9995797.546897631,-0.0002992626911842988
2010-03-01,4517602.318486138,5582537.542629242,10100139.861115381,0.010438618202119887
2010-03-02,4517602.318486138,5538174.513339996,10055776.831826136,-0.004392318314327404
2010-03-03,4517602.318486138,5587864.867210388,10105467.185696527,0.004941473413881292
2010-03-04,4517602.318486138,5423035.622215271,9940637.94070141,-0.016310898048179312
2010-03-05,4517602.318486138,5401201.6289711,9918803.947457239,-0.002196437831698206
2010-03-08,4517602.318486138,5419746.663475037,9937348.981961176,0.0018696845508969773
2010-03-09,4517602.318486138,5416201.002979279,9933803.321465418,-0.0003568014469648162
2010-03-10,4517602.318486138,5352826.162815094,9870428.481301233,-0.006379715614787895
2010-03-11,4517602.318486138,5325876.5254974365,9843478.843983576,-0.002730341177053397
2010-03-12,4517602.318486138,5282098.171710968,9799700.490197107,-0.004447447338521648
2010-03-15,4517602.318486138,5255120.964717865,9772723.283204004,-0.002752860357323028
2010-03-16,4517602.318486138,5278845.979404449,9796448.297890589,0.0024276769124691455
2010-03-17,4517602.318486138,5386425.450801849,9904027.769287989,0.010981476972686588
2010-03-18,4517602.318486138,5415234.533119202,9932836.85160534,0.0029088248729156607
2010-03-19,4517602.318486138,5427078.499698639,9944680.818184778,0.00119240522686348
2010-03-22,4517602.318486138,5462213.110160828,9979815.428646967,0.0035330053427096164
2010-03-23,4517602.318486138,5448457.961940765,9966060.280426905,-0.001378296855128025
2010-03-24,4517602.318486138,5413076.193141937,9930678.511628076,-0.00355022624821133
2010-03-25,4517602.318486138,5331476.350021362,9849078.668507501,-0.008216945400561282
2010-03-26,4517602.318486138,5424811.239147186,9942413.557633325,0.00947650965813307
2010-03-29,4517602.318486138,5479338.792324066,9996941.110810205,0.005484337667187145
2010-03-30,4517602.318486138,5473467.935085297,9991070.253571436,-0.0005872653618436141
2010-03-31,4517602.318486138,5493336.6950035095,10010939.013489649,0.0019886518074587745
2010-04-01,2023342.8399153354,8113028.93884182,10136371.778757155,0.012529570412774138
2010-04-02,2023342.8399153354,8122169.311475754,10145512.151391089,0.0009017400736119896
2010-04-06,2023342.8399153354,8144336.696863174,10167679.53677851,0.0021849449349269356
2010-04-07,2023342.8399153354,8149363.941192627,10172706.781107962,0.0004944337900567586
2010-04-08,2023342.8399153354,8104668.201327324,10128011.04124266,-0.004393691947192302
2010-04-09,2023342.8399153354,8246777.624177933,10270120.464093268,0.01403132582220934
2010-04-12,2023342.8399153354,8290575.610041618,10313918.449956954,0.004264602933998107
2010-04-13,2023342.8399153354,8345556.059789658,10368898.899704993,0.0053307043307355695
2010-04-14,2023342.8399153354,8402299.318814278,10425642.158729613,0.00547244790150625
2010-04-15,2023342.8399153354,8329609.88650322,10352952.726418555,-0.006972177943992963
2010-04-16,2023342.8399153354,8276510.922789574,10299853.762704909,-0.005128871455014838
2010-04-19,2023342.8399153354,7906006.422781944,9929349.26269728,-0.03597182140092137
2010-04-20,2023342.8399153354,8013061.490893364,10036404.3308087,0.010781680176525255
2010-04-21,2023342.8399153354,8206763.342809677,10230106.182725012,0.019299925105817684
2010-04-22,2023342.8399153354,8259400.106573105,10282742.94648844,0.00514528029555672
2010-04-23,2023342.8399153354,8272215.787553787,10295558.627469122,0.0012463290240138925
2010-04-26,2023342.8399153354,8325574.431610107,10348917.271525443,0.005182685659615993
2010-04-27,2023342.8399153354,8182938.479804993,10206281.319720328,-0.013782693209614338
2010-04-28,2023342.8399153354,8226344.18296814,10249687.022883475,0.0042528421276493145
2010-04-29,2023342.8399153354,7923733.744716644,9947076.58463198,-0.029523871077808184
2010-04-30,2023342.8399153354,7724735.023140907,9748077.863056242,-0.020005749416183827
2010-05-04,60.62428521630062,9643895.75624466,9643956.380529875,-0.010681232135103524
2010-05-05,60.62428521630062,9765963.748562336,9766024.372847551,0.012657460019636746
2010-05-06,60.62428521630062,9371110.568118095,9371171.19240331,-0.04043131220745766
2010-05-07,60.62428521630062,9089829.018485546,9089889.642770762,-0.0300156238593281
2010-05-10,60.62428521630062,9113630.354046822,9113690.978332037,0.0026184405418172574
2010-05-11,60.62428521630062,8903321.466636658,8903382.090921873,-0.023076148610938985
2010-05-12,60.62428521630062,8901325.767672062,8901386.391957277,-0.00022415065917824606
2010-05-13,60.62428521630062,9129556.686353683,9129617.310638899,0.02563992940333848
2010-05-14,60.62428521630062,9133086.191868782,9133146.816153998,0.00038659950302477597
2010-05-17,60.62428521630062,8628672.528851032,8628733.153136248,-0.05522890118503099
2010-05-18,60.62428521630062,8825599.404609203,8825660.028894419,0.02282222340907536
2010-05-19,60.62428521630062,8841424.596452713,8841485.220737929,0.0017930887652253258
2010-05-20,60.62428521630062,8761599.784326553,8761660.408611769,-0.009028439242190767
2010-05-21,60.62428521630062,8984042.240965366,8984102.865250582,0.02538816231911656
2010-05-24,60.62428521630062,9380231.693935394,9380292.31822061,0.044098944425763564
2010-05-25,60.62428521630062,9230779.186677933,9230839.810963148,-0.015932606595549292
2010-05-26,60.62428521630062,9224781.18584156,9224841.810126776,-0.0006497784556123154
2010-05-27,60.62428521630062,9371112.203490734,9371172.82777595,0.015862712950647673
2010-05-28,60.62428521630062,9399068.01379919,9399128.638084406,0.0029831709245182747
2010-05-31,60.62428521630062,9173655.166637897,9173715.790923113,-0.02398231323784006
2010-06-01,181.0959551215405,9001736.448383331,9001917.544338454,-0.018727225750185594
2010-06-02,181.0959551215405,9103157.994866371,9103339.090821493,0.011266660240275783
2010-06-03,181.0959551215405,9159113.915133476,9159295.011088599,0.0061467467825648825
2010-06-04,181.0959551215405,9252492.841744423,9252673.937699545,0.01019499060767215
2010-06-07,181.0959551215405,9234334.10012722,9234515.196082342,-0.0019625398819270723
2010-06-08,181.0959551215405,9382437.876820564,9382618.972775687,0.016038067353679297
2010-06-09,181.0959551215405,9552361.466097832,9552542.562052954,0.01811046465494459
2010-06-10,181.0959551215405,9601997.33903408,9602178.434989203,0.0051960902151251265
