trade_date,cash,positions_value,total_value,daily_return
2015-01-05,826987.1568108633,9058206.031513214,9885193.188324077,-0.011480681167592266
2015-01-06,826987.1568108633,9269543.675684929,10096530.832495792,0.02137921233763418
2015-01-07,826987.1568108633,9366697.945928574,10193685.102739437,0.00962253984615713
2015-01-08,826987.1568108633,9305237.228345871,10132224.385156734,-0.00602929332849278
2015-01-09,826987.1568108633,9254436.728811264,10081423.885622127,-0.00501375587467523
2015-01-12,826987.1568108633,9184259.149289131,10011246.306099994,-0.006961078149111288
2015-01-13,826987.1568108633,9336156.51524067,10163143.672051532,0.01517267294272684
2015-01-14,826987.1568108633,9380967.059373856,10207954.216184719,0.004409122371891172
2015-01-15,826987.1568108633,9505364.6982193,10332351.855030162,0.012186343728717963
2015-01-16,826987.1568108633,9668875.305843353,10495862.462654216,0.01582511028643019
2015-01-19,826987.1568108633,9307041.362905502,10134028.519716365,-0.034473960022371464
2015-01-20,826987.1568108633,9614814.512753487,10441801.66956435,0.030370266794611078
2015-01-21,826987.1568108633,9911726.504325867,10738713.66113673,0.028434938813080013
2015-01-22,826987.1568108633,9947776.895332336,10774764.0521432,0.003357049283931879
2015-01-23,826987.1568108633,9733030.692958832,10560017.849769695,-0.019930478415514763
2015-01-26,826987.1568108633,9965016.477298737,10792003.6341096,0.021968313656303584
2015-01-27,826987.1568108633,9984817.454767227,10811804.61157809,0.0018347823203010982
2015-01-28,826987.1568108633,9985637.28966713,10812624.446477992,7.582775765513361e-05
2015-01-29,826987.1568108633,9821866.2484169,10648853.405227764,-0.015146280355975428
2015-01-30,826987.1568108633,9708680.592632294,10535667.749443157,-0.010628905430235425
2015-02-02,538076.342236482,9976014.63971138,10514090.981947862,-0.002047973418337512
2015-02-03,538076.342236482,10311128.96695137,10849205.309187852,0.031872876867373945
2015-02-04,538076.342236482,10201726.706075668,10739803.04831215,-0.010083896263171743
2015-02-05,538076.342236482,10230318.768072128,10768395.11030861,0.0026622519861714267
2015-02-06,538076.342236482,10054390.839719772,10592467.181956254,-0.01633743250969122
2015-02-09,538076.342236482,10322018.880081177,10860095.222317658,0.025265883364481434
2015-02-10,538076.342236482,10502625.229263306,11040701.571499787,0.01663027307633369
2015-02-11,538076.342236482,10583665.27352333,11121741.615759812,0.007340117268382684
2015-02-12,538076.342236482,10652987.924814224,11191064.267050706,0.0062330751500880854
2015-02-13,538076.342236482,10740959.149885178,11279035.49212166,0.00786084531119724
2015-02-16,538076.342236482,10879133.687210083,11417210.029446565,0.012250563217166777
2015-02-17,538076.342236482,11071537.324476242,11609613.666712724,0.01685207128273225
2015-02-25,538076.342236482,10904649.681138992,11442726.023375474,-0.014374952356576043
2015-02-26,538076.342236482,11201327.68573761,11739404.027974091,0.025927213846819175
2015-02-27,538076.342236482,11266066.851615906,11804143.193852387,0.005514689308250054
2015-03-02,5397.627822528244,12024802.135562897,12030199.763385424,0.019150612274067225
2015-03-03,5397.627822528244,11661713.815069199,11667111.442891726,-0.03018140410259662
2015-03-04,5397.627822528244,11744698.274421692,11750095.90224422,0.0071126824971790015
2015-03-05,5397.627822528244,11731620.042037964,11737017.669860492,-0.0011130319694863111
2015-03-06,5397.627822528244,11672925.78048706,11678323.408309588,-0.005000781561539602
2015-03-09,5397.627822528244,11658685.163927078,11664082.791749606,-0.0012194059080303798
2015-03-10,5397.627822528244,11733900.175571442,11739297.80339397,0.006448429163891545
2015-03-11,5397.627822528244,11872142.400312424,11877540.028134951,0.011776021620391486
2015-03-12,5397.627822528244,11961727.76889801,11967125.396720538,0.007542417737459228
2015-03-13,5397.627822528244,12067383.978843689,12072781.606666217,0.008828871298919738
2015-03-16,5397.627822528244,12460972.31183052,12466369.939653048,0.03260129652055532
2015-03-17,5397.627822528244,12797625.923633575,12803023.551456103,0.027004943173732254
2015-03-18,5397.627822528244,13013446.990156174,13018844.617978701,0.016857038937341695
2015-03-19,5397.627822528244,13066938.182210922,13072335.81003345,0.004108751093079288
2015-03-20,5397.627822528244,13546055.964708328,13551453.592530856,0.036651275599091315
2015-03-23,5397.627822528244,13952574.428844452,13957972.05666698,0.029998144579868935
2015-03-24,5397.627822528244,14071943.998241425,14077341.626063952,0.008552071096886715
2015-03-25,5397.627822528244,14271700.572872162,14277098.20069469,0.014189935851303792
2015-03-26,5397.627822528244,14054183.061981201,14059580.689803729,-0.015235414636314282
2015-03-27,5397.627822528244,14065605.354309082,14071002.98213161,0.0008124205536346185
2015-03-30,5397.627822528244,14086887.916660309,14092285.544482836,0.0015125121058003899
2015-03-31,5397.627822528244,14174273.97069931,14179671.598521838,0.006200985195989883
2015-04-01,780.5894941115639,14455352.768611908,14456133.358106019,0.019497049537663624
2015-04-02,780.5894941115639,14558695.804452896,14559476.393947007,0.0071487328790476035
2015-04-03,780.5894941115639,14818208.59003067,14818989.179524781,0.01782432132557088
2015-04-07,780.5894941115639,15300259.127092361,15301039.716586472,0.0325292454985886
2015-04-08,780.5894941115639,15907011.833000183,15907792.422494294,0.0396543448776292
2015-04-09,780.5894941115639,16235683.999443054,16236464.588937165,0.02066107965918107
2015-04-10,780.5894941115639,16668341.347265244,16669121.936759355,0.026647263352945982
2015-04-13,780.5894941115639,16937667.743253708,16938448.33274782,0.01615720354138972
2015-04-14,780.5894941115639,16946400.227832794,16947180.817326907,0.000515542179988504
2015-04-15,780.5894941115639,16292427.756261826,16293208.345755937,-0.03858886493394498
2015-04-16,780.5894941115639,16507474.711084366,16508255.300578477,0.013198564104690558
2015-04-17,780.5894941115639,16667209.625434875,16667990.214928987,0.009676062760242798
2015-04-20,780.5894941115639,16173769.093751907,16174549.683246018,-0.029604080955183742
2015-04-21,780.5894941115639,16790333.266592026,16791113.85608614,0.03811940269834979
2015-04-22,780.5894941115639,17472129.52694893,17472910.11644304,0.0406045880100907
2015-04-23,780.5894941115639,17463455.87477684,17464236.464270953,-0.000496405699696556
2015-04-24,780.5894941115639,17292265.612649918,17293046.20214403,-0.009802333040848987
2015-04-27,780.5894941115639,17529690.013980865,17530470.60347498,0.013729472445491497
2015-04-28,780.5894941115639,17244475.549936295,17245256.139430407,-0.01626964104363715
2015-04-29,780.5894941115639,17498938.504076004,17499719.093570117,0.014755533468586268
2015-04-30,780.5894941115639,17462911.644506454,17463692.234000567,-0.002058710735693303
2015-05-04,299248.50446006155,17105812.57648468,17405061.080944743,-0.0033573171280282255
2015-05-05,299248.50446006155,16741562.784099579,17040811.28855964,-0.02092780891093149
2015-05-06,299248.50446006155,16879075.56772232,17178324.072182383,0.0080696148378252
2015-05-07,299248.50446006155,16990100.67882538,17289349.18328544,0.006463093293416433
2015-05-08,299248.50446006155,17538013.28125,17837261.785710063,0.031690759242361644
