trade_date,symbol,side,requested_shares,filled_shares,price,gross_value,commission,tax,reason
2015-01-05,SH600109,buy,16500,16500,19.120948541641233,315495.6509370803,94.64869528112409,0.0,filled
2015-01-05,SH600556,buy,22700,22700,13.925280693054198,316103.8717323303,94.83116151969908,0.0,filled
2015-01-05,SH600629,buy,33500,33500,9.435872406959533,316101.7256331443,94.83051768994329,0.0,filled
2015-01-05,SH600687,buy,35700,35700,8.87095792865753,316693.19805307384,95.00795941592214,0.0,filled
2015-01-05,SH600733,buy,31000,31000,10.21145323562622,316555.0503044128,94.96651509132383,0.0,filled
2015-01-05,SH600769,buy,41300,41300,7.6573808903694145,316249.8307722568,94.87494923167704,0.0,filled
2015-01-05,SH600816,buy,78300,78300,4.045133965492248,316733.989498043,95.0201968494129,0.0,filled
2015-01-05,SH601099,buy,37900,37900,8.351688033103942,316528.9764546394,94.95869293639181,0.0,filled
2015-01-05,SH601377,buy,26800,26800,11.80162099266052,316283.44260330196,94.88503278099058,0.0,filled
2015-01-05,SH601555,buy,18400,18400,17.218266128540037,316816.0967651367,95.044829029541,0.0,filled
2015-01-05,SH601788,buy,12400,12400,25.390922273635862,314847.4361930847,94.4542308579254,0.0,filled
2015-01-05,SZ000151,buy,18100,18100,17.469865972518917,316204.5741025924,94.86137223077772,0.0,filled
2015-01-05,SZ000673,buy,41900,41900,7.55749529981613,316659.0530622959,94.99771591868875,0.0,filled
2015-01-05,SZ000712,buy,11900,11900,26.585973323822017,316373.08255348203,94.9119247660446,0.0,filled
2015-01-05,SZ000887,buy,25700,25700,12.319250837326049,316604.74651927943,94.98142395578382,0.0,filled
2015-01-05,SZ002131,buy,145500,145500,2.1772389123439786,316788.26174604887,95.03647852381465,0.0,filled
2015-01-05,SZ002280,buy,53900,53900,5.878085099697112,316828.78687367437,95.0486360621023,0.0,filled
2015-01-05,SZ002581,buy,17100,17100,18.474535562515257,315914.5581190109,94.77436743570325,0.0,filled
2015-01-05,SZ300033,buy,15500,15500,20.3366711063385,315218.40214824677,94.56552064447402,0.0,filled
2015-01-05,SZ300059,buy,104000,104000,3.0470997560024258,316898.37462425226,95.06951238727567,0.0,filled
2015-01-05,SZ300085,buy,22600,22600,13.97824154472351,315908.2589107513,94.77247767322538,0.0,filled
2015-01-05,SZ300109,buy,18100,18100,17.429359197616574,315471.40147686,94.64142044305798,0.0,filled
2015-01-05,SZ300162,buy,14900,14900,21.133231794357297,314885.1537359237,94.4655461207771,0.0,filled
2015-01-05,SZ300222,buy,35500,35500,8.925179843902587,316843.8844585418,95.05316533756253,0.0,filled
2015-01-05,SZ300264,buy,66500,66500,4.765895281791686,316932.0362391471,95.07961087174414,0.0,filled
2015-01-05,SZ300348,buy,37600,37600,8.411744634628295,316281.5982620239,94.88447947860716,0.0,filled
2015-01-05,SZ300351,buy,17700,17700,17.890931377410887,316669.4853801727,95.0008456140518,0.0,filled
2015-02-02,SH600109,sell,16500,16500,15.352362410545348,253313.97977399823,75.99419393219947,253.31397977399823,filled
2015-02-02,SH600629,sell,33500,33500,9.774003939628601,327429.13197755814,98.22873959326743,327.42913197755814,filled
2015-02-02,SH600769,sell,41300,41300,7.692692806720734,317708.2129175663,95.31246387526988,317.7082129175663,filled
2015-02-02,SZ000151,sell,500,500,18.89537137413025,9447.685687065125,5.0,9.447685687065125,filled
