trade_date,cash,positions_value,total_value,daily_return
2015-01-05,823063.4363062788,9057960.808944702,9881024.245250981,-0.01189757547490189
2015-01-06,823063.4363062788,9251489.05069828,10074552.48700456,0.019585848283551366
2015-01-07,823063.4363062788,9329436.436033249,10152499.872339528,0.0077370568504671056
2015-01-08,823063.4363062788,9269567.71364212,10092631.1499484,-0.0058969439196193685
2015-01-09,823063.4363062788,9224057.539749146,10047120.976055425,-0.004509247709226671
2015-01-12,823063.4363062788,9131503.354525566,9954566.790831845,-0.00921201062913013
2015-01-13,823063.4363062788,9290408.779597282,10113472.215903562,0.01596306784721846
2015-01-14,823063.4363062788,9336672.820186615,10159736.256492894,0.0045744962364737685
2015-01-15,823063.4363062788,9453429.492759705,10276492.929065984,0.01149209680502028
2015-01-16,823063.4363062788,9622488.562893867,10445551.999200147,0.01645104719101176
2015-01-19,823063.4363062788,9273977.24339962,10097040.6797059,-0.033364566996644474
2015-01-20,823063.4363062788,9570935.245203972,10393998.681510251,0.02941039966306258
2015-01-21,823063.4363062788,9859366.02859497,10682429.46490125,0.027749742156893298
2015-01-22,823063.4363062788,9900400.418758392,10723463.855064671,0.0038412975529813487
2015-01-23,823063.4363062788,9687514.288187027,10510577.724493306,-0.019852366124292864
2015-01-26,823063.4363062788,9912935.291671753,10735998.727978032,0.021447061179084015
2015-01-27,823063.4363062788,9924810.908031464,10747874.344337743,0.0011061491958603842
2015-01-28,823063.4363062788,9924014.685153961,10747078.12146024,-7.408189303237389e-05
2015-01-29,823063.4363062788,9766735.6423378,10589799.078644078,-0.014634586353485246
2015-01-30,823063.4363062788,9651174.4846344,10474237.920940679,-0.01091249766357194
2015-02-02,536557.4874468005,9915846.233224869,10452403.720671669,-0.002084562183312433
2015-02-03,536557.4874468005,10248978.716421127,10785536.203867927,0.03187137543658247
2015-02-04,536557.4874468005,10140250.255298615,10676807.742745414,-0.010080950920504095
2015-02-05,536557.4874468005,10168733.133554459,10705290.621001258,0.0026677335531490876
2015-02-06,536557.4874468005,9993833.25164318,10530390.73908998,-0.016337705168710248
2015-02-09,536557.4874468005,10260012.9073143,10796570.3947611,0.025277281941973095
2015-02-10,536557.4874468005,10439706.958651543,10976264.446098343,0.01664362336992098
2015-02-11,536557.4874468005,10520330.734324455,11056888.221771255,0.007345283640790123
2015-02-12,536557.4874468005,10589301.130151749,11125858.617598549,0.006237776347552293
2015-02-13,536557.4874468005,10676728.882455826,11213286.369902626,0.00785806788572585
2015-02-16,536557.4874468005,10814124.62759018,11350682.11503698,0.012252941787265437
2015-02-17,536557.4874468005,11005404.921388626,11541962.408835426,0.01685187655330833
2015-02-25,536557.4874468005,10839557.179069519,11376114.666516319,-0.014369111286669067
2015-02-26,536557.4874468005,11134368.609809875,11670926.097256675,0.025914948941933913
2015-02-27,536557.4874468005,11198602.611398697,11735160.098845497,0.005503762173930671
2015-03-02,2550.9123542972957,11966445.778417587,11968996.690771885,0.019926152686182252
2015-03-03,2550.9123542972957,11597961.060905457,11600511.973259754,-0.030786600333529424
2015-03-04,2550.9123542972957,11681633.794116974,11684184.706471272,0.007212848312590836
2015-03-05,2550.9123542972957,11658705.112695694,11661256.025049992,-0.0019623689626012686
2015-03-06,2550.9123542972957,11605086.046934128,11607636.959288426,-0.004598052357857929
2015-03-09,2550.9123542972957,11577487.163448334,11580038.075802632,-0.0023776487481984576
2015-03-10,2550.9123542972957,11650899.70574379,11653450.618098088,0.0063395769353173925
2015-03-11,2550.9123542972957,11783218.932771683,11785769.84512598,0.011354510467689094
2015-03-12,2550.9123542972957,11879237.26015091,11881788.172505207,0.008146971189916474
2015-03-13,2550.9123542972957,11965629.212808609,11968180.125162907,0.007270955465913165
2015-03-16,2550.9123542972957,12359917.626333237,12362468.538687535,0.032944725881560055
2015-03-17,2550.9123542972957,12705103.882360458,12707654.794714756,0.02792211401363609
2015-03-18,2550.9123542972957,12921103.649902344,12923654.562256642,0.016997610576557465
2015-03-19,2550.9123542972957,12966600.666952133,12969151.579306431,0.0035204451519976754
2015-03-20,2550.9123542972957,13438034.496593475,13440585.408947773,0.03635039861771383
2015-03-23,2550.9123542972957,13825336.822414398,13827887.734768696,0.028815882198336862
2015-03-24,2550.9123542972957,13932280.142450333,13934831.05480463,0.007733886916585053
2015-03-25,2550.9123542972957,14120542.207193375,14123093.119547673,0.013510179205088457
2015-03-26,2550.9123542972957,13937279.41813469,13939830.330488987,-0.012976108527177566
2015-03-27,2550.9123542972957,13957410.0856781,13959960.998032399,0.0014441113748264733
2015-03-30,2550.9123542972957,13990002.65159607,13992553.563950367,0.00233471754846315
2015-03-31,2550.9123542972957,14037765.819072723,14040316.731427021,0.0034134704046950848
2015-04-01,665.6992426149209,14294657.484865189,14295323.184107803,0.018162443024521746
2015-04-02,665.6992426149209,14385969.236183167,14386634.93542578,0.006387526195944293
2015-04-03,665.6992426149209,14673653.255701065,14674318.95494368,0.019996616360195674
2015-04-07,665.6992426149209,15154390.510606766,15155056.20984938,0.03276044744439366
2015-04-08,665.6992426149209,15809291.729259491,15809957.428502105,0.04321338103827688
2015-04-09,665.6992426149209,16125438.282108307,16126103.981350921,0.019996673253456665
2015-04-10,665.6992426149209,16513181.634140015,16513847.333382629,0.024044453172329394
2015-04-13,665.6992426149209,16725634.025382996,16726299.72462561,0.012865105687001943
2015-04-14,665.6992426149209,16682041.85910225,16682707.558344863,-0.002606205018350072
2015-04-15,665.6992426149209,16088262.208795547,16088927.908038162,-0.03559252287016723
2015-04-16,665.6992426149209,16305254.89692688,16305920.596169494,0.013487081884612229
2015-04-17,665.6992426149209,16483149.31178093,16483815.011023544,0.010909805049329035
2015-04-20,665.6992426149209,15976558.696699142,15977224.395941757,-0.030732607393555766
2015-04-21,665.6992426149209,16583783.299732208,16584448.998974822,0.03800563777443733
2015-04-22,665.6992426149209,17259238.098955154,17259903.79819777,0.04072820262311394
2015-04-23,665.6992426149209,17239748.380994797,17240414.08023741,-0.0011291904165996458
2015-04-24,665.6992426149209,17072065.054035187,17072730.7532778,-0.009726177467618058
2015-04-27,665.6992426149209,17327908.18090439,17328573.880147003,0.014985483609297967
2015-04-28,665.6992426149209,17063259.500312805,17063925.19955542,-0.015272386661592807
2015-04-29,665.6992426149209,17303819.341278076,17304485.04052069,0.014097567713877268
2015-04-30,665.6992426149209,17272519.976854324,17273185.67609694,-0.0018087428981827802
2015-05-04,302234.82615416753,16918674.74012375,17220909.566277917,-0.003026431302209809
2015-05-05,302234.82615416753,16558528.082847595,16860762.909001764,-0.020913335378137887
2015-05-06,302234.82615416753,16694318.416786194,16996553.242940363,0.008053629285428299
2015-05-07,302234.82615416753,16804239.109039307,17106473.935193475,0.006467234308154213
2015-05-08,302234.82615416753,17345898.125362396,17648132.951516565,0.03166397811583632
2015-05-11,302234.82615416753,18106665.625190735,18408900.451344904,0.04310753448641513
2015-05-12,302234.82615416753,18600902.380657196,18903137.206811365,0.026847706454426135
2015-05-13,302234.82615416753,18419753.983306885,18721988.809461053,-0.009582980611548386
2015-05-14,302234.82615416753,18451994.88401413,18754229.7101683,0.0017220873826691019
2015-05-15,302234.82615416753,18458805.676937103,18761040.503091272,0.00036316036586026
2015-05-18,302234.82615416753,18881407.305526733,19183642.131680902,0.02252548991192671
2015-05-19,302234.82615416753,19877444.733428955,20179679.559583124,0.05192118478155461
2015-05-20,302234.82615416753,20229744.798088074,20531979.624242242,0.01745815951234042
2015-05-21,302234.82615416753,20659547.271442413,20961782.097596582,0.020933318716470417
2015-05-22,302234.82615416753,20858289.992427826,21160524.818581995,0.009481193920444442
2015-05-25,302234.82615416753,21073550.54960251,21375785.375756677,0.010172741887084724
2015-05-26,302234.82615416753,21702769.057178497,22005003.883332666,0.02943604160105462
2015-05-27,302234.82615416753,21746872.143363953,22049106.96951812,0.002004229875135932
2015-05-28,302234.82615416753,20180721.111106873,20482955.93726104,-0.07103013443683737
2015-05-29,302234.82615416753,20194583.50419998,20496818.33035415,0.0006767769815825275
2015-06-01,723.5992809617237,21451629.1595459,21452352.75882686,0.04661867091135985
2015-06-02,723.5992809617237,21770541.154956818,21771264.75423778,0.01486606149899794
