trade_date,cash,positions_value,total_value,daily_return
2015-01-05,505183.9074937622,9524046.711969376,10029230.619463138,0.002923061946313865
2015-01-06,505183.9074937622,9645423.866963387,10150607.77445715,0.012102339611022694
2015-01-07,505183.9074937622,9592874.838876724,10098058.746370487,-0.0051769341554991355
2015-01-08,505183.9074937622,9532515.193796158,10037699.10128992,-0.005977351350056392
2015-01-09,505183.9074937622,9536762.218284607,10041946.12577837,0.00042310737207729154
2015-01-12,505183.9074937622,9482510.087037086,9987693.99453085,-0.00540255151421809
2015-01-13,505183.9074937622,9615573.616194725,10120757.523688488,0.013322747896611808
2015-01-14,505183.9074937622,9539197.780799866,10044381.688293628,-0.007546454424591786
2015-01-15,505183.9074937622,9612536.876153946,10117720.783647709,0.007301504226940647
2015-01-16,505183.9074937622,9793372.58117199,10298556.488665752,0.01787316618880319
2015-01-19,505183.9074937622,9521778.414607048,10026962.32210081,-0.026372061644158507
2015-01-20,505183.9074937622,9980747.081303596,10485930.98879736,0.04577345081719497
2015-01-21,505183.9074937622,10258377.894830704,10763561.802324466,0.02647650588428574
2015-01-22,505183.9074937622,10355935.3597641,10861119.267257862,0.00906367861541213
2015-01-23,505183.9074937622,10210369.300603867,10715553.20809763,-0.013402491546065542
2015-01-26,505183.9074937622,10439500.952720642,10944684.860214405,0.021383091256886644
2015-01-27,505183.9074937622,10449188.22441101,10954372.131904773,0.000885111980298614
2015-01-28,505183.9074937622,10450857.310390472,10956041.217884235,0.00015236710597044123
2015-01-29,505183.9074937622,10332901.158809662,10838085.066303425,-0.010766311410755125
2015-01-30,505183.9074937622,10260817.868995667,10766001.77648943,-0.006650924897988575
2015-02-02,195056.46608410793,10521795.292210579,10716851.758294687,-0.004565299097579079
2015-02-03,195056.46608410793,10693916.163158417,10888972.629242525,0.016060768108938195
2015-02-04,195056.46608410793,10573898.198914528,10768954.664998636,-0.011021973176934874
2015-02-05,195056.46608410793,10477794.593572617,10672851.059656724,-0.008924135009525824
2015-02-06,195056.46608410793,10227846.008896828,10422902.474980935,-0.02341910172630368
