trade_date,symbol,side,requested_shares,filled_shares,price,gross_value,commission,tax,reason
2015-01-05,SH600027,buy,58600,58600,5.401071812152862,316502.8081921577,94.95084245764731,0.0,filled
2015-01-05,SH600081,buy,25100,25100,12.608547031402587,316474.5304882049,94.94235914646147,0.0,filled
2015-01-05,SH600266,buy,22700,22700,13.94561522388458,316565.46558217995,94.96963967465398,0.0,filled
2015-01-05,SH600340,buy,22600,22600,14.002264758110044,316451.183533287,94.9353550599861,0.0,filled
2015-01-05,SH600382,buy,37500,37500,8.444826313018797,316680.9867382049,95.00429602146146,0.0,filled
2015-01-05,SH600398,buy,40500,40500,7.809379622936248,316279.8747289181,94.88396241867541,0.0,filled
2015-01-05,SH600446,buy,20600,20600,15.331820028305051,315835.49258308404,94.7506477749252,0.0,filled
2015-01-05,SH600582,buy,57600,57600,5.500532593250274,316830.67737121583,95.04920321136474,0.0,filled
2015-01-05,SH600629,buy,27400,27400,11.550965275764463,316496.4485559463,94.94893456678388,0.0,filled
2015-01-05,SH600687,buy,35700,35700,8.87095792865753,316693.19805307384,95.00795941592214,0.0,filled
2015-01-05,SH600755,buy,33600,33600,9.421551077842711,316564.11621551507,94.96923486465451,0.0,filled
2015-01-05,SH600816,buy,78300,78300,4.045399352073669,316754.76926736825,95.02643078021046,0.0,filled
2015-01-05,SH600886,buy,33500,33500,9.439983989715575,316239.46365547174,94.87183909664151,0.0,filled
2015-01-05,SZ000065,buy,41300,41300,7.663694322586059,316510.5755228042,94.95317265684126,0.0,filled
2015-01-05,SZ000151,buy,18100,18100,17.471338008880615,316231.2179607391,94.86936538822172,0.0,filled
2015-01-05,SZ000531,buy,27200,27200,11.611562196731565,315834.4917510986,94.75034752532957,0.0,filled
2015-01-05,SZ000600,buy,36900,36900,8.578260395050048,316537.8085773468,94.96134257320404,0.0,filled
2015-01-05,SZ000631,buy,117400,117400,2.698177020311355,316765.9821845531,95.02979465536592,0.0,filled
2015-01-05,SZ000671,buy,65000,65000,4.875671295642852,316918.6342167854,95.0755902650356,0.0,filled
2015-01-05,SZ000681,buy,14700,14700,21.476611482620235,315706.1887945175,94.71185663835524,0.0,filled
2015-01-05,SZ000887,buy,25000,25000,12.648718731880187,316217.9682970047,94.8653904891014,0.0,filled
2015-01-05,SZ002074,buy,26200,26200,12.062253526687622,316031.0423992157,94.80931271976469,0.0,filled
2015-01-05,SZ002153,buy,20600,20600,15.372825119018554,316680.19745178224,95.00405923553467,0.0,filled
2015-01-05,SZ002198,buy,34400,34400,9.189206080436705,316108.68916702265,94.83260675010679,0.0,filled
2015-01-05,SZ002252,buy,25500,25500,12.423872337341308,316808.74460220337,95.042623380661,0.0,filled
2015-01-05,SZ002373,buy,23500,23500,13.474284836769103,316645.69366407394,94.99370809922218,0.0,filled
2015-01-05,SZ002581,buy,17100,17100,18.47368403434753,315899.9969873428,94.76999909620282,0.0,filled
2015-01-05,SZ300072,buy,50500,50500,6.268070681095122,316537.56939530367,94.96127081859109,0.0,filled
2015-01-05,SZ300199,buy,23900,23900,13.216664154052733,315878.27328186034,94.7634819845581,0.0,filled
