trade_date,symbol,shares,average_cost,close,market_value
2022-01-04,SH600702,1400,214.9077284800857,216.4514617919922,303032.04650878906
2022-01-04,SH601919,30000,10.551463939755632,10.75169849395752,322550.9548187256
2022-01-04,SH603185,3900,79.78822999516753,78.34858703613281,305559.48944091797
2022-01-04,SH603260,2500,125.6795587021156,119.31660461425781,298291.51153564453
2022-01-04,SH603392,2900,107.27963438208616,104.0909423828125,301863.73291015625
2022-01-04,SH603486,2100,144.57773442722473,139.88400268554688,293756.40563964844
2022-01-04,SH603606,7800,40.385659084064486,41.174659729003906,321162.34588623047
2022-01-04,SH605376,3900,81.0363260066223,77.87744903564453,303722.0512390137
2022-01-04,SH605399,14000,22.57755822912464,22.923097610473633,320923.36654663086
2022-01-04,SH688068,4200,75.05463538540496,74.49921417236328,312896.6995239258
2022-01-04,SH688301,2500,123.4328437902374,120.40830993652344,301020.7748413086
2022-01-04,SH688356,900,327.2245896872345,313.2862854003906,281957.65686035156
2022-01-04,SH688357,2800,111.0588264468361,99.71611785888672,279205.1300048828
2022-01-04,SH688516,4300,72.75951777347792,69.77001953125,300011.083984375
2022-01-04,SH688536,600,516.5579540520324,499.7376708984375,299842.6025390625
2022-01-04,SH688598,1900,162.33868351995238,162.1233367919922,308034.33990478516
2022-01-04,SH688699,2600,118.83441922066802,111.73853302001953,290520.1858520508
2022-01-04,SZ000422,15800,20.010377871271324,19.003849029541016,300260.81466674805
2022-01-04,SZ002049,2000,157.0422700144516,159.70204162597656,319404.0832519531
2022-01-04,SZ002487,8400,37.69874010238457,36.7824592590332,308972.6577758789
2022-01-04,SZ002648,17000,18.547047978420444,18.287559509277344,310888.51165771484
2022-01-04,SZ002709,5600,56.192922110948174,53.19743347167969,297905.62744140625
2022-01-04,SZ002932,11500,27.471595643038178,27.213468551635742,312954.88834381104
2022-01-04,SZ003026,8200,38.26366362941437,38.78278732299805,318018.856048584
2022-01-04,SZ300316,4700,66.18308355899963,61.46558380126953,288888.2438659668
2022-01-04,SZ300327,5300,59.245321202434916,57.75857925415039,306120.47004699707
2022-01-04,SZ300390,5600,56.05167881530379,54.80521011352539,306909.1766357422
2022-01-04,SZ300593,10600,29.75444260519352,29.07802963256836,308227.1141052246
2022-01-04,SZ300751,1300,242.48345562633816,221.836181640625,288387.0361328125
2022-01-04,SZ300763,2000,151.54107703017732,136.3612060546875,272722.412109375
2022-01-05,SH600702,1400,214.9077284800857,202.7763671875,283886.9140625
2022-01-05,SH601919,30000,10.551463939755632,10.541356086730957,316240.6826019287
2022-01-05,SH603185,3900,79.78822999516753,77.16602325439453,300947.4906921387
2022-01-05,SH603260,2500,125.6795587021156,114.63623809814453,286590.5952453613
2022-01-05,SH603392,2900,107.27963438208616,101.75865936279297,295100.1121520996
2022-01-05,SH603486,2100,144.57773442722473,143.87229919433594,302131.82830810547
2022-01-05,SH603606,7800,40.385659084064486,37.71922302246094,294209.9395751953
2022-01-05,SH605376,3900,81.0363260066223,74.72103881835938,291412.05139160156
2022-01-05,SH605399,14000,22.57755822912464,23.2374210357666,325323.8945007324
2022-01-05,SH688068,4200,75.05463538540496,81.00038146972656,340201.60217285156
2022-01-05,SH688301,2500,123.4328437902374,112.50833892822266,281270.84732055664
2022-01-05,SH688356,900,327.2245896872345,297.60693359375,267846.240234375
2022-01-05,SH688357,2800,111.0588264468361,95.57379913330078,267606.6375732422
2022-01-05,SH688516,4300,72.75951777347792,64.5445785522461,277541.6877746582
2022-01-05,SH688536,600,516.5579540520324,485.6754150390625,291405.2490234375
2022-01-05,SH688598,1900,162.33868351995238,151.71266174316406,288254.0573120117
2022-01-05,SH688699,2600,118.83441922066802,110.95245361328125,288476.37939453125
2022-01-05,SZ000422,15800,20.010377871271324,18.256755828857422,288456.74209594727
2022-01-05,SZ002049,2000,157.0422700144516,151.58750915527344,303175.0183105469
2022-01-05,SZ002487,8400,37.69874010238457,34.761749267578125,291998.69384765625
2022-01-05,SZ002648,17000,18.547047978420444,19.225034713745117,326825.590133667
2022-01-05,SZ002709,5600,56.192922110948174,49.99324035644531,279962.14599609375
2022-01-05,SZ002932,11500,27.471595643038178,28.144975662231445,323667.2201156616
2022-01-05,SZ003026,8200,38.26366362941437,39.012969970703125,319906.3537597656
2022-01-05,SZ300316,4700,66.18308355899963,58.64178466796875,275616.3879394531
2022-01-05,SZ300327,5300,59.245321202434916,53.43170166015625,283188.0187988281
2022-01-05,SZ300390,5600,56.05167881530379,53.1528205871582,297655.79528808594
2022-01-05,SZ300593,10600,29.75444260519352,27.515642166137695,291665.80696105957
2022-01-05,SZ300751,1300,242.48345562633816,212.8389129638672,276690.58685302734
2022-01-05,SZ300763,2000,151.54107703017732,137.84295654296875,275685.9130859375
2022-01-06,SH600702,1400,214.9077284800857,208.59365844726562,292031.1218261719
2022-01-06,SH601919,30000,10.551463939755632,10.185393333435059,305561.80000305176
2022-01-06,SH603185,3900,79.78822999516753,76.01187133789062,296446.29821777344
2022-01-06,SH603260,2500,125.6795587021156,113.74723052978516,284368.0763244629
2022-01-06,SH603392,2900,107.27963438208616,99.04228210449219,287222.61810302734
2022-01-06,SH603486,2100,144.57773442722473,140.29820251464844,294626.2252807617
2022-01-06,SH603606,7800,40.385659084064486,38.06555938720703,296911.36322021484
2022-01-06,SH605376,3900,81.0363260066223,73.94628143310547,288390.4975891113
2022-01-06,SH605399,14000,22.57755822912464,24.315095901489258,340411.3426208496
