experiment,name,stock_count,minimum_quarter_roe,minimum_quarter_roa,maximum_price,minimum_average_money,maximum_industry_count,minimum_market_cap,target_exposure,risk_ma_days,risk_off_exposure,slippage_rate,cost_multiplier,initial_cash,full_total_return,full_annualized_return,full_maximum_drawdown,full_sharpe,full_annualized_volatility,full_turnover,full_average_cash_ratio,full_longest_underwater_trading_days,pre_2019_total_return,pre_2019_annualized_return,pre_2019_maximum_drawdown,pre_2019_sharpe,pre_2019_annualized_volatility,pre_2019_turnover,pre_2019_average_cash_ratio,pre_2019_longest_underwater_trading_days,published_2019_2023_total_return,published_2019_2023_annualized_return,published_2019_2023_maximum_drawdown,published_2019_2023_sharpe,published_2019_2023_annualized_volatility,published_2019_2023_turnover,published_2019_2023_average_cash_ratio,published_2019_2023_longest_underwater_trading_days,post_publication_total_return,post_publication_annualized_return,post_publication_maximum_drawdown,post_publication_sharpe,post_publication_annualized_volatility,post_publication_turnover,post_publication_average_cash_ratio,post_publication_longest_underwater_trading_days,trade_count,rejection_count
published-core,published-core,10,0.15,0.1,10.0,0.0,10,0.0,1.0,,0.5,0.004,1.0,,20.13071282912931,0.28389159035615585,0.6215849753993177,0.9168099243737065,0.3344106091558309,107.97432627844606,0.00663647684491607,1445,1.0055766548140852,0.15327871243722435,0.6215849753993177,0.5944666646842952,0.3365462754530946,35.2148656176907,0.016532942234212998,866,5.16015097495689,0.4637381843796946,0.2614793015107295,1.5337183233099028,0.27294926998492164,47.483650310121014,6.02323601442211e-05,160,0.7103442268459024,0.2336465197610289,0.4983688949969417,0.7109662386769822,0.42309081643303853,21.98341629041785,1.9531454290974105e-05,192,1910,157
quality-liquid-10,quality-liquid-10,10,1.0,0.5,10.0,10000000.0,3,0.0,0.95,,0.5,0.004,1.0,,14.296985255064756,0.2503603988882066,0.6861711477478729,0.8738826035614919,0.3121920442827934,108.03909694347665,0.041055248551290474,1578,0.9207687541520497,0.14311298007945994,0.6861711477478729,0.5758187296652194,0.3259126911359154,40.952478580846304,0.036930215905279215,875,5.411947087684635,0.47607822429307234,0.28123953880019514,1.6194844645338826,0.2618849740397228,49.40371473659959,0.0434625386901693,180,0.24205502429175185,0.08850721733102307,0.45977226563655105,0.4166421497147246,0.3670351215695015,20.445270365416345,0.04443653601991538,233,1995,123
practical-15,practical-15,15,1.0,0.5,,10000000.0,3,0.0,0.95,,0.5,0.004,1.0,,10.646485117702921,0.22274459931460355,0.6249813438738308,0.8062518190363336,0.30966469814495207,101.03951148241578,0.035378567107900494,1485,0.7080286901170909,0.11594412744017757,0.6249813438738308,0.5016063010449653,0.32684692316739034,35.179502551507504,0.023805191180644385,866,4.244349656401849,0.4151924906651765,0.28293739758043424,1.5238408630435083,0.24834075656346608,46.138352096255105,0.0415319138415709,197,0.3001937528756877,0.10816415493615206,0.4582147922260196,0.46378060013521816,0.3728613688741501,19.377953498044914,0.045986667229940624,203,2924,213
practical-20,practical-20,20,1.0,0.5,,10000000.0,4,0.0,0.95,,0.5,0.004,1.0,,7.523942451547466,0.19187859606900837,0.6808437953965405,0.7331273994103279,0.3027545377678787,98.29844330040281,0.03460206785408931,1633,0.42039777944068235,0.07456218754058686,0.6808437953965405,0.3875999299668544,0.3174908479868865,31.975345657373666,0.021420258251546174,867,3.4793933868001927,0.3691994735716595,0.27800922348100476,1.421540936705769,0.2418359751677452,44.30907323892617,0.042635046971355554,220,0.3397116062608063,0.12122155855092642,0.4563202518792445,0.49664212771512795,0.3691552243873608,19.892434992335126,0.04477180749134125,202,3780,313
practical-30,practical-30,30,1.0,0.5,,10000000.0,6,0.0,0.95,,0.5,0.004,1.0,,6.330061038815333,0.1772372352496785,0.6781327166241049,0.7041342104975746,0.2938800311202257,92.04307460100803,0.03731917764740288,1746,0.3663403162525525,0.06605217278279407,0.6781327166241049,0.36411279340914193,0.30634440187826983,30.073650926988673,0.022356811269480907,867,2.8176853618145743,0.3240962585996554,0.27291543504228066,1.305809574207481,0.23666281619597487,42.35310429471927,0.04725532952598082,222,0.40523376093868646,0.1423642589147005,0.4474375901269827,0.5526354287137647,0.3590397450748259,18.432224976822745,0.047335230526778994,197,5470,480
liquid-20,liquid-20,20,1.0,0.5,,20000000.0,4,0.0,0.95,,0.5,0.004,1.0,,4.821031779956873,0.1552176737289357,0.7010636817067253,0.6268537952739622,0.30559046642273563,116.80017408657184,0.03521617568378533,1859,0.23226835297394866,0.04372755835689457,0.7010636817067253,0.29595418517686695,0.31858913897970453,36.43734233925212,0.022415375468459328,867,2.6530812217933257,0.3119234439727159,0.2932242889074562,1.2012775951611525,0.25283321989457685,59.63359105353132,0.042964977446348585,215,0.29310963271113466,0.10579800178683074,0.4560195809025881,0.46022535216252763,0.36476067382009986,21.399677513608722,0.04518903289811984,215,4067,304
market-cap-floor-20,market-cap-floor-20,20,1.0,0.5,,10000000.0,4,2000000000.0,0.95,,0.5,0.004,1.0,,4.273869563768258,0.14591431525644638,0.6922495362621521,0.6128923775909404,0.293221795581279,177.50266192178853,0.03584805539910835,1930,0.3387472138812684,0.061604678435437155,0.6922495362621521,0.3495383609197428,0.31594208097250304,38.88114376089035,0.025078098365341223,867,2.6059348576779486,0.30835709659761923,0.24316680959454917,1.2503378741367717,0.23782639466999742,88.32989276823784,0.04162384894456284,295,0.09247857237551016,0.03521017481491073,0.40351040395588067,0.27275849673729585,0.33851968090256884,39.48728284254274,0.04562712563614858,245,4596,322
risk-scaled-20,risk-scaled-20,20,1.0,0.5,,10000000.0,4,0.0,0.95,120.0,0.5,0.004,1.0,,3.0297586210519505,0.12093524241245612,0.6795303534153114,0.6170989396447902,0.2274600957609221,79.0125383487812,0.301614700227321,2308,0.28324248050315637,0.05243288892278053,0.6795303534153114,0.3287594990925089,0.25914762484449555,29.117381156779448,0.2369036789401016,867,1.5999551349165508,0.22168285011067157,0.21765283831786364,1.2256782792932686,0.17613360742095058,32.175154648590436,0.3692554652031056,173,0.20782621433083048,0.07667125553368548,0.3330711827152454,0.42368885978501214,0.24712502427401004,16.847511617812767,0.2988791968694126,200,3815,232
practical-20-double-friction,practical-20-double-friction,20,1.0,0.5,,10000000.0,4,0.0,0.95,,0.5,0.008,2.0,,4.56579959556419,0.15098263570862858,0.7088073392368546,0.6171776788487837,0.3033123512238843,97.78105833964007,0.03319597364070316,1861,0.22730276489894385,0.04286432232202886,0.7088073392368546,0.29328842983005865,0.31763746786227304,31.859204733795156,0.020963566710048072,867,2.684996108319711,0.3143170225680014,0.2914711668536464,1.2462554822499976,0.24327507657640407,44.50942090585324,0.04039648414817409,230,0.23066207920644977,0.08458995666647207,0.4575166193156005,0.40663752705714534,0.36936171033922377,19.920239237187754,0.04310728415711381,206,3732,325
practical-20-5m,practical-20-5m,20,1.0,0.5,,10000000.0,4,0.0,0.95,,0.5,0.004,1.0,5000000.0,7.563115757562329,0.1923263328194107,0.6808677546044017,0.7336683474501663,0.30325121777825653,98.43920539645488,0.03298282666116116,1632,0.42192143355860146,0.07479829136179172,0.6808677546044017,0.3882248283063279,0.31781778529120064,31.96659855386478,0.020605248530723375,867,3.4938285973409258,0.37012293292386267,0.2788047303778399,1.4208676078062872,0.24254804037636443,44.407722704834576,0.04000509698511599,220,0.3401077248354143,0.12135124822440635,0.45687108153873024,0.4967765081523921,0.36969275115687816,19.914819046397085,0.04350407364497336,202,3837,331
