model,execution_date,target_weight,delay,execution
buy-hold,2021-11-29,0.99,1,open
macd-cross-12-26-9,2021-11-29,0.99,1,open
macd-cross-12-26-9,2021-12-03,0.0,1,open
macd-cross-12-26-9,2022-01-19,0.99,1,open
macd-cross-12-26-9,2022-01-26,0.0,1,open
macd-cross-12-26-9,2022-02-21,0.99,1,open
macd-cross-12-26-9,2022-03-09,0.0,1,open
macd-cross-12-26-9,2022-03-22,0.99,1,open
macd-cross-12-26-9,2022-03-29,0.0,1,open
macd-cross-12-26-9,2022-05-06,0.99,1,open
macd-cross-12-26-9,2022-06-22,0.0,1,open
macd-cross-12-26-9,2022-06-29,0.99,1,open
macd-cross-12-26-9,2022-06-30,0.0,1,open
macd-cross-12-26-9,2022-07-28,0.99,1,open
macd-cross-12-26-9,2022-08-19,0.0,1,open
macd-cross-12-26-9,2022-10-17,0.99,1,open
macd-cross-12-26-9,2022-11-21,0.0,1,open
macd-cross-12-26-9,2023-01-03,0.99,1,open
macd-cross-12-26-9,2023-02-15,0.0,1,open
macd-cross-12-26-9,2023-03-15,0.99,1,open
macd-cross-12-26-9,2023-04-20,0.0,1,open
macd-cross-12-26-9,2023-04-21,0.99,1,open
macd-cross-12-26-9,2023-04-24,0.0,1,open
macd-cross-12-26-9,2023-05-30,0.99,1,open
macd-cross-12-26-9,2023-06-09,0.0,1,open
macd-cross-12-26-9,2023-06-12,0.99,1,open
macd-cross-12-26-9,2023-06-27,0.0,1,open
macd-cross-12-26-9,2023-08-01,0.99,1,open
macd-cross-12-26-9,2023-08-15,0.0,1,open
macd-cross-12-26-9,2023-08-30,0.99,1,open
macd-cross-12-26-9,2023-09-14,0.0,1,open
macd-cross-12-26-9,2023-09-28,0.99,1,open
macd-cross-12-26-9,2023-10-23,0.0,1,open
macd-cross-12-26-9,2023-10-31,0.99,1,open
macd-cross-12-26-9,2023-11-23,0.0,1,open
macd-cross-12-26-9,2023-12-12,0.99,1,open
macd-cross-12-26-9,2023-12-18,0.0,1,open
macd-cross-12-26-9,2024-01-02,0.99,1,open
macd-cross-12-26-9,2024-01-04,0.0,1,open
macd-cross-12-26-9,2024-02-08,0.99,1,open
macd-cross-12-26-9,2024-03-22,0.0,1,open
macd-cross-12-26-9,2024-04-29,0.99,1,open
macd-cross-12-26-9,2024-05-21,0.0,1,open
macd-cross-12-26-9,2024-06-04,0.99,1,open
macd-cross-12-26-9,2024-06-25,0.0,1,open
macd-cross-12-26-9,2024-07-15,0.99,1,open
macd-cross-12-26-9,2024-07-30,0.0,1,open
macd-cross-12-26-9,2024-08-01,0.99,1,open
macd-cross-12-26-9,2024-08-07,0.0,1,open
macd-cross-12-26-9,2024-09-25,0.99,1,open
macd-cross-12-26-9,2024-10-30,0.0,1,open
macd-cross-12-26-9,2024-11-13,0.99,1,open
macd-cross-12-26-9,2024-11-15,0.0,1,open
macd-cross-12-26-9,2024-12-26,0.99,1,open
macd-cross-12-26-9,2025-01-02,0.0,1,open
