model,period,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns
buy-hold,start-2022,-0.33071065389934007,-0.31544100230496586,0.40246752158770926,-1.3327018559535952,0.2590611778598482,1.29113461297883,0.012580840258956014,0.015665239641979467,266,"{""2021"": -0.03535845389933945, ""2022"": -0.30617818732138646}"
buy-hold,2023-2024,0.04127900759359315,0.02128396548330702,0.43820053697107486,0.22203385555058794,0.3345638731128706,0.0,0.01569886989381415,0.02101238764672751,412,"{""2023"": -0.10418035249811575, ""2024"": 0.1623757198196567}"
buy-hold,2025-end,0.7928520078204433,0.4773315827940934,0.2276903406114681,1.2497385839777808,0.3655647069505331,0.0,0.010910320712393232,0.014694582142011994,119,"{""2025"": 0.35112017489191083, ""2026"": 0.3269374857524199}"
macd-cross-12-26-9,start-2022,0.08764326596690242,0.0825218556135543,0.15971233197808932,0.5703351618251729,0.1618020430748539,15.491068719893347,0.6288711803778065,1.0,122,"{""2021"": -0.015454354068295761, ""2022"": 0.10471593720536387}"
macd-cross-12-26-9,2023-2024,0.2304102020863783,0.11400078621903242,0.2735722063109969,0.5123998615108658,0.28440654386335534,36.45662930592967,0.5557532376256502,1.0,360,"{""2023"": -0.07559220360027186, ""2024"": 0.3310253406325985}"
macd-cross-12-26-9,2025-end,1.0365506402021714,0.6087048686553977,0.1542827683022776,1.9379988319082715,0.26325284099493435,21.093706508020446,0.46631471591089424,1.0,62,"{""2025"": 0.37374361146440993, ""2026"": 0.482482337465582}"
macd-zero-9-24,start-2022,-0.0026206885633432986,-0.0024736411202942454,0.08893260674214154,0.06138320645935271,0.1555033986009723,9.837722694177295,0.6474622561619784,1.0,121,"{""2021"": -0.038518065794847955, ""2022"": 0.03733546721413994}"
macd-zero-9-24,2023-2024,-0.10105313032083763,-0.05395650545428199,0.32397635076834697,-0.09331097065180402,0.2573366140347829,24.1300814334411,0.649833808051737,1.0,412,"{""2023"": -0.04534033160057016, ""2024"": -0.058358806352084236}"
macd-zero-9-24,2025-end,0.6389092871433562,0.39128472907662104,0.22737209151622306,1.2097337798835268,0.31348905513032377,14.854474469749164,0.4134472779900548,1.0,116,"{""2025"": 0.31786925362861274, ""2026"": 0.2436053748357765}"
sma-200,start-2022,-0.05302474841635407,-0.0501218019205284,0.06849494781453225,-1.0818701705519769,0.04652230057687963,4.044299835309559,0.948067010502821,1.0,266,"{""2021"": -0.053024748416354406, ""2022"": 0.0}"
sma-200,2023-2024,0.0491179564174935,0.025279832383877432,0.18899056091329347,0.2174577404594697,0.24324622351709607,17.17007748901448,0.7623813608650205,1.0,351,"{""2023"": -0.1447018388567315, ""2024"": 0.2266107938489521}"
sma-200,2025-end,0.6433112865006174,0.39378149065054013,0.2277734321460405,1.0980498917846648,0.3617436375681944,7.3320623191079815,0.023199978557339074,1.0,119,"{""2025"": 0.3354278049440005, ""2026"": 0.23055045013798137}"
tsmom-252-monthly,start-2022,-0.14863733946327184,-0.14090588326032494,0.15923055499947203,-1.6809156168504278,0.08801520973810686,2.120878018110791,0.8443187551267739,1.0,265,"{""2021"": -0.04973545499947174, ""2022"": -0.10407826429401845}"
tsmom-252-monthly,2023-2024,-0.14195688283087216,-0.07661933322698022,0.24107727407142676,-0.4043226466706638,0.1642568608813554,3.031294698311732,0.7934842940978944,1.0,406,"{""2023"": -0.06430981257927726, ""2024"": -0.08298373895063893}"
tsmom-252-monthly,2025-end,0.7953775910580456,0.4787223455283718,0.2280155853991057,1.2503374739252464,0.3663798270021131,0.0,0.008395340487675172,0.011316018332715134,119,"{""2025"": 0.3522386474685639, ""2026"": 0.32770764570222477}"
donchian-120-40,start-2022,0.0,0.0,-0.0,,0.0,0.0,1.0,1.0,0,"{""2021"": 0.0, ""2022"": 0.0}"
donchian-120-40,2023-2024,-0.18479896660983985,-0.10091865366924391,0.30341269171534047,-0.5206920560300391,0.17517935268466334,3.0557304717771445,0.7464446251174702,1.0,412,"{""2023"": -0.1110188738050405, ""2024"": -0.082993992370339}"
donchian-120-40,2025-end,0.1532969073596031,0.10002769239422449,0.22744400360808925,0.4726209384609209,0.28897170577610165,3.8168533074248074,0.687022146131913,1.0,170,"{""2025"": 0.07318312123302562, ""2026"": 0.07465062070164818}"
