family,block_length,repetitions,annualized_mean_excess,ci_low,ci_high,p_value,holm_p_value
sma-price,20,2000,-0.18945356800527097,-0.6269362829499261,0.15426738341218874,0.8315842078960519,1.0
sma-price,60,2000,-0.18945356800527097,-0.5539043342824758,0.07621033055519906,0.862568715642179,
ema-price,20,2000,-0.13718313955987047,-0.5269091864289571,0.18854252235779448,0.7681159420289855,1.0
ema-price,60,2000,-0.13718313955987047,-0.5006491125343427,0.13154764026563115,0.7956021989005497,
dual-ma,20,2000,-0.2377657507892885,-0.6592945852615137,0.09477348299340375,0.88055972013993,1.0
dual-ma,60,2000,-0.2377657507892885,-0.6306740797753939,0.07014270782697027,0.8940529735132434,
macd-cross,20,2000,0.052985787933525326,-0.19540013291064734,0.2889123552101502,0.33183408295852074,1.0
macd-cross,60,2000,0.052985787933525326,-0.1360649940114567,0.2377176507451761,0.2938530734632684,
trix,20,2000,0.018739803075441864,-0.2626266646051134,0.2987232522497418,0.4427786106946527,1.0
trix,60,2000,0.018739803075441864,-0.24462576203825614,0.26815717558518076,0.4682658670664668,
adx-dmi,20,2000,-0.003951237240196623,-0.281896515193396,0.27216812430260756,0.52023988005997,1.0
adx-dmi,60,2000,-0.003951237240196623,-0.2416139034044443,0.2455580360572202,0.519240379810095,
aroon,20,2000,-0.10472646091493124,-0.45921509787121134,0.21709338414541457,0.7126436781609196,1.0
aroon,60,2000,-0.10472646091493124,-0.4273986057133449,0.18262920890703538,0.7531234382808596,
supertrend,20,2000,-0.07468553942728708,-0.3341266789399124,0.18618444814328064,0.7231384307846077,1.0
supertrend,60,2000,-0.07468553942728708,-0.3218286386212411,0.18842056082311534,0.7176411794102948,
tsmom-monthly,20,2000,-0.20177802377384035,-0.6335251517505988,0.15298338009364434,0.8505747126436781,1.0
tsmom-monthly,60,2000,-0.20177802377384035,-0.5888026109014192,0.10441587782983443,0.8585707146426786,
donchian,20,2000,-0.1595689097986516,-0.47959499273152795,0.1433252958367033,0.8495752123938031,1.0
donchian,60,2000,-0.1595689097986516,-0.4785078049747725,0.12411610578131992,0.8510744627686156,
bollinger-breakout,20,2000,-0.07866876875052597,-0.3774921496708793,0.23281220038391143,0.6981509245377311,1.0
bollinger-breakout,60,2000,-0.07866876875052597,-0.34149428751791744,0.16685163032451755,0.7221389305347327,
keltner-breakout,20,2000,0.01161331563293478,-0.28932961420893377,0.3135845983436763,0.5027486256871564,1.0
keltner-breakout,60,2000,0.01161331563293478,-0.24558036015303977,0.24341146530045094,0.4642678660669665,
rsi-reversion,20,2000,-0.3222171435890134,-0.839594179676397,0.12158106430218046,0.9000499750124937,1.0
rsi-reversion,60,2000,-0.3222171435890134,-0.8059299460079159,0.11382222735926276,0.9055472263868066,
stochastic-reversion,20,2000,-0.2810844592848119,-0.7002091424702191,0.0977195798034513,0.9070464767616192,1.0
stochastic-reversion,60,2000,-0.2810844592848119,-0.6177029987260501,0.021303437141173356,0.9515242378810594,
cci-reversion,20,2000,-0.19308883720915196,-0.6164485776630981,0.21219742002077474,0.8170914542728636,1.0
cci-reversion,60,2000,-0.19308883720915196,-0.6072235995296377,0.19700063423049974,0.8250874562718641,
bollinger-reversion,20,2000,-0.30775787398955723,-0.8170508156866612,0.16626294230989197,0.887056471764118,1.0
bollinger-reversion,60,2000,-0.30775787398955723,-0.8380527057870337,0.14215808072756714,0.8845577211394303,
mfi-reversion,20,2000,-0.23113176471617924,-0.7905583627709002,0.248197107217336,0.7991004497751124,1.0
mfi-reversion,60,2000,-0.23113176471617924,-0.7696259793416413,0.2248500232630526,0.815592203898051,
obv-trend,20,2000,-0.23078850352589028,-0.5988467414836377,0.0894811986144264,0.8930534732633684,1.0
obv-trend,60,2000,-0.23078850352589028,-0.6078876201638369,0.08171418886536072,0.8940529735132434,
vol-target-trend,20,2000,-0.14404020646885157,-0.533027447248843,0.15939621504131185,0.7976011994002998,1.0
vol-target-trend,60,2000,-0.14404020646885157,-0.47386035100974494,0.14104300337638814,0.8170914542728636,
indicator-vote,20,2000,-0.06861917780759265,-0.47907001737695176,0.25759851468863226,0.6611694152923538,1.0
indicator-vote,60,2000,-0.06861917780759265,-0.4828460957487448,0.2012719680091654,0.679160419790105,
