family,return_risk,folds,rolling,stress,multiple_testing,mining_risk,regimes,candidate
sma-price,False,False,True,True,False,False,True,False
ema-price,False,False,True,True,False,False,True,False
dual-ma,False,False,True,True,False,False,True,False
macd-cross,False,False,True,True,False,False,True,False
trix,False,False,True,True,False,False,True,False
adx-dmi,True,False,True,True,False,False,True,False
aroon,False,False,True,True,False,False,True,False
supertrend,False,False,True,True,False,False,True,False
tsmom-monthly,False,False,True,True,False,False,True,False
donchian,False,False,True,True,False,False,True,False
bollinger-breakout,False,False,True,True,False,False,True,False
keltner-breakout,True,False,True,True,False,False,True,False
rsi-reversion,False,False,True,False,False,False,True,False
stochastic-reversion,False,False,True,False,False,False,False,False
cci-reversion,False,False,True,True,False,False,True,False
bollinger-reversion,False,False,False,True,False,False,True,False
mfi-reversion,False,False,True,True,False,False,True,False
obv-trend,False,False,True,True,False,False,True,False
vol-target-trend,False,False,True,True,False,False,True,False
indicator-vote,False,False,True,True,False,False,True,False
