family,label,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation,config
buy-hold,买入持有,0.1540879461006599,0.031761688272639255,0.554525186496249,0.2571719049252047,0.3348656213972224,1.2983840039658314,0.013237322028555603,0.02101238764672751,929,"{""2021"": -0.03535845389933945, ""2022"": -0.30617818732138646, ""2023"": -0.10418035249811575, ""2024"": 0.1623757198196567, ""2025"": 0.35112017489191083, ""2026"": 0.22564275191887084}",0.057277268997147884,0.9867626779714446,1.0,1,0,0.0018628507960727775,
sma-price,价格 / SMA 趋势,0.5079257606354368,0.0937530173298986,0.30030463679589703,0.4627554516473935,0.27197254091201195,27.067637580345437,0.5463883467595622,1.0,689,"{""2021"": -0.053024748416354406, ""2022"": 0.0, ""2023"": -0.1447018388567315, ""2024"": 0.2266107938489521, ""2025"": 0.3354278049440005, ""2026"": 0.13657106762964277}",0.31219303947550475,0.45361165324043784,0.45714285714285713,29,0,0.0018628507960727775,sma-price__period-200
ema-price,价格 / EMA 趋势,0.20578842776066075,0.04167413070765935,0.3016226282464618,0.2983387857785228,0.21129389385047956,30.83438850004508,0.6770429239717577,1.0,905,"{""2021"": -0.05067215726687202, ""2022"": -0.022816167575446133, ""2023"": -0.08754490033265938, ""2024"": 0.0, ""2025"": 0.3285728217825956, ""2026"": 0.0722146909536654}",0.138166459691501,0.3229570760282423,0.3255411255411255,31,1,0.003568137943137943,ema-price__period-200
dual-ma,快慢均线交叉,0.21669105790542198,0.04372190017573052,0.3005870858538493,0.2984926032657039,0.23753609757149213,6.594672416249001,0.5535975716258312,1.0,900,"{""2021"": -0.030253542447966186, ""2022"": -0.055022214256369884, ""2023"": -0.12412764707800472, ""2024"": 0.010035748117087628, ""2025"": 0.2240155122638685, ""2026"": 0.2261286215186189}",0.14545501863971919,0.4464024283741689,0.45021645021645024,7,0,0.0015961370249724363,dual-ma__fast-50-slow-200
macd-cross,MACD 交叉,1.4417557351355814,0.21503719958148015,0.2735722063109969,0.8894566168742514,0.2539716860836808,75.36003727271353,0.5427008037645465,1.0,360,"{""2021"": -0.015454354068295761, ""2022"": 0.10471593720536387, ""2023"": -0.07559220360027186, ""2024"": 0.3310253406325985, ""2025"": 0.37374361146440993, ""2026"": 0.32818977312241593}",0.7860345262450597,0.45729919623545345,0.4614718614718615,77,0,0.002334527231600949,macd-cross__fast-12-signal-9-slow-26
trix,TRIX 趋势,0.68649587649751,0.12078952125963327,0.3497355199560461,0.5681449316254348,0.2565496111028481,49.31728306329239,0.5581594086530421,1.0,351,"{""2021"": -0.03583595939180395, ""2022"": 0.020386206833512555, ""2023"": -0.19003783278146802, ""2024"": 0.22428059976689418, ""2025"": 0.34889478102922755, ""2026"": 0.281580818129618}",0.34537390218418135,0.4418405913469579,0.4458874458874459,51,0,0.0018628507960727775,trix__period-15-signal-9
adx-dmi,ADX + DMI 趋势强度,1.1653363085974306,0.18360157039939073,0.18899460886793273,0.8360755436407016,0.23327347877448432,33.29369652827305,0.7475805012433682,1.0,350,"{""2021"": 0.0, ""2022"": 0.02249883104463568, ""2023"": -0.03937645503610776, ""2024"": 0.28442127873822076, ""2025"": 0.33803790149184687, ""2026"": 0.2827245410258219}",0.9714645909698377,0.2524194987566318,0.2545454545454545,32,0,0.001702428989477285,adx-dmi__period-14-threshold-25
aroon,Aroon 趋势时点,1.424179898241733,0.21312361591408435,0.18899371465107717,0.9498624244103576,0.2306177725219723,47.12834802469234,0.7211494745744779,1.0,215,"{""2021"": -0.02531642116031596, ""2022"": 0.11668577559771687, ""2023"": 0.1493417029358861, ""2024"": 0.07934509846136906, ""2025"": 0.393067054283915, ""2026"": 0.2888094215810626}",1.1276756812127648,0.2788505254255221,0.2813852813852814,48,0,0.0018628507960727775,aroon__period-25-threshold-70
supertrend,Supertrend ATR 趋势,0.2900255352942682,0.05713521387844889,0.32794895343132546,0.3417029626585963,0.253611155211238,36.84229500679172,0.562438873414596,1.0,351,"{""2021"": -0.02531642116031596, ""2022"": -0.0006763515726857516, ""2023"": -0.09107636651043383, ""2024"": 0.033427004925702164, ""2025"": 0.23889924231921178, ""2026"": 0.1381127888396536}",0.17421983903483734,0.4375611265854041,0.44155844155844154,38,0,0.0020280092802754768,supertrend__multiplier-3-period-10
tsmom-monthly,月频时间序列动量,-0.20338831259938384,-0.04840134453047196,0.20748855877752193,-0.8832649579121382,0.05447392881282342,4.2423634053303045,0.9297282375568441,1.0,1153,"{""2021"": -0.04973545499947174, ""2022"": -0.10407826429401845, ""2023"": -0.06430981257927726, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",-0.23327235398251497,0.07027176244315601,0.070995670995671,4,1,0.0021141345508451153,tsmom-monthly__lookback-252
donchian,Donchian 突破,-0.053549825442564036,-0.011936253082976411,0.299880898371501,0.022424814196721217,0.1797004178819521,5.944482404206738,0.8412733253563471,1.0,571,"{""2021"": 0.0, ""2022"": 0.0, ""2023"": -0.1110188738050405, ""2024"": 0.0, ""2025"": 0.13158976341364204, ""2026"": -0.05915906478371569}",-0.0398033124076794,0.1587266746436528,0.16017316017316016,6,1,0.0005477002056721639,donchian__entry-120-exit-40
bollinger-breakout,布林带突破,0.6530226644000043,0.1158979178596451,0.20566036514132213,0.5943699025512397,0.22524996804407052,26.680368847346315,0.8060308940936032,1.0,350,"{""2021"": -0.015454354068295761, ""2022"": -0.07141494479762434, ""2023"": 0.052660832299213034, ""2024"": 0.15792063008459678, ""2025"": 0.45024445387596224, ""2026"": 0.022851988330178097}",0.5635403680237773,0.19396910590639685,0.19567099567099566,26,0,0.002073531238198871,bollinger-breakout__period-20-width-2
keltner-breakout,Keltner 突破,0.6446437328658265,0.1146613580177489,0.18898629727522198,0.6048497941282801,0.21719896176605605,26.488688352962733,0.7828785961419482,1.0,689,"{""2021"": -0.015454354068295761, ""2022"": -0.10251458381410927, ""2023"": 0.011875621252285029, ""2024"": 0.1654212346925945, ""2025"": 0.3015954243672063, ""2026"": 0.21261379754686516}",0.606717839710711,0.2171214038580518,0.21904761904761905,26,0,0.002073531238198871,keltner-breakout__multiplier-2-period-20
rsi-reversion,RSI 反转,-0.05175911774952635,-0.011528676242308578,0.3059747062508087,0.02189065147842303,0.17607120366008286,65.1163545369335,0.6330964090069411,1.0,1145,"{""2021"": -0.0004950461984162269, ""2022"": -0.2535083700624583, ""2023"": 0.15817261806412297, ""2024"": -0.02805750249873984, ""2025"": 0.053577827576604786, ""2026"": 0.07158911845665794}",-0.037678527037651524,0.366903590993059,0.37056277056277054,65,0,0.002422421582591059,rsi-reversion__entry-25-exit-60-period-5
stochastic-reversion,随机指标反转,-0.3770884935882478,-0.09812246744669861,0.508358366148237,-0.39062180979207106,0.2086795128883839,56.202624199945575,0.46002760046994395,1.0,1145,"{""2021"": -0.02118751064414981, ""2022"": -0.3399208525293641, ""2023"": 0.004441547286612391, ""2024"": -0.10817469439141925, ""2025"": 0.08345934834417612, ""2026"": -0.006623785442506525}",-0.1930182996498304,0.539972399530056,0.5454545454545454,57,0,0.0021041077857977294,stochastic-reversion__entry-20-exit-80-period-14
cci-reversion,CCI 反转,-0.31167208028097104,-0.07825688498555206,0.4352763507600885,-0.33602925758442415,0.189244249501529,58.423202350554405,0.5551447738923376,1.0,1145,"{""2021"": -0.0004950461984162269, ""2022"": -0.3236282111054082, ""2023"": 0.07990360623090598, ""2024"": -0.05047148347720665, ""2025"": 0.011827413016249677, ""2026"": -0.018646434777614185}",-0.1797866685127696,0.4448552261076624,0.44935064935064933,59,0,0.0015579662621926056,cci-reversion__entry-m100-exit-0-period-20
bollinger-reversion,布林带反转,-0.04439661240840154,-0.009859218302433415,0.29259733417127765,0.02354673072816136,0.16656736488279086,46.10366686888831,0.7213994435064476,1.0,1114,"{""2021"": -0.0004950461984162269, ""2022"": -0.206330914940271, ""2023"": 0.16270638103188406, ""2024"": -0.04832296829149607, ""2025"": 0.049334464666167976, ""2026"": 0.037479883579233375}",-0.03369551650344882,0.27860055649355236,0.2813852813852814,46,0,0.001650727949719863,bollinger-reversion__period-20-width-2
mfi-reversion,MFI 量价反转,0.44085289238976766,0.0829487941077458,0.1528160142359526,0.7064402939439204,0.12354492102320143,21.591223143032945,0.8602380357649756,1.0,235,"{""2021"": 0.0, ""2022"": 0.021388560889156638, ""2023"": 0.09591126197993449, ""2024"": 0.02693596488992145, ""2025"": 0.07792715606048706, ""2026"": 0.1628414021679505}",0.5428017117346768,0.13976196423502446,0.14112554112554113,22,0,0.0021284422955644314,mfi-reversion__entry-20-exit-60-period-14
obv-trend,OBV 量价趋势,0.27606344716069886,0.054628258667777985,0.3457217123524544,0.3419056904236146,0.23260058676482265,96.84139565376228,0.7159483503820064,1.0,689,"{""2021"": -0.00292877481638798, ""2022"": -0.10709788589888936, ""2023"": -0.09796364537328506, ""2024"": -0.1060404619925357, ""2025"": 0.38249542415426685, ""2026"": 0.28569107204754207}",0.15801222982514293,0.28405164961799356,0.2865800865800866,94,0,0.00210989257690454,obv-trend__obv_period-20-price_period-100
vol-target-trend,波动率目标趋势,0.4514574167508225,0.08468280648155302,0.14711244976736138,0.5932497810907954,0.15782866625847825,18.24823938694599,0.6845445238639274,1.0,360,"{""2021"": -0.041095728507547946, ""2022"": 0.0, ""2023"": -0.05884885812726515, ""2024"": 0.1234190581025949, ""2025"": 0.27127400873362584, ""2026"": 0.12613048996905407}",0.5756331745917326,0.3154554761360726,0.4683982683982684,103,0,0.0018628507960727775,vol-target-trend__target_vol-0p2-trend_period-200-vol_period-20
indicator-vote,多指标趋势投票,0.7127805245855334,0.12457769479053638,0.36849428810617113,0.5839070862661006,0.25574040904381784,28.0963707148519,0.6557007765832519,1.0,351,"{""2021"": -0.015454354068295761, ""2022"": 0.0, ""2023"": -0.0872367435533663, ""2024"": 0.226607171870016, ""2025"": 0.3579310566043945, ""2026"": 0.1442594044218517}",0.3380722546088499,0.3442992234167482,0.3471861471861472,27,0,0.002073531238198871,indicator-vote__threshold-3
