family,config,canonical,params
sma-price,sma-price__period-50,False,"{""period"": 50}"
sma-price,sma-price__period-100,False,"{""period"": 100}"
sma-price,sma-price__period-150,False,"{""period"": 150}"
sma-price,sma-price__period-200,True,"{""period"": 200}"
sma-price,sma-price__period-250,False,"{""period"": 250}"
ema-price,ema-price__period-50,False,"{""period"": 50}"
ema-price,ema-price__period-100,False,"{""period"": 100}"
ema-price,ema-price__period-150,False,"{""period"": 150}"
ema-price,ema-price__period-200,True,"{""period"": 200}"
ema-price,ema-price__period-250,False,"{""period"": 250}"
dual-ma,dual-ma__fast-10-slow-50,False,"{""fast"": 10, ""slow"": 50}"
dual-ma,dual-ma__fast-20-slow-60,False,"{""fast"": 20, ""slow"": 60}"
dual-ma,dual-ma__fast-20-slow-100,False,"{""fast"": 20, ""slow"": 100}"
dual-ma,dual-ma__fast-50-slow-100,False,"{""fast"": 50, ""slow"": 100}"
dual-ma,dual-ma__fast-50-slow-200,True,"{""fast"": 50, ""slow"": 200}"
dual-ma,dual-ma__fast-100-slow-200,False,"{""fast"": 100, ""slow"": 200}"
macd-cross,macd-cross__fast-8-signal-5-slow-21,False,"{""fast"": 8, ""signal"": 5, ""slow"": 21}"
macd-cross,macd-cross__fast-8-signal-9-slow-21,False,"{""fast"": 8, ""signal"": 9, ""slow"": 21}"
macd-cross,macd-cross__fast-12-signal-9-slow-26,True,"{""fast"": 12, ""signal"": 9, ""slow"": 26}"
macd-cross,macd-cross__fast-16-signal-9-slow-34,False,"{""fast"": 16, ""signal"": 9, ""slow"": 34}"
macd-cross,macd-cross__fast-16-signal-12-slow-34,False,"{""fast"": 16, ""signal"": 12, ""slow"": 34}"
trix,trix__period-9-signal-5,False,"{""period"": 9, ""signal"": 5}"
trix,trix__period-9-signal-9,False,"{""period"": 9, ""signal"": 9}"
trix,trix__period-15-signal-5,False,"{""period"": 15, ""signal"": 5}"
trix,trix__period-15-signal-9,True,"{""period"": 15, ""signal"": 9}"
trix,trix__period-30-signal-5,False,"{""period"": 30, ""signal"": 5}"
trix,trix__period-30-signal-9,False,"{""period"": 30, ""signal"": 9}"
adx-dmi,adx-dmi__period-10-threshold-20,False,"{""period"": 10, ""threshold"": 20}"
adx-dmi,adx-dmi__period-10-threshold-25,False,"{""period"": 10, ""threshold"": 25}"
adx-dmi,adx-dmi__period-10-threshold-30,False,"{""period"": 10, ""threshold"": 30}"
adx-dmi,adx-dmi__period-14-threshold-20,False,"{""period"": 14, ""threshold"": 20}"
adx-dmi,adx-dmi__period-14-threshold-25,True,"{""period"": 14, ""threshold"": 25}"
adx-dmi,adx-dmi__period-14-threshold-30,False,"{""period"": 14, ""threshold"": 30}"
adx-dmi,adx-dmi__period-20-threshold-20,False,"{""period"": 20, ""threshold"": 20}"
adx-dmi,adx-dmi__period-20-threshold-25,False,"{""period"": 20, ""threshold"": 25}"
adx-dmi,adx-dmi__period-20-threshold-30,False,"{""period"": 20, ""threshold"": 30}"
aroon,aroon__period-14-threshold-60,False,"{""period"": 14, ""threshold"": 60}"
aroon,aroon__period-14-threshold-70,False,"{""period"": 14, ""threshold"": 70}"
aroon,aroon__period-14-threshold-80,False,"{""period"": 14, ""threshold"": 80}"
aroon,aroon__period-25-threshold-60,False,"{""period"": 25, ""threshold"": 60}"
aroon,aroon__period-25-threshold-70,True,"{""period"": 25, ""threshold"": 70}"
aroon,aroon__period-25-threshold-80,False,"{""period"": 25, ""threshold"": 80}"
aroon,aroon__period-50-threshold-60,False,"{""period"": 50, ""threshold"": 60}"
aroon,aroon__period-50-threshold-70,False,"{""period"": 50, ""threshold"": 70}"
aroon,aroon__period-50-threshold-80,False,"{""period"": 50, ""threshold"": 80}"
supertrend,supertrend__multiplier-2-period-7,False,"{""multiplier"": 2.0, ""period"": 7}"
supertrend,supertrend__multiplier-3-period-7,False,"{""multiplier"": 3.0, ""period"": 7}"
supertrend,supertrend__multiplier-2-period-10,False,"{""multiplier"": 2.0, ""period"": 10}"
supertrend,supertrend__multiplier-3-period-10,True,"{""multiplier"": 3.0, ""period"": 10}"
supertrend,supertrend__multiplier-2-period-14,False,"{""multiplier"": 2.0, ""period"": 14}"
supertrend,supertrend__multiplier-3-period-14,False,"{""multiplier"": 3.0, ""period"": 14}"
tsmom-monthly,tsmom-monthly__lookback-63,False,"{""lookback"": 63}"
tsmom-monthly,tsmom-monthly__lookback-126,False,"{""lookback"": 126}"
tsmom-monthly,tsmom-monthly__lookback-189,False,"{""lookback"": 189}"
tsmom-monthly,tsmom-monthly__lookback-252,True,"{""lookback"": 252}"
donchian,donchian__entry-20-exit-10,False,"{""entry"": 20, ""exit"": 10}"
donchian,donchian__entry-55-exit-20,False,"{""entry"": 55, ""exit"": 20}"
donchian,donchian__entry-100-exit-40,False,"{""entry"": 100, ""exit"": 40}"
donchian,donchian__entry-120-exit-40,True,"{""entry"": 120, ""exit"": 40}"
donchian,donchian__entry-200-exit-80,False,"{""entry"": 200, ""exit"": 80}"
bollinger-breakout,bollinger-breakout__period-20-width-1,False,"{""period"": 20, ""width"": 1.0}"
bollinger-breakout,bollinger-breakout__period-20-width-1p5,False,"{""period"": 20, ""width"": 1.5}"
bollinger-breakout,bollinger-breakout__period-20-width-2,True,"{""period"": 20, ""width"": 2.0}"
bollinger-breakout,bollinger-breakout__period-50-width-1,False,"{""period"": 50, ""width"": 1.0}"
bollinger-breakout,bollinger-breakout__period-50-width-1p5,False,"{""period"": 50, ""width"": 1.5}"
bollinger-breakout,bollinger-breakout__period-50-width-2,False,"{""period"": 50, ""width"": 2.0}"
keltner-breakout,keltner-breakout__multiplier-1p5-period-20,False,"{""multiplier"": 1.5, ""period"": 20}"
keltner-breakout,keltner-breakout__multiplier-2-period-20,True,"{""multiplier"": 2.0, ""period"": 20}"
keltner-breakout,keltner-breakout__multiplier-2p5-period-20,False,"{""multiplier"": 2.5, ""period"": 20}"
keltner-breakout,keltner-breakout__multiplier-1p5-period-40,False,"{""multiplier"": 1.5, ""period"": 40}"
keltner-breakout,keltner-breakout__multiplier-2-period-40,False,"{""multiplier"": 2.0, ""period"": 40}"
keltner-breakout,keltner-breakout__multiplier-2p5-period-40,False,"{""multiplier"": 2.5, ""period"": 40}"
rsi-reversion,rsi-reversion__entry-10-exit-70-period-2,False,"{""entry"": 10, ""exit"": 70, ""period"": 2}"
rsi-reversion,rsi-reversion__entry-15-exit-70-period-2,False,"{""entry"": 15, ""exit"": 70, ""period"": 2}"
rsi-reversion,rsi-reversion__entry-20-exit-60-period-5,False,"{""entry"": 20, ""exit"": 60, ""period"": 5}"
rsi-reversion,rsi-reversion__entry-25-exit-60-period-5,True,"{""entry"": 25, ""exit"": 60, ""period"": 5}"
rsi-reversion,rsi-reversion__entry-30-exit-50-period-14,False,"{""entry"": 30, ""exit"": 50, ""period"": 14}"
rsi-reversion,rsi-reversion__entry-35-exit-55-period-14,False,"{""entry"": 35, ""exit"": 55, ""period"": 14}"
stochastic-reversion,stochastic-reversion__entry-20-exit-80-period-5,False,"{""entry"": 20, ""exit"": 80, ""period"": 5}"
