model,dimension,regime,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,longest_underwater_trading_days
buy-hold,trend_regime,downtrend,185,-0.1055212232956676,-0.14092606639483696,0.2462532744880649,-0.41532244808443164,-0.7967313141707306,-0.5722809846399309,0.27568113510683684,180
buy-hold,trend_regime,transition,20,0.4757510431580352,133.76125471871248,0.18893030121210863,4.7619685320052705,15.899009545247315,707.9925975904794,1.1649288722113187,17
buy-hold,trend_regime,uptrend,446,0.4800286014800814,0.247976561486708,0.3009472551298157,0.7832087451480366,1.3327076326678304,0.8239867859228076,0.3699845170030443,118
buy-hold,volatility_regime,high-vol,243,0.9937919477853796,1.0454039530553163,0.3009472551298158,1.59110420943642,3.2590552274235907,3.4737115399320513,0.5377885642060144,58
buy-hold,volatility_regime,normal-vol,408,-0.020118834929390594,-0.012474582463019246,0.33023895371165846,0.09593394377444073,0.17122016974923243,-0.03777441250589468,0.28295763082566117,351
sma-price,trend_regime,downtrend,185,-0.10918503903783205,-0.14571567929349627,0.10918503903783205,-2.0215037322471083,-2.324323449246627,-1.3345755112383715,0.07643271911495932,145
sma-price,trend_regime,transition,20,0.03696265451710623,0.5798478367128326,-0.0,5.373791525223584,,,0.08582382248310347,0
sma-price,trend_regime,uptrend,446,0.446799093155815,0.2320667726863297,0.3002944779713739,0.8196725830219312,1.3389367985644065,0.7727973363148286,0.3146581717094706,72
sma-price,volatility_regime,high-vol,243,0.1168201233634707,0.12139957547415259,0.3002944779713733,0.49304609699218915,0.7860838188397671,0.40426842442878835,0.3709711082157334,91
sma-price,volatility_regime,normal-vol,408,0.19667333889915484,0.11727841726009958,0.20532266272551147,0.7292188186510553,1.2333813557185405,0.5711908062330406,0.17217098341781695,253
ema-price,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
ema-price,trend_regime,transition,20,0.07370322554980047,1.4498621511385394,0.004467234172604195,6.325234021805804,57.214456368790245,324.55476814490237,0.14343434975408,2
ema-price,trend_regime,uptrend,446,0.4146353915091845,0.21651517561584877,0.3003414378330088,0.7581620378077355,1.2548405334045138,0.7208967806041875,0.3299032883258335,72
ema-price,volatility_regime,high-vol,243,0.2388455561986511,0.24871189172339414,0.3003414378330085,0.7636431332893573,1.2409114829763348,0.8280971600784549,0.3898379955560841,45
ema-price,volatility_regime,normal-vol,408,0.22605967728616383,0.1341459214100129,0.1975545259271091,0.8152102513310536,1.4003621850955708,0.6790323875420005,0.17245131883178078,56
dual-ma,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
dual-ma,trend_regime,transition,20,0.039976194267788534,0.6386825024784621,0.07672505939999996,1.1967869120111143,2.957097203926511,8.324301179732451,0.5118175825434933,9
dual-ma,trend_regime,uptrend,446,0.10197899931190402,0.05640116223145264,0.29974758869455187,0.3312101683754266,0.5388087825943392,0.18816218831680553,0.35180601675062373,120
dual-ma,volatility_regime,high-vol,243,0.19862870200642013,0.20669890910993205,0.29974758869455187,0.651246303570675,1.1198359194769283,0.6895765534266296,0.4268694470214808,68
dual-ma,volatility_regime,normal-vol,408,-0.043880791483598025,-0.027334927915518614,0.2122610337034243,-0.04129471509367982,-0.061650605327431655,-0.1287797738406926,0.19787724403761545,132
macd-cross,trend_regime,downtrend,185,0.08068809914018771,0.11148950772020227,0.11289114629697272,0.6605722161882245,1.2819488201953217,0.9875841585213132,0.18544747126241765,97
macd-cross,trend_regime,transition,20,0.29669735444954326,25.409894865594993,0.18922321048363822,3.340188267306101,11.062120425461005,134.2852961888211,1.1632247610682402,18
macd-cross,trend_regime,uptrend,446,0.7330480503105388,0.3643737205959414,0.24230006271177107,1.3428032938214087,2.272756052838927,1.503811912048011,0.2556864274019634,77
macd-cross,volatility_regime,high-vol,243,0.5689466646731387,0.5953387998545574,0.24230006271177096,1.2692916047926652,2.665570002857395,2.4570311422607642,0.44073905735395374,102
macd-cross,volatility_regime,normal-vol,408,0.5478947152970839,0.3097645403350866,0.1234237908557767,1.495814867770083,3.0758895181725743,2.5097636216428727,0.19262578169807418,172
trix,trend_regime,downtrend,185,0.04892786201784505,0.0672321520660415,0.14194149668896006,0.4349642855973757,0.814468272024717,0.47366100565621755,0.19027166379526306,98
trix,trend_regime,transition,20,0.3337428675749803,36.66245152046769,0.1892192202686651,3.6516947515360876,12.066111936495716,193.75648767821832,1.1625547770813414,18
trix,trend_regime,uptrend,446,0.5993597430495845,0.30386958078054915,0.1654117025340257,1.2317838087813728,2.054552140562049,1.8370500764179138,0.23843029318720022,170
trix,volatility_regime,high-vol,243,0.6344374100805921,0.6644502685341471,0.18921922026866533,1.4170804264733932,3.0519118121331794,3.5115368702540835,0.4178543631218328,78
trix,volatility_regime,normal-vol,408,0.3689752535022177,0.21407171082600818,0.18751577293062205,1.0609532749461383,2.0193053840178163,1.1416197553963177,0.2017150099019332,238
adx-dmi,trend_regime,downtrend,185,0.02718105950419014,0.03720620539136865,0.05075567066827302,0.4200572660508709,0.685199141158073,0.7330452913239892,0.09832819897147672,136
adx-dmi,trend_regime,transition,20,0.2079761980734114,9.812734785464286,0.18899037644016803,2.7977505303871593,8.130260558532646,51.92187544306456,1.0193288779025311,18
adx-dmi,trend_regime,uptrend,446,0.7002425731627866,0.3497204226857036,0.179014640586598,1.1952786196281053,2.0154584130816096,1.9535855924394463,0.2846681737230686,190
adx-dmi,volatility_regime,high-vol,243,0.7045045937006869,0.7385047684678452,0.18899037644016803,1.4542502715113357,2.8460445513744506,3.9076316073778843,0.44693227459436197,78
adx-dmi,volatility_regime,normal-vol,408,0.23770769275511294,0.14078891110932035,0.11039026263582885,0.9309157024300365,1.7443780400642404,1.2753743649815825,0.15400840001498825,274
aroon,trend_regime,downtrend,185,-0.08122154054577635,-0.10898062001068454,0.11415581247865236,-1.0292920773674197,-1.4483075346835876,-0.9546655369043463,0.10660177504764709,131
aroon,trend_regime,transition,20,0.13288338486539453,3.816522716966631,0.16461032025022249,2.1277072532171157,5.583005378094302,23.185197083422068,0.914066129599617,18
aroon,trend_regime,uptrend,446,0.587857247851939,0.2985628524272186,0.16521104205315507,1.114007203009533,1.857432508164511,1.8071603974942476,0.266137561075857,190
aroon,volatility_regime,high-vol,243,0.32709553411864856,0.3410782547318938,0.19617595579429192,0.9233209692988498,1.7179270368004786,1.738634346655331,0.40253472882344754,142
aroon,volatility_regime,normal-vol,408,0.24538973025848732,0.14515698368475194,0.19323975383858538,0.9204066611458424,1.6795780458943985,0.7511755774953153,0.1611406574720357,271
supertrend,trend_regime,downtrend,185,-0.0331645483627363,-0.04490225330142783,0.2184816357574194,-0.19241699836860968,-0.32296749008439135,-0.20551957671757315,0.16725247864478124,131
supertrend,trend_regime,transition,20,0.19587642449498976,8.524615092739923,0.16691992094925578,2.5735215654051613,7.904464908156751,51.07008824507792,1.0734166084869374,18
supertrend,trend_regime,uptrend,446,0.5149293569576179,0.2645201095640517,0.17935749359388498,0.9978446098387301,1.6519752047154388,1.4748205065967217,0.27208675749207695,188
supertrend,volatility_regime,high-vol,243,0.4859434067264534,0.5079006337079215,0.2532585992390076,1.1369646622419243,2.275609084472834,2.005462540004814,0.44394250925791084,171
supertrend,volatility_regime,normal-vol,408,0.17876975246020743,0.1069242487663089,0.2184816357574192,0.6607731313896069,1.1909592426564326,0.48939696188025256,0.17704725882816225,271
tsmom-monthly,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
tsmom-monthly,trend_regime,transition,20,0.04487079172772246,0.7385557537887733,-0.0,5.157257991304002,,,0.10842365790441463,0
tsmom-monthly,trend_regime,uptrend,446,0.23868040827273274,0.12855848683807225,0.29992407602807414,0.5379329021631432,0.8629904747568579,0.42863676881358015,0.31870903535684997,92
tsmom-monthly,volatility_regime,high-vol,243,0.11327211851754848,0.11770529341093372,0.29992407602807436,0.4811312357927646,0.7652206660911118,0.392450299321472,0.38208936935578236,45
tsmom-monthly,volatility_regime,normal-vol,408,0.16257378349958862,0.0975057265796333,0.19148849896151876,0.6679672232253517,1.1005318383977958,0.5091988662944603,0.15769052208155426,49
donchian,trend_regime,downtrend,185,-0.02111132670788418,-0.0286466184459796,0.052073033895486676,-0.28069466360130135,-0.43204531180044503,-0.5501238607198281,0.08946016778405258,131
donchian,trend_regime,transition,20,0.22176725218972781,11.475410690745178,0.18899575967146875,2.941329085433533,8.540185159988567,60.71782092197666,1.0184879050551017,18
donchian,trend_regime,uptrend,446,0.18910403691611744,0.10281052882185282,0.21811100064111577,0.49620146414437843,0.7918988053324777,0.471367920552615,0.2704715553246152,215
donchian,volatility_regime,high-vol,243,0.2934571050815389,0.30584308880365163,0.18899575967146898,0.8284635503984601,1.5924905565793148,1.6182537075715253,0.4291037150538068,97
donchian,volatility_regime,normal-vol,408,0.09948575332236342,0.060328999211878065,0.1879900357183043,0.45416485951386915,0.7454327470165653,0.3209159410038025,0.15509963205490387,177
bollinger-breakout,trend_regime,downtrend,185,-0.04999577673719657,-0.06747911343579027,0.14063200813219967,-0.4263030284000084,-0.7165376104445876,-0.4798275608235447,0.14100907132728727,131
