family,case,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation
sma-price,base,0.33646886597512804,0.11881495523956431,0.3002944779713739,0.5562465849396346,0.26419853056930254,11.95516353286468,0.5639666516835989,1.0,356,"{""2023"": 0.0, ""2024"": -0.10918503903783205, ""2025"": 0.3929526607965417, ""2026"": 0.07704782108954111}",0.39566147217296005,0.43603334831640106,0.4393241167434716,12,1,0.00048464128438104303
sma-price,slippage-10bp,0.32403730106098094,0.11477490095977827,0.30043974151225716,0.5423987774040891,0.26434026423115986,11.957282371553028,0.5637102110223893,1.0,357,"{""2023"": 0.0, ""2024"": -0.11209016399567939, ""2025"": 0.39213161791998274, ""2026"": 0.07115188423390695}",0.38202303191335873,0.43628978897761067,0.4393241167434716,12,1,0.00048161548769448453
sma-price,slippage-20bp,0.30867898226188073,0.10975146446157513,0.30061936246794485,0.5251070030378295,0.2645417502114739,11.960132442653656,0.5633635683989346,1.0,357,"{""2023"": 0.0, ""2024"": -0.11571164784579968, ""2025"": 0.39115746087308256, ""2026"": 0.06380722070055223}",0.3650844827843648,0.43663643160106536,0.4393241167434716,12,1,0.00047784751446216633
sma-price,next-close,0.5203231920919307,0.176052766779629,0.30029223617577816,0.741645124246038,0.26611314084430837,11.99113180049125,0.5639983819577883,1.0,330,"{""2023"": 0.0, ""2024"": -0.022105378205351855, ""2025"": 0.3727868956329743, ""2026"": 0.13250659083211724}",0.5862714568370502,0.4360016180422118,0.4393241167434716,12,1,0.0005401903443059758
sma-price,second-next-open,0.34078769964320665,0.12021311209421226,0.3002784590395763,0.5146434218070918,0.3185065723720702,13.660223619580613,0.30252477904206704,1.0,348,"{""2023"": 0.0, ""2024"": -0.09731497908403197, ""2025"": 0.32799129034689267, ""2026"": 0.11848085453564172}",0.4003387804729887,0.6974752209579329,0.7035330261136713,14,0,0.0005584592423676474
ema-price,base,0.5188985828403161,0.1756260586114866,0.3003414378330088,0.726394289283987,0.2742724739989729,9.929327497615864,0.49999945043253896,1.0,72,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.301024336400882, ""2026"": 0.1674636210435192}",0.5847546708128083,0.500000549567461,0.5038402457757296,11,1,0.0007728170377795068
ema-price,slippage-10bp,0.5061036440604207,0.17178259327532275,0.3004708113644957,0.7142152906978367,0.2744166881776941,9.927453231086407,0.49970098827080695,1.0,72,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.2940342082096905, ""2026"": 0.1638824031894266}",0.5717114168102551,0.5002990117291931,0.5038402457757296,11,1,0.0007728170377795068
ema-price,slippage-20bp,0.49030678943853934,0.1670096756049062,0.3006586022568163,0.6989929998103913,0.27463546925063326,9.925352730927322,0.4992916834110134,1.0,72,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.2853650054601178, ""2026"": 0.15944247984646043}",0.5554794519474617,0.5007083165889866,0.5038402457757296,11,1,0.0007728170377795068
ema-price,next-close,0.5652900226458824,0.18939751264830162,0.30027656541655046,0.7700290841415813,0.2736378575601454,10.024050752191364,0.5000372831137373,1.0,72,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.31969385095842595, ""2026"": 0.18610086840148088}",0.6307435693010712,0.4999627168862627,0.5038402457757296,11,1,0.000778718907393436
ema-price,second-next-open,0.3960308439607787,0.13785885184566982,0.30030701391241665,0.5608372108536891,0.32250543910967466,11.177711980245917,0.31604078950949915,1.0,121,"{""2023"": 0.0, ""2024"": -0.08139573249677112, ""2025"": 0.23711224610713333, ""2026"": 0.2284498993574533}",0.45905971375638865,0.6839592104905008,0.6897081413210445,13,0,0.0005731079735139468
dual-ma,base,0.14603192586741964,0.05418020736053508,0.2997475886945522,0.3244654968261833,0.3040303161851204,4.837206620374375,0.4395280634943132,1.0,121,"{""2023"": 0.0, ""2024"": 0.04405494059999948, ""2025"": 0.23411313091056352, ""2026"": -0.11055644975542445}",0.1807527713450453,0.5604719365056868,0.565284178187404,5,0,0.0006049243407684237
dual-ma,slippage-10bp,0.1416100063426804,0.05260382046752121,0.2999245954225547,0.3195326626884699,0.3042352190804487,4.8388635916214415,0.4391364222939342,1.0,121,"{""2023"": 0.0, ""2024"": 0.04326270299999968, ""2025"": 0.23234277275684256, ""2026"": -0.11204171683209019}",0.17539015229280974,0.5608635777060658,0.565284178187404,5,0,0.0006049243407684237
dual-ma,slippage-20bp,0.13609691229421994,0.05063318612020584,0.3001793665919533,0.3133644011066625,0.30451873507220645,4.841172701777714,0.43862098895144835,1.0,121,"{""2023"": 0.0, ""2024"": 0.04227240599999971, ""2025"": 0.23014291959900812, ""2026"": -0.11390850473976966}",0.1686764373416568,0.5613790110485516,0.565284178187404,5,0,0.0006049243407684237
