family,fold,selection_date,train_start,train_end,test_start,test_end,test_sessions,selected_config,train_sharpe,train_target_changes
sma-price,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,sma-price__period-50,-0.5796568566023099,36
sma-price,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,sma-price__period-250,-0.40581483838538157,11
sma-price,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,sma-price__period-250,-0.40581483838538157,11
sma-price,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,sma-price__period-150,0.2467842006732266,20
sma-price,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,sma-price__period-150,0.30403198020401917,14
sma-price,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,sma-price__period-200,0.35173396909276733,12
sma-price,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,sma-price__period-200,0.4430357018308891,5
sma-price,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,sma-price__period-200,1.045777241373264,4
sma-price,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,sma-price__period-200,1.166070768030817,4
sma-price,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,sma-price__period-200,1.0359669128965363,10
sma-price,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,sma-price__period-50,1.213511096867824,29
ema-price,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,ema-price__period-250,-0.6181076088990387,8
ema-price,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,ema-price__period-250,-0.2777684822649163,5
ema-price,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,ema-price__period-250,-0.2777684822649163,5
ema-price,4,2024-10-10,2022-09-06,2024-10-10,2024-10-11,2025-01-08,63,ema-price__period-150,0.35785094186931415,14
ema-price,5,2025-01-08,2022-12-12,2025-01-08,2025-01-09,2025-04-16,63,ema-price__period-150,0.3288926738924475,12
ema-price,6,2025-04-16,2023-03-17,2025-04-16,2025-04-17,2025-07-18,63,ema-price__period-250,0.36369912048247055,8
ema-price,7,2025-07-18,2023-06-20,2025-07-18,2025-07-21,2025-10-23,63,ema-price__period-250,0.7045608232817469,4
ema-price,8,2025-10-23,2023-09-19,2025-10-23,2025-10-24,2026-01-22,63,ema-price__period-250,1.40641390274012,4
ema-price,9,2026-01-22,2023-12-25,2026-01-22,2026-01-23,2026-04-30,63,ema-price__period-250,1.493093595340883,4
ema-price,10,2026-04-30,2024-04-01,2026-04-30,2026-05-06,2026-08-03,63,ema-price__period-250,1.2468600962493745,8
ema-price,11,2026-08-03,2024-07-05,2026-08-03,2026-08-04,2026-09-01,21,ema-price__period-50,1.0954043030543805,39
dual-ma,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,dual-ma__fast-20-slow-100,-0.5301649251743874,7
dual-ma,2,2024-03-29,2022-03-04,2024-03-29,2024-04-01,2024-07-04,63,dual-ma__fast-100-slow-200,-0.42286031465539764,3
dual-ma,3,2024-07-04,2022-06-09,2024-07-04,2024-07-05,2024-10-10,63,dual-ma__fast-100-slow-200,-0.4228603146553976,3
