family,fold,selection_date,train_start,train_end,test_start,test_end,test_sessions,selected_config,train_sharpe,train_target_changes
sma-price,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,sma-price__period-50,-0.5796568566023099,36
sma-price,2,2024-03-29,2021-11-29,2024-03-29,2024-04-01,2024-07-04,63,sma-price__period-250,-0.6403669688108932,14
sma-price,3,2024-07-04,2021-11-29,2024-07-04,2024-07-05,2024-10-10,63,sma-price__period-250,-0.6075095979668189,14
sma-price,4,2024-10-10,2021-11-29,2024-10-10,2024-10-11,2025-01-08,63,sma-price__period-200,0.021924114884129247,21
sma-price,5,2025-01-08,2021-11-29,2025-01-08,2025-01-09,2025-04-16,63,sma-price__period-200,0.03773647805590773,21
sma-price,6,2025-04-16,2021-11-29,2025-04-16,2025-04-17,2025-07-18,63,sma-price__period-200,0.11392888834200164,21
sma-price,7,2025-07-18,2021-11-29,2025-07-18,2025-07-21,2025-10-23,63,sma-price__period-200,0.09209982079542428,23
sma-price,8,2025-10-23,2021-11-29,2025-10-23,2025-10-24,2026-01-22,63,sma-price__period-200,0.48928368780486037,23
sma-price,9,2026-01-22,2021-11-29,2026-01-22,2026-01-23,2026-04-30,63,sma-price__period-200,0.5679336284654818,23
sma-price,10,2026-04-30,2021-11-29,2026-04-30,2026-05-06,2026-08-03,63,sma-price__period-200,0.47844549800820513,29
sma-price,11,2026-08-03,2021-11-29,2026-08-03,2026-08-04,2026-09-01,21,sma-price__period-50,0.4614656583963295,78
ema-price,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,ema-price__period-250,-0.6181076088990387,8
ema-price,2,2024-03-29,2021-11-29,2024-03-29,2024-04-01,2024-07-04,63,ema-price__period-250,-0.5827726222958864,8
ema-price,3,2024-07-04,2021-11-29,2024-07-04,2024-07-05,2024-10-10,63,ema-price__period-250,-0.5528781703400134,8
ema-price,4,2024-10-10,2021-11-29,2024-10-10,2024-10-11,2025-01-08,63,ema-price__period-150,0.09393350653999198,21
ema-price,5,2025-01-08,2021-11-29,2025-01-08,2025-01-09,2025-04-16,63,ema-price__period-150,0.09259420618797039,21
ema-price,6,2025-04-16,2021-11-29,2025-04-16,2025-04-17,2025-07-18,63,ema-price__period-150,0.05649348246393396,23
ema-price,7,2025-07-18,2021-11-29,2025-07-18,2025-07-21,2025-10-23,63,ema-price__period-250,0.020321228269580122,11
ema-price,8,2025-10-23,2021-11-29,2025-10-23,2025-10-24,2026-01-22,63,ema-price__period-250,0.7506871651745594,11
ema-price,9,2026-01-22,2021-11-29,2026-01-22,2026-01-23,2026-04-30,63,ema-price__period-250,0.8266142761904828,11
ema-price,10,2026-04-30,2021-11-29,2026-04-30,2026-05-06,2026-08-03,63,ema-price__period-250,0.6767023922821248,15
ema-price,11,2026-08-03,2021-11-29,2026-08-03,2026-08-04,2026-09-01,21,ema-price__period-250,0.5075872336725298,15
dual-ma,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,dual-ma__fast-20-slow-100,-0.5301649251743874,7
dual-ma,2,2024-03-29,2021-11-29,2024-03-29,2024-04-01,2024-07-04,63,dual-ma__fast-20-slow-100,-0.49986845380540956,7
dual-ma,3,2024-07-04,2021-11-29,2024-07-04,2024-07-05,2024-10-10,63,dual-ma__fast-20-slow-100,-0.47423519129626146,7
dual-ma,4,2024-10-10,2021-11-29,2024-10-10,2024-10-11,2025-01-08,63,dual-ma__fast-20-slow-100,-0.45217981585821804,8
dual-ma,5,2025-01-08,2021-11-29,2025-01-08,2025-01-09,2025-04-16,63,dual-ma__fast-50-slow-100,-0.1280087725766111,6
dual-ma,6,2025-04-16,2021-11-29,2025-04-16,2025-04-17,2025-07-18,63,dual-ma__fast-50-slow-100,0.0009408573512141489,6
dual-ma,7,2025-07-18,2021-11-29,2025-07-18,2025-07-21,2025-10-23,63,dual-ma__fast-50-slow-100,-0.04225532100216368,7
dual-ma,8,2025-10-23,2021-11-29,2025-10-23,2025-10-24,2026-01-22,63,dual-ma__fast-20-slow-100,0.3776020137370945,10
dual-ma,9,2026-01-22,2021-11-29,2026-01-22,2026-01-23,2026-04-30,63,dual-ma__fast-20-slow-100,0.4782097179537353,10
dual-ma,10,2026-04-30,2021-11-29,2026-04-30,2026-05-06,2026-08-03,63,dual-ma__fast-50-slow-100,0.37040990291028986,11
dual-ma,11,2026-08-03,2021-11-29,2026-08-03,2026-08-04,2026-09-01,21,dual-ma__fast-50-slow-200,0.24472170664302842,8
macd-cross,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,macd-cross__fast-12-signal-9-slow-26,0.09471658679604962,36
macd-cross,2,2024-03-29,2021-11-29,2024-03-29,2024-04-01,2024-07-04,63,macd-cross__fast-12-signal-9-slow-26,0.20868997519707333,40
macd-cross,3,2024-07-04,2021-11-29,2024-07-04,2024-07-05,2024-10-10,63,macd-cross__fast-12-signal-9-slow-26,0.14532009368641213,44
macd-cross,4,2024-10-10,2021-11-29,2024-10-10,2024-10-11,2025-01-08,63,macd-cross__fast-12-signal-9-slow-26,0.629263906447741,49
macd-cross,5,2025-01-08,2021-11-29,2025-01-08,2025-01-09,2025-04-16,63,macd-cross__fast-12-signal-9-slow-26,0.504010759069155,54
macd-cross,6,2025-04-16,2021-11-29,2025-04-16,2025-04-17,2025-07-18,63,macd-cross__fast-12-signal-9-slow-26,0.6308778638133143,57
macd-cross,7,2025-07-18,2021-11-29,2025-07-18,2025-07-21,2025-10-23,63,macd-cross__fast-12-signal-9-slow-26,0.5790257437779369,61
macd-cross,8,2025-10-23,2021-11-29,2025-10-23,2025-10-24,2026-01-22,63,macd-cross__fast-12-signal-9-slow-26,0.7517352602044967,66
macd-cross,9,2026-01-22,2021-11-29,2026-01-22,2026-01-23,2026-04-30,63,macd-cross__fast-12-signal-9-slow-26,0.8739083134793154,67
macd-cross,10,2026-04-30,2021-11-29,2026-04-30,2026-05-06,2026-08-03,63,macd-cross__fast-12-signal-9-slow-26,0.967142713999933,69
macd-cross,11,2026-08-03,2021-11-29,2026-08-03,2026-08-04,2026-09-01,21,macd-cross__fast-12-signal-9-slow-26,1.0040815247872814,74
trix,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,trix__period-9-signal-9,0.11622579331656006,34
trix,2,2024-03-29,2021-11-29,2024-03-29,2024-04-01,2024-07-04,63,trix__period-9-signal-9,0.1481794643517774,38
trix,3,2024-07-04,2021-11-29,2024-07-04,2024-07-05,2024-10-10,63,trix__period-9-signal-9,0.07134884486836346,42
trix,4,2024-10-10,2021-11-29,2024-10-10,2024-10-11,2025-01-08,63,trix__period-9-signal-9,0.5963931375893479,47
trix,5,2025-01-08,2021-11-29,2025-01-08,2025-01-09,2025-04-16,63,trix__period-9-signal-9,0.32780972421872123,52
trix,6,2025-04-16,2021-11-29,2025-04-16,2025-04-17,2025-07-18,63,trix__period-9-signal-9,0.4579828826927558,55
trix,7,2025-07-18,2021-11-29,2025-07-18,2025-07-21,2025-10-23,63,trix__period-9-signal-9,0.3996832198766419,59
trix,8,2025-10-23,2021-11-29,2025-10-23,2025-10-24,2026-01-22,63,trix__period-9-signal-9,0.5105599961895155,64
trix,9,2026-01-22,2021-11-29,2026-01-22,2026-01-23,2026-04-30,63,trix__period-9-signal-9,0.6492065362110746,65
trix,10,2026-04-30,2021-11-29,2026-04-30,2026-05-06,2026-08-03,63,trix__period-9-signal-9,0.8005597382998719,67
trix,11,2026-08-03,2021-11-29,2026-08-03,2026-08-04,2026-09-01,21,trix__period-9-signal-9,0.9186508130573112,70
adx-dmi,1,2023-12-22,2021-11-29,2023-12-22,2023-12-25,2024-03-29,63,adx-dmi__period-10-threshold-30,0.721306772956112,16
adx-dmi,2,2024-03-29,2021-11-29,2024-03-29,2024-04-01,2024-07-04,63,adx-dmi__period-10-threshold-30,0.8515068104831317,18
