model,execution_date,target_weight,execution,delay,config
risk-core__trend-150-vol-20-target-0p15,2023-12-25,0.0,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-09-30,0.36777778427435476,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-08,0.18777114821765312,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-09,0.14516171461190733,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-10,0.1446969656435268,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-11,0.13864836856846732,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-14,0.13280007561710686,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-15,0.1329941876480194,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-16,0.13214141027811424,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-17,0.13158704478744235,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-18,0.13152344659408416,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-21,0.12492799188854126,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-22,0.1253413158601225,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-23,0.12525077793756292,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-24,0.1253369359526356,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-25,0.1250842910083079,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-28,0.12560650326327882,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-29,0.12561207674628755,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-30,0.125063153161832,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-10-31,0.12433575159536477,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-11-01,0.12451821903114833,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-11-04,0.12624278147759113,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-11-05,0.15545993027335933,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-11-06,0.22860855368225522,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-11-07,0.2333017446330522,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2024-11-08,0.24655446134641595,open,1,risk-core__trend-150-vol-20-target-0p15
