generation,config,case,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation
G0,risk-core__trend-150-vol-20-target-0p15,base,0.3709993617605749,0.12991735286026596,0.12923817702525664,0.9184200277838873,0.14427650404124714,14.392364537782525,0.7210111761356104,1.0,121,"{'2023': 0.0, '2024': 0.10298616695675666, '2025': 0.1406193054875271, '2026': 0.08974897420351224}",1.0052552260534948,0.27898882386438945,0.6082949308755761,383,0,0.0005151418767897883
G0,risk-core__trend-150-vol-20-target-0p15,slippage-10bp,0.3557421797725997,0.12503318280011144,0.13189797003129955,0.8885705071498768,0.14424122604463427,14.376906122718625,0.7209896107541917,1.0,121,"{'2023': 0.0, '2024': 0.10158837393060893, '2025': 0.13378380696824066, '2026': 0.08549421745055708}",0.9479538067980949,0.27901038924580845,0.6082949308755761,384,0,0.0005131129183198451
G0,risk-core__trend-150-vol-20-target-0p15,slippage-20bp,0.3368314527205387,0.11893244358544952,0.13522545921142703,0.8510098656191125,0.14421198226223902,14.358024529880197,0.7209565031913108,1.0,121,"{'2023': 0.0, '2024': 0.09982820451163898, '2025': 0.12528232926781757, '2026': 0.08016550306880976}",0.8795122181799868,0.2790434968086893,0.6082949308755761,384,0,0.0005106034170543891
G0,risk-core__trend-150-vol-20-target-0p15,next-close,0.328899813749326,0.11635789462766688,0.11321342601338913,0.8613419115477031,0.13893247658525024,14.537944322900746,0.7212635436438548,1.0,119,"{'2023': 0.0, '2024': 0.05166220449208425, '2025': 0.16644160882623993, '2026': 0.08331054638099289}",1.0277746970920734,0.27873645635614525,0.6082949308755761,383,0,0.000505103871727964
G0,risk-core__trend-150-vol-20-target-0p15,second-next-open,0.20276645120061243,0.07408320271906099,0.12280453858935525,0.6067676125177939,0.13213988934710003,13.888814409677959,0.7221715780409393,1.0,121,"{'2023': 0.0, '2024': -0.018349249062480255, '2025': 0.14301303645003438, '2026': 0.07194652063782181}",0.6032611137181746,0.2778284219590607,0.6052227342549923,380,1,0.00038297519427713135
G0,risk-core__trend-150-vol-20-target-0p2,base,0.4878900705129723,0.1662767490969348,0.15320633639120007,0.9165517348370457,0.18665698341814627,17.16297554873389,0.6405210392642555,1.0,121,"{'2023': 0.0, '2024': 0.13842229939087325, '2025': 0.16959654755107567, '2026': 0.11745842382914606}",1.0853124812825004,0.3594789607357445,0.6082949308755761,374,0,0.0005274224148973392
G0,risk-core__trend-150-vol-20-target-0p2,slippage-10bp,0.46869399633341136,0.16042900456460574,0.15575036744990156,0.8899559330738817,0.18656632950131713,17.137500921046897,0.6404910737725797,1.0,121,"{'2023': 0.0, '2024': 0.1366570824203508, '2025': 0.16233980656507585, '2026': 0.11165172423807368}",1.0300393327560469,0.35950892622742026,0.6082949308755761,373,0,0.000525019700919775
G0,risk-core__trend-150-vol-20-target-0p2,slippage-20bp,0.44500125645468036,0.15314647054465347,0.1589122007056758,0.8565612997288928,0.18646654695929815,17.108633686511272,0.640449097989885,1.0,121,"{'2023': 0.0, '2024': 0.13441301015187967, '2025': 0.15333740234094506, '2026': 0.10443624268531071}",0.9637175110821028,0.359550902010115,0.6082949308755761,372,0,0.000522029656858806
G0,risk-core__trend-150-vol-20-target-0p2,next-close,0.40912905808462985,0.14197964468083413,0.14901817324279554,0.8207607161977294,0.18171070677449072,17.184485474956386,0.6407441614302459,1.0,121,"{'2023': 0.0, '2024': 0.07103148689521821, '2025': 0.18634741248927633, '2026': 0.10901301943585162}",0.9527673141550761,0.359255838569754,0.6082949308755761,376,0,0.0005064921064705568
G0,risk-core__trend-150-vol-20-target-0p2,second-next-open,0.24200067547961246,0.08751250018641032,0.15392387648341688,0.5733333913179047,0.17208006808436904,16.254779339051602,0.6420515457084831,1.0,121,"{'2023': 0.0, '2024': -0.02224201115835167, '2025': 0.16212698827848326, '2026': 0.09304205532986631}",0.5685440243953221,0.3579484542915169,0.6052227342549923,375,1,0.0003762555556380774
G0,risk-core__trend-150-vol-60-target-0p15,base,0.5657905096495721,0.18954471068466083,0.0987174247793392,1.2072275645613784,0.15335430138423153,9.809992698822876,0.7365375214143904,1.0,119,"{'2023': 0.0, '2024': 0.14591958642167202, '2025': 0.25336390280650556, '2026': 0.09019034404808468}",1.9200734936952193,0.26346247858560945,0.6082949308755761,378,0,0.0002662207087141257
G0,risk-core__trend-150-vol-60-target-0p15,slippage-10bp,0.5543573138782103,0.1861748740098108,0.09907539245704411,1.1894836470083552,0.15324190601353618,9.801989002186012,0.7365124560489451,1.0,119,"{'2023': 0.0, '2024': 0.1450106361425605, '2025': 0.24933721091201666, '2026': 0.0865798942812166}",1.8791232554595252,0.26348754395105495,0.6082949308755761,375,0,0.00026568677227466696
G0,risk-core__trend-150-vol-60-target-0p15,slippage-20bp,0.5403177009747595,0.18201597027365568,0.10003243065648837,1.167437228589853,0.15310911874017802,9.791008332133487,0.7364787015360423,1.0,119,"{'2023': 0.0, '2024': 0.143865642918801, '2025': 0.24435202216397078, '2026': 0.08216138443195886}",1.8195696043685972,0.2635212984639577,0.6082949308755761,378,0,0.0002649926549033706
G0,risk-core__trend-150-vol-60-target-0p15,next-close,0.4676367669665067,0.16010558085304427,0.09872151109324578,1.0778043271195048,0.1477617970484689,9.805179162266633,0.7367629562002378,1.0,117,"{'2023': 0.0, '2024': 0.07517132798522175, '2025': 0.26291526358439476, '2026': 0.08085315989203101}",1.6217902165397282,0.26323704379976226,0.6082949308755761,382,0,0.0002532994468792243
G0,risk-core__trend-150-vol-60-target-0p15,second-next-open,0.3136412765243697,0.1113784764143908,0.09877328282008568,0.8454460278085064,0.13570336721174198,9.264089696265765,0.7377143609356256,1.0,119,"{'2023': 0.0, '2024': -0.01959748412025597, '2025': 0.2552448158870735, '2026': 0.06744112976935801}",1.1276174410165685,0.26228563906437435,0.6052227342549923,381,1,0.0002474167560092671
G0,risk-core__trend-150-vol-60-target-0p2,base,0.6853300489465177,0.22390869006978598,0.1299112365207129,1.1238557203377002,0.19663433673042674,12.134525793810331,0.6601178605321192,1.0,121,"{'2023': 0.0, '2024': 0.19275174838859943, '2025': 0.26441607462970595, '2026': 0.11749321241295885}",1.7235513729721619,0.3398821394678809,0.6082949308755761,377,0,0.000366600759332368
G0,risk-core__trend-150-vol-60-target-0p2,slippage-10bp,0.6704919399843403,0.21972617117957172,0.130321766676201,1.1070061879573703,0.19651309637784897,12.119889172687158,0.6600864273274276,1.0,121,"{'2023': 0.0, '2024': 0.19155034037990104, '2025': 0.2599116692017227, '2026': 0.11273536524231442}",1.686028180737497,0.33991357267257244,0.6082949308755761,377,0,0.0003656396737413423
G0,risk-core__trend-150-vol-60-target-0p2,slippage-20bp,0.6521571049083608,0.21452643296119134,0.13154003487052723,1.0859071325820326,0.19637105827334153,12.105316151897416,0.6600474710616184,1.0,121,"{'2023': 0.0, '2024': 0.1900620304694407, '2025': 0.2543156745351458, '2026': 0.10681463713942696}",1.6308831997220183,0.3399525289383816,0.6082949308755761,375,0,0.0003644116199305872
G0,risk-core__trend-150-vol-60-target-0p2,next-close,0.5493967704601481,0.184708070534634,0.13033664447872273,0.9875752805539503,0.18946389181641204,12.13033703881197,0.6603100327418283,1.0,121,"{'2023': 0.0, '2024': 0.09901801684534095, '2025': 0.2756457480275156, '2026': 0.10516659272385742}",1.4171614688514351,0.3396899672581717,0.6082949308755761,379,0,0.0003427871941325084
G0,risk-core__trend-150-vol-60-target-0p2,second-next-open,0.3404136037757741,0.12009211352488225,0.1299401023783302,0.7437920852868329,0.172290691288749,11.34034326877928,0.6616666817366259,1.0,121,"{'2023': 0.0, '2024': -0.02654948314924488, '2025': 0.2673685726863737, '2026': 0.08648069290171456}",0.924211319883566,0.338333318263374,0.6052227342549923,375,1,0.0002493781681769939
G0,risk-core__trend-200-vol-20-target-0p15,base,0.42072070419376195,0.14560692307886325,0.14097849706219323,0.9756728822144536,0.1509628228061955,13.765336267277789,0.6396063584027702,1.0,119,"{'2023': 0.0, '2024': 0.10298616695675666, '2025': 0.1868431813109268, '2026': 0.0852887587617781}",1.0328307232175142,0.36039364159722986,0.706605222734255,409,0,0.0004436485827075136
G0,risk-core__trend-200-vol-20-target-0p15,slippage-10bp,0.40545959416387944,0.14082758045925692,0.14310524743467268,0.9483337600999567,0.15089465495562351,13.74983697458645,0.6395907468997158,1.0,119,"{'2023': 0.0, '2024': 0.10158837393060893, '2025': 0.18023064098647223, '2026': 0.08101603297890492}",0.9840839730460932,0.3604092531002842,0.706605222734255,410,0,0.00044213274994577554
G0,risk-core__trend-200-vol-20-target-0p15,slippage-20bp,0.38657646897240006,0.13486968992865545,0.14576646146318528,0.9139880581722951,0.1508231067096559,13.736193334950384,0.6395670226841701,1.0,119,"{'2023': 0.0, '2024': 0.09982820451163898, '2025': 0.1719806468049878, '2026': 0.07571824045039466}",0.9252450020042373,0.3604329773158299,0.706605222734255,410,0,0.00044026025065186384
G0,risk-core__trend-200-vol-20-target-0p15,next-close,0.3906901091001085,0.13617181776156162,0.11985516167753862,0.9493225244492814,0.14559524766590806,13.910174500091244,0.6398871415609959,1.0,117,"{'2023': 0.0, '2024': 0.05166220449208425, '2025': 0.20825109753853033, '2026': 0.09445245907057997}",1.1361364488241377,0.36011285843900404,0.706605222734255,412,0,0.000432146087044913
G0,risk-core__trend-200-vol-20-target-0p15,second-next-open,0.2732962592580841,0.09803923037845252,0.1283269612596426,0.7470092559046001,0.13791496321981528,13.312358409602712,0.6407552335070796,1.0,117,"{'2023': 0.0, '2024': -0.018349249062480255, '2025': 0.18756018641440497, '2026': 0.09223686537449893}",0.7639799884304186,0.3592447664929203,0.7035330261136713,409,1,0.0002697588946014282
G0,risk-core__trend-200-vol-20-target-0p2,base,0.5548725420655807,0.18632705938380467,0.15760143428298334,0.9791047630458767,0.1934790469655982,16.048736656820065,0.554870372866697,1.0,119,"{'2023': 0.0, '2024': 0.13842229939087325, '2025': 0.2293261910039539, '2026': 0.11102611107902138}",1.1822675360253552,0.44512962713330295,0.706605222734255,388,0,0.0004587623270083725
G0,risk-core__trend-200-vol-20-target-0p2,slippage-10bp,0.5361556934036718,0.18077861205832546,0.15986291689877374,0.9553361049897355,0.1933600846328026,16.02954293022754,0.5548112827915455,1.0,119,"{'2023': 0.0, '2024': 0.1366570824203508, '2025': 0.2227162214256042, '2026': 0.10529981814941847}",1.13083519033245,0.44518871720845454,0.706605222734255,388,0,0.0004570681609805476
G0,risk-core__trend-200-vol-20-target-0p2,slippage-20bp,0.5129007466193396,0.17382685245289897,0.16268862533894102,0.9253220830025414,0.19321940421045605,16.006243284529088,0.5547416399262621,1.0,121,"{'2023': 0.0, '2024': 0.13441301015187967, '2025': 0.21445575071034217, '2026': 0.0981395746262601}",1.0684634656587262,0.4452583600737379,0.706605222734255,388,0,0.00045492816178750565
G0,risk-core__trend-200-vol-20-target-0p2,next-close,0.492356325182155,0.1676306745906373,0.15725097509108177,0.9155420933245609,0.18856117815286944,16.079775713381977,0.5551421864953664,1.0,119,"{'2023': 0.0, '2024': 0.07103148689521821, '2025': 0.23978205633331462, '2026': 0.12389294627339753}",1.0660072186741194,0.4448578135046336,0.706605222734255,392,0,0.00043682733527969234
G0,risk-core__trend-200-vol-20-target-0p2,second-next-open,0.33644686026192927,0.11880782413821045,0.1518177629848888,0.71925552008151,0.17809452994931527,15.259405758845666,0.5564025186268471,1.0,121,"{'2023': 0.0, '2024': -0.02224201115835167, '2025': 0.2198173591948609, '2026': 0.12053522230152702}",0.7825686652360699,0.44359748137315286,0.7035330261136713,391,1,0.00031274177828240706
G0,risk-core__trend-200-vol-60-target-0p15,base,0.652522875681983,0.21463050995025457,0.12134665954113966,1.309996146307728,0.15779387450933097,9.26966604265493,0.6765339112797473,1.0,103,"{'2023': 0.0, '2024': 0.14591958642167202, '2025': 0.3214801382712287, '2026': 0.09127120905715036}",1.7687385113183876,0.3234660887202527,0.706605222734255,430,0,0.0003018374921100924
G0,risk-core__trend-200-vol-60-target-0p15,slippage-10bp,0.6410599803666308,0.21136210206332073,0.12295093552730474,1.2938379780287828,0.15766574875953726,9.262603053324998,0.6765255858624423,1.0,114,"{'2023': 0.0, '2024': 0.1450106361425605, '2025': 0.31774243645813405, '2026': 0.08763807276041247}",1.7190768102482783,0.3234744141375578,0.706605222734255,427,0,0.0003002389580115332
G0,risk-core__trend-200-vol-60-target-0p15,slippage-20bp,0.6267642432875007,0.20726630037572424,0.1249579887678478,1.2734444669805938,0.15751122162501777,9.254161382053944,0.6765194287475491,1.0,114,"{'2023': 0.0, '2024': 0.143865642918801, '2025': 0.31304953222495047, '2026': 0.08309984298364848}",1.658687871175586,0.32348057125245094,0.706605222734255,430,0,0.00029829788089185414
G0,risk-core__trend-200-vol-60-target-0p15,next-close,0.5651998493691961,0.18937098875454828,0.12260586819262198,1.2140349905768673,0.15227264226287138,9.286058304128769,0.6767829242529437,1.0,103,"{'2023': 0.0, '2024': 0.07517132798522175, '2025': 0.3276761551847869, '2026': 0.09647811432176279}",1.5445507751475145,0.3232170757470563,0.706605222734255,430,0,0.0002917895634905773
G0,risk-core__trend-200-vol-60-target-0p15,second-next-open,0.4128512989707358,0.14314640168221637,0.1200090919364113,1.0252979452701914,0.139974210104238,8.796994916397239,0.6777047160763948,1.0,114,"{'2023': 0.0, '2024': -0.01959748412025597, '2025': 0.3225037523909198, '2026': 0.08967032832291078}",1.1927963071170036,0.3222952839236051,0.7035330261136713,433,1,0.00026415775978691085
G0,risk-core__trend-200-vol-60-target-0p2,base,0.7907757970125986,0.2530010602812782,0.15916618478206013,1.213640064932485,0.2024123262113272,11.27734416458485,0.5858414173095132,1.0,116,"{'2023': 0.0, '2024': 0.19275174838859943, '2025': 0.3421169105060924, '2026': 0.11866694581714476}",1.5895402696728733,0.4141585826904868,0.706605222734255,427,0,0.00041978647238235476
G0,risk-core__trend-200-vol-60-target-0p2,slippage-10bp,0.7757298068554914,0.24891530460205424,0.16119941094884516,1.1982810412016034,0.20225420480973186,11.267894071848165,0.5858285636556039,1.0,117,"{'2023': 0.0, '2024': 0.19155034037990104, '2025': 0.3379505667833995, '2026': 0.11384413338811794}",1.544145249271691,0.4141714363443962,0.706605222734255,426,0,0.000417217399723956
G0,risk-core__trend-200-vol-60-target-0p2,slippage-20bp,0.7571487907961618,0.2438402188029225,0.16373964306012134,1.1790554129992643,0.20206617505462085,11.258377132506416,0.5858094224114929,1.0,117,"{'2023': 0.0, '2024': 0.1900620304694407, '2025': 0.33279135645261726, '2026': 0.10783931010724013}",1.4891947621590338,0.4141905775885071,0.706605222734255,425,0,0.0004140203315268376
