generation,config,objective,return,drawdown,sharpe,calmar,cost,turnover,quarters,delay,candidate
G0,risk-core__trend-150-vol-20-target-0p15,risk,False,True,False,True,True,True,False,True,False
G0,risk-core__trend-150-vol-20-target-0p2,risk,True,True,False,True,True,True,False,True,False
G0,risk-core__trend-150-vol-60-target-0p15,risk,True,True,True,True,True,True,False,True,False
G0,risk-core__trend-150-vol-60-target-0p2,risk,True,True,True,True,True,True,False,True,False
G0,risk-core__trend-200-vol-20-target-0p15,risk,False,True,False,True,True,True,False,True,False
G0,risk-core__trend-200-vol-20-target-0p2,risk,True,True,False,True,True,True,False,True,False
G0,risk-core__trend-200-vol-60-target-0p15,risk,True,True,True,True,True,True,True,True,True
G0,risk-core__trend-200-vol-60-target-0p2,risk,True,True,True,True,True,True,False,True,False
G0,risk-core__trend-250-vol-20-target-0p15,risk,False,True,False,False,True,True,False,True,False
G0,risk-core__trend-250-vol-20-target-0p2,risk,False,True,False,False,True,True,False,True,False
G0,risk-core__trend-250-vol-60-target-0p15,risk,True,True,True,True,True,True,False,True,False
G0,risk-core__trend-250-vol-60-target-0p2,risk,True,True,False,True,True,True,False,True,False
G1,risk-friction__buffer-0p01,risk,False,True,False,True,True,True,False,True,False
G1,risk-friction__buffer-0p02,risk,True,True,True,True,True,True,False,True,False
G1,risk-friction__threshold-0p05,risk,True,True,True,True,True,True,True,True,True
G1,risk-friction__threshold-0p1,risk,True,True,True,True,True,True,True,True,True
G1,risk-friction__threshold-0p15,risk,True,True,True,True,True,True,True,True,True
G1,risk-friction__schedule-5,risk,True,True,True,True,True,True,False,True,False
G1,risk-friction__smooth-3,risk,True,True,True,True,True,True,True,True,True
G1,risk-friction__smooth-5,risk,True,True,True,True,True,True,True,True,True
G1,risk-friction__smooth-10,risk,True,True,True,True,True,True,True,True,True
G1,risk-friction__slope-20,risk,True,True,True,True,True,True,False,True,False
G2,macd-overlay__floor-0,return,False,True,True,,False,True,False,True,False
G2,macd-overlay__floor-0p25,return,False,True,True,,False,True,False,True,False
G2,macd-overlay__floor-0p5,return,False,True,True,,False,True,True,True,False
G2,keltner-overlay__multiplier-1p5-floor-0p25,return,False,True,True,,False,True,True,True,False
G2,keltner-overlay__multiplier-1p5-floor-0p5,return,False,True,True,,False,True,True,True,False
G2,keltner-overlay__multiplier-2-floor-0p25,return,False,True,True,,False,True,True,True,False
G2,keltner-overlay__multiplier-2-floor-0p5,return,False,True,True,,False,True,True,True,False
G2,keltner-overlay__multiplier-2p5-floor-0p25,return,False,True,True,,False,True,True,True,False
G2,keltner-overlay__multiplier-2p5-floor-0p5,return,False,True,True,,False,True,True,True,False
G2,fixed-ensemble__core-macd-keltner,balanced,True,True,True,,True,True,True,True,True
G3,production-core__buffer-0p02-threshold-0p1,risk,True,True,False,True,True,True,False,True,False
G3,production-core__buffer-0p02-smooth-5-threshold-0p05,risk,True,True,True,True,True,True,False,True,False
G3,production-core__buffer-0p02-schedule-5-threshold-0p1,risk,True,True,False,True,True,True,True,True,False
G3,risk-guard__volatility-shock,risk,True,True,True,True,True,True,True,True,True
G3,risk-guard__drawdown-63d-0p12,risk,True,True,True,True,True,True,False,True,False
G3,production-ensemble__threshold-0p1,balanced,True,True,True,,True,True,True,True,True
