generation,config,block_length,repetitions,annualized_difference_ci_low,annualized_difference_ci_high,probability_return_above_benchmark,probability_drawdown_below_benchmark,probability_sharpe_above_benchmark
G0,risk-core__trend-150-vol-20-target-0p15,20,1000,-0.8026059677409149,0.16547025858257897,0.213,0.998,0.548
G0,risk-core__trend-150-vol-20-target-0p15,60,1000,-0.6618614757099668,0.13870395591606904,0.187,0.998,0.585
G0,risk-core__trend-150-vol-20-target-0p2,20,1000,-0.7753722691962294,0.20924602056558222,0.26,0.991,0.582
G0,risk-core__trend-150-vol-20-target-0p2,60,1000,-0.6282471613208832,0.13506529038124704,0.194,0.974,0.553
G0,risk-core__trend-150-vol-60-target-0p15,20,1000,-0.7006629174367606,0.2015074710505047,0.303,1.0,0.854
G0,risk-core__trend-150-vol-60-target-0p15,60,1000,-0.6235750136557859,0.1611894785073614,0.275,1.0,0.872
G0,risk-core__trend-150-vol-60-target-0p2,20,1000,-0.6169713538324373,0.21844596736032348,0.364,1.0,0.795
G0,risk-core__trend-150-vol-60-target-0p2,60,1000,-0.5382415934086594,0.16468946285311947,0.321,0.999,0.842
G0,risk-core__trend-200-vol-20-target-0p15,20,1000,-0.8111427464833315,0.21078457356875185,0.26,0.998,0.652
G0,risk-core__trend-200-vol-20-target-0p15,60,1000,-0.6633247882809865,0.15148883300232815,0.191,0.997,0.612
G0,risk-core__trend-200-vol-20-target-0p2,20,1000,-0.6939719534476196,0.19446297489574244,0.268,0.99,0.668
G0,risk-core__trend-200-vol-20-target-0p2,60,1000,-0.5930579882709246,0.1699014883278722,0.262,0.987,0.622
G0,risk-core__trend-200-vol-60-target-0p15,20,1000,-0.672564852216515,0.23451285140542047,0.351,1.0,0.904
G0,risk-core__trend-200-vol-60-target-0p15,60,1000,-0.5876143877903732,0.20637603284766423,0.333,1.0,0.911
G0,risk-core__trend-200-vol-60-target-0p2,20,1000,-0.5981321345006174,0.2357712732153937,0.428,1.0,0.885
G0,risk-core__trend-200-vol-60-target-0p2,60,1000,-0.49181004776084547,0.2008107605443664,0.406,0.997,0.9
G0,risk-core__trend-250-vol-20-target-0p15,20,1000,-0.8687730134578645,0.18992635721149342,0.223,0.998,0.552
G0,risk-core__trend-250-vol-20-target-0p15,60,1000,-0.8659679548513047,0.15821143881967267,0.178,0.999,0.499
G0,risk-core__trend-250-vol-20-target-0p2,20,1000,-0.8313076047873427,0.21096195368160747,0.278,0.993,0.504
G0,risk-core__trend-250-vol-20-target-0p2,60,1000,-0.7173291429664199,0.18261915053644293,0.233,0.987,0.502
G0,risk-core__trend-250-vol-60-target-0p15,20,1000,-0.8697788637098762,0.2530104980259589,0.315,1.0,0.722
G0,risk-core__trend-250-vol-60-target-0p15,60,1000,-0.7543839806000162,0.2133472040581671,0.294,1.0,0.708
G0,risk-core__trend-250-vol-60-target-0p2,20,1000,-0.7660499279380567,0.23703070853941516,0.342,1.0,0.681
G0,risk-core__trend-250-vol-60-target-0p2,60,1000,-0.7221358318160233,0.20937859936273656,0.341,0.996,0.683
G1,risk-friction__buffer-0p01,20,1000,-0.852181939585754,0.21814087529727713,0.293,1.0,0.667
G1,risk-friction__buffer-0p01,60,1000,-0.8104543798458991,0.18101916915522204,0.268,1.0,0.675
G1,risk-friction__buffer-0p02,20,1000,-0.8855622812438997,0.23484266730801884,0.287,1.0,0.712
G1,risk-friction__buffer-0p02,60,1000,-0.7124313982712694,0.19811760034559547,0.264,1.0,0.68
G1,risk-friction__threshold-0p05,20,1000,-0.7193594507077162,0.23105687961629082,0.351,1.0,0.9
G1,risk-friction__threshold-0p05,60,1000,-0.5459679378866407,0.1880923142677758,0.336,1.0,0.909
G1,risk-friction__threshold-0p1,20,1000,-0.7676679414246893,0.22098596893880346,0.309,1.0,0.857
G1,risk-friction__threshold-0p1,60,1000,-0.5976065250779677,0.1808838112699123,0.305,1.0,0.84
G1,risk-friction__threshold-0p15,20,1000,-0.7097208187966095,0.2141790123044337,0.334,1.0,0.856
G1,risk-friction__threshold-0p15,60,1000,-0.5907411535019078,0.19213226788570828,0.306,1.0,0.853
G1,risk-friction__schedule-5,20,1000,-0.7934058118267191,0.2179905002856835,0.314,1.0,0.746
G1,risk-friction__schedule-5,60,1000,-0.720929651754036,0.1902507861999572,0.296,1.0,0.73
G1,risk-friction__smooth-3,20,1000,-0.7926758247345881,0.22582641257763134,0.355,1.0,0.846
G1,risk-friction__smooth-3,60,1000,-0.6864677214259354,0.19200867661789756,0.293,1.0,0.846
G1,risk-friction__smooth-5,20,1000,-0.8055590724618481,0.2371640718883263,0.325,1.0,0.797
G1,risk-friction__smooth-5,60,1000,-0.6566980205345996,0.21257885867887316,0.286,1.0,0.831
G1,risk-friction__smooth-10,20,1000,-0.8338134383408846,0.23935354179997245,0.337,1.0,0.765
G1,risk-friction__smooth-10,60,1000,-0.7467810831899937,0.2056780315269188,0.292,1.0,0.78
G1,risk-friction__slope-20,20,1000,-0.7503705544396634,0.2173266173289148,0.3,1.0,0.716
G1,risk-friction__slope-20,60,1000,-0.8696777159025678,0.1902677212903532,0.244,1.0,0.694
G2,macd-overlay__floor-0,20,1000,-0.7090649530405096,0.29473856997050735,0.386,1.0,0.988
G2,macd-overlay__floor-0,60,1000,-0.6002875945137806,0.25538457136097875,0.412,1.0,0.999
G2,macd-overlay__floor-0p25,20,1000,-0.7464460699330346,0.28181938738434104,0.397,1.0,0.982
