scenario,schema_version,previous_hash,event_type,fill_id,order_id,trade_date,side,shares,price,fee,cash_before,cash_after,shares_before,shares_after,event_hash
risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002,1,0000000000000000000000000000000000000000000000000000000000000000,fill,risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002__2024-09-30,shadow-b4b57704670a5438d6d1e190,2024-09-30,buy,575600,0.8517,147.071556,1000000.0,509614.408444,0,575600,8a675e3cef7b83f01b2a915366d96e240d7ccc397636f468d81391590bcbd387
risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002,1,8a675e3cef7b83f01b2a915366d96e240d7ccc397636f468d81391590bcbd387,fill,risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002__2024-10-08,shadow-6c9c494c2e8e2a0cd11ba42e,2024-10-08,sell,273100,1.1377199999999998,93.21339959999997,509614.408444,820232.5270443999,575600,302500,e2ed386771aecd854a582c265b5b8ff6536a12c75f250b9ab7df0836ee91d76d
risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002,1,e2ed386771aecd854a582c265b5b8ff6536a12c75f250b9ab7df0836ee91d76d,fill,risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002__2024-10-09,shadow-e7764a1a9c474d619df1bf2d,2024-10-09,sell,64800,1.135724,22.07847456,820232.5270443999,893805.3637698399,302500,237700,8ef3fb1a2528da770fd684d560ebf80b5435e4ce600f6da200250332060912af
risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002,1,8ef3fb1a2528da770fd684d560ebf80b5435e4ce600f6da200250332060912af,fill,risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002__2025-01-02,shadow-1903a1212423f028f938b9ba,2025-01-02,buy,127900,1.0430819999999998,40.02305633999999,893805.3637698399,760355.1529134999,237700,365600,4c97eceee0a6c0ded403dbb1fbbe72c5fa08e2db9543614b4e3991a4372dc4bb
risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002,1,4c97eceee0a6c0ded403dbb1fbbe72c5fa08e2db9543614b4e3991a4372dc4bb,fill,risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002__2025-01-14,shadow-86c661ab5455433878c121f8,2025-01-14,buy,187600,1.014024,57.06927072,760355.1529134999,570067.1812427798,365600,553200,508c985b83a1e2de73efb685f75e949ce9632c6ef55e5ad3df8697b33ea6c56f
risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002,1,508c985b83a1e2de73efb685f75e949ce9632c6ef55e5ad3df8697b33ea6c56f,fill,risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002__2025-02-18,shadow-46064da90cb61d71cce6019e,2025-02-18,buy,33300,1.094184,10.930898159999998,570067.1812427798,533619.9231446199,553200,586500,1285fb91386240cb03bc86de1529d8d334ab3ba5c68fd461778d120e47a5f35a
risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002,1,1285fb91386240cb03bc86de1529d8d334ab3ba5c68fd461778d120e47a5f35a,fill,risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002__2025-04-08,shadow-008f94aaf8e0da28096d9a32,2025-04-08,sell,78800,0.976044,23.07368016,533619.9231446199,610509.1166644599,586500,507700,3a772d12951a7b1ba4157d46903c266ef0c2c74f7d702b6ceeabefd338d39d19
risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002,1,3a772d12951a7b1ba4157d46903c266ef0c2c74f7d702b6ceeabefd338d39d19,fill,risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002__2025-05-23,shadow-fb5cd8f027cee485f850140b,2025-05-23,buy,73200,1.040076,22.84006896,610509.1166644599,534352.7133955,507700,580900,72de019e341622b728380d552ef5592df534c446409f2f75d225f6f60daec15f
risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002,1,72de019e341622b728380d552ef5592df534c446409f2f75d225f6f60daec15f,fill,risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002__2025-06-06,shadow-1443c4032143eb8e4d78fd12,2025-06-06,buy,56300,1.053102,17.78689278,534352.7133955,475045.28390271997,580900,637200,5afb1cb914189afdcf89a802d01a155dc4d41e8fa1a06003265b5202ca9926c9
risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002,1,5afb1cb914189afdcf89a802d01a155dc4d41e8fa1a06003265b5202ca9926c9,fill,risk-friction__threshold-0p05__capital-1e+06__volume-0p01__slippage-0p002__2025-06-23,shadow-200a829920ff6a734959b74e,2025-06-23,sell,637200,0.999996,191.15923536,475045.28390271997,1112051.57586736,637200,0,8b9395bc30280304d22ca52d36848aa39007fcd5bba320558f263af71eb525ae
