model,horizon_sessions,start_date,observation_date,end_date,is_monthly_start,trend_regime,volatility_regime,initial_target_weight,total_return,annualized_return,maximum_drawdown,sharpe,longest_underwater_trading_days,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,total_commission,first_trade_date,first_trade_price,first_trade_shares,benchmark_total_return,benchmark_annualized_return,benchmark_maximum_drawdown,benchmark_sharpe,positive_return,severe_start,total_return_difference,annualized_return_difference,drawdown_difference,sharpe_difference,outperform_benchmark,drawdown_improved,sharpe_improved
buy-hold,252,2023-04-10,2023-04-07,2024-04-23,False,transition,normal-vol,0.99,-0.3651725373973601,-0.3651725373973601,0.412218624147375,-1.8581532996393726,243,0.987568733354519,1.0,1,0,297.04619736,2023-04-10,1.2082416,819500,-0.3651725373973601,-0.3651725373973601,0.412218624147375,-1.8581532996393726,False,True,,,,,,,
buy-hold,252,2023-04-07,2023-04-06,2024-04-22,False,transition,normal-vol,0.99,-0.3553498320967241,-0.3553498320967241,0.412259803581423,-1.7900024670632184,242,0.9877189254423175,1.0,1,0,297.043016724,2023-04-07,1.1942388,829100,-0.3553498320967241,-0.3553498320967241,0.412259803581423,-1.7900024670632184,False,True,,,,,,,
buy-hold,252,2021-12-13,2021-12-10,2022-12-23,False,uptrend,normal-vol,0.99,-0.3542905424479662,-0.3542905424479662,0.38933944244796603,-1.5489274792588568,252,0.9873706271378258,1.0,1,0,297.04922796600005,2021-12-13,1.4972994000000002,661300,-0.3542905424479662,-0.3542905424479662,0.38933944244796603,-1.5489274792588568,False,True,,,,,,,
buy-hold,252,2023-01-30,2023-01-20,2024-02-02,False,downtrend,normal-vol,0.99,-0.3489366460984039,-0.3489366460984039,0.41260601521344775,-1.932615873374138,194,0.9893843694517303,1.0,1,0,297.05141840399995,2023-01-30,1.0912182,907400,-0.3489366460984039,-0.3489366460984039,0.41260601521344775,-1.932615873374138,False,True,,,,,,,
buy-hold,252,2021-12-10,2021-12-09,2022-12-22,False,uptrend,normal-vol,0.99,-0.34225501064415,-0.34225501064415,0.38985433771999,-1.4769933673810571,251,0.9874247833935472,1.0,1,0,297.03014415,2021-12-10,1.4832966,667500,-0.34225501064415,-0.34225501064415,0.38985433771999,-1.4769933673810571,False,True,,,,,,,
buy-hold,252,2023-04-06,2023-04-04,2024-04-19,False,transition,normal-vol,0.99,-0.3398445503989199,-0.3398445503989199,0.41237218545945187,-1.67394194716381,241,0.9880897753654023,1.0,1,0,297.05399891999997,2023-04-06,1.1642328,850500,-0.3398445503989199,-0.3398445503989199,0.41237218545945187,-1.67394194716381,False,True,,,,,,,
buy-hold,252,2023-06-20,2023-06-19,2024-07-04,False,transition,normal-vol,0.99,-0.33859503779740796,-0.33859503779740796,0.3544471560716965,-1.7250910284859153,251,0.9879491929602819,1.0,1,0,297.046437408,2023-06-20,1.0982196,901600,-0.33859503779740796,-0.33859503779740796,0.3544471560716965,-1.7250910284859153,False,True,,,,,,,
buy-hold,252,2023-04-12,2023-04-11,2024-04-25,False,uptrend,normal-vol,0.99,-0.33671903219673593,-0.33671903219673593,0.4123608569518682,-1.6774236766193635,245,0.9879747163859959,1.0,1,0,297.04307673599993,2023-04-12,1.1632326,851200,-0.33671903219673593,-0.33671903219673593,0.4123608569518682,-1.6774236766193635,False,True,,,,,,,
buy-hold,252,2023-04-11,2023-04-10,2024-04-24,False,uptrend,normal-vol,0.99,-0.3363967278962199,-0.3363967278962199,0.4123345889983201,-1.6761089840355416,244,0.9879118003815404,1.0,1,0,297.04049621999997,2023-04-11,1.170234,846100,-0.3363967278962199,-0.3363967278962199,0.4123345889983201,-1.6761089840355416,False,True,,,,,,,
buy-hold,252,2023-01-31,2023-01-30,2024-02-05,False,transition,normal-vol,0.99,-0.33449224139784006,-0.33449224139784006,0.4126708555092412,-1.8341558194910992,195,0.9895571363039741,1.0,1,0,297.04859783999996,2023-01-31,1.070214,925200,-0.33449224139784006,-0.33449224139784006,0.4126708555092412,-1.8341558194910992,False,True,,,,,,,
buy-hold,504,2022-01-11,2022-01-10,2024-02-05,False,transition,normal-vol,0.99,-0.47884950839387996,-0.2780924632571564,0.4885269642398571,-1.2592425527876216,498,0.987303001408189,1.0,1,0,297.02879387999997,2022-01-11,1.3722744,721500,-0.47884950839387996,-0.2780924632571564,0.4885269642398571,-1.2592425527876216,False,True,,,,,,,
buy-hold,504,2022-01-05,2022-01-04,2024-01-30,False,transition,normal-vol,0.99,-0.4772973122943479,-0.2770181968364265,0.4772973122943479,-1.2544483340495751,504,0.9869643961820911,1.0,1,0,297.03113434799997,2022-01-05,1.4182835999999999,698100,-0.4772973122943479,-0.2770181968364265,0.4772973122943479,-1.2544483340495751,False,True,,,,,,,
buy-hold,504,2022-01-10,2022-01-07,2024-02-02,False,transition,normal-vol,0.99,-0.4762146550994839,-0.2762698397188935,0.4886090058899517,-1.2479843319912316,497,0.9875428415062678,1.0,1,0,297.05681948399996,2022-01-10,1.3612722,727400,-0.4762146550994839,-0.2762698397188935,0.4886090058899517,-1.2479843319912316,False,True,,,,,,,
buy-hold,504,2022-01-06,2022-01-05,2024-01-31,False,transition,normal-vol,0.99,-0.4724783963924398,-0.2736931752987859,0.4778381288030711,-1.2365110055189557,495,0.9872501556342163,1.0,1,0,297.02159243999995,2022-01-06,1.3802759999999998,717300,-0.4724783963924398,-0.2736931752987859,0.4778381288030711,-1.2365110055189557,False,True,,,,,,,
buy-hold,504,2022-01-04,2021-12-31,2024-01-29,True,transition,normal-vol,0.99,-0.470247000992992,-0.2721586718198753,0.470247000992992,-1.2316738267607659,504,0.9866244558380841,1.0,1,0,297.024352992,2022-01-04,1.4542907999999999,680800,-0.470247000992992,-0.2721586718198753,0.470247000992992,-1.2316738267607659,False,True,,,,,,,
buy-hold,504,2022-01-07,2022-01-06,2024-02-01,False,transition,normal-vol,0.99,-0.46889183699731185,-0.27122831901706823,0.4778834747005578,-1.2213309396991752,496,0.9873587621336914,1.0,1,0,297.0459573119999,2022-01-07,1.3782755999999998,718400,-0.46889183699731185,-0.27122831901706823,0.4778834747005578,-1.2213309396991752,False,True,,,,,,,
buy-hold,504,2021-12-31,2021-12-30,2024-01-26,False,transition,normal-vol,0.99,-0.4488649908917799,-0.2576153226876109,0.46112561731651425,-1.1510182318261133,503,0.9867860067446491,1.0,1,0,297.01829177999997,2021-12-31,1.435287,689800,-0.4488649908917799,-0.2576153226876109,0.46112561731651425,-1.1510182318261133,False,True,,,,,,,
buy-hold,504,2021-12-27,2021-12-24,2024-01-22,False,transition,normal-vol,0.99,-0.446777233296868,-0.2562105360364857,0.46123151186465505,-1.146693850124805,499,0.9871590244185642,1.0,1,0,297.043736868,2021-12-27,1.4132826,700600,-0.446777233296868,-0.2562105360364857,0.46123151186465505,-1.146693850124805,False,True,,,,,,,
buy-hold,504,2021-12-15,2021-12-14,2024-01-10,False,uptrend,normal-vol,0.99,-0.4465758029932321,-0.25607514021457256,0.4465758029932321,-1.155789005959562,504,0.9865141965794073,1.0,1,0,297.025553232,2021-12-15,1.4892978000000001,664800,-0.4465758029932321,-0.25607514021457256,0.4465758029932321,-1.155789005959562,False,True,,,,,,,
buy-hold,504,2021-12-13,2021-12-10,2024-01-08,False,uptrend,normal-vol,0.99,-0.4455499424479662,-0.2553859673951653,0.4455499424479662,-1.151727039659721,504,0.9865841211280665,1.0,1,0,297.04922796600005,2021-12-13,1.4972994000000002,661300,-0.4455499424479662,-0.2553859673951653,0.4455499424479662,-1.151727039659721,False,True,,,,,,,
production-ensemble__threshold-0p1,252,2023-04-10,2023-04-07,2024-04-23,False,transition,normal-vol,0.8373996240142488,-0.09048098358824408,-0.09048098358824408,0.09048098358824408,-1.547326809935197,252,0.07235440566130723,0.15079365079365079,15,0,1406.152268244,2023-04-10,1.2082416,693200,-0.3651725373973601,-0.3651725373973601,0.412218624147375,-1.8581532996393726,False,False,0.27469155380911603,0.27469155380911603,-0.3217376405591309,0.3108264897041757,True,True,True
production-ensemble__threshold-0p1,252,2023-04-21,2023-04-20,2024-05-09,False,uptrend,normal-vol,0.67821793886388,-0.08188011458945166,-0.08188011458945166,0.08188011458945166,-2.1697834584156688,252,0.045355372924182936,0.11507936507936507,12,0,1233.550669452,2023-04-21,1.2112422,560000,-0.32422505564954995,-0.32422505564954995,0.41251505564954993,-1.600754580725838,False,False,0.2423449410600983,0.2423449410600983,-0.3306349410600983,-0.5690288776898307,True,True,False
production-ensemble__threshold-0p1,252,2023-04-07,2023-04-06,2024-04-22,False,transition,normal-vol,0.8373996240142488,-0.08162056720544952,-0.08162056720544952,0.08953990720207528,-1.3794563793912489,251,0.07571487423164376,0.15476190476190477,15,0,1417.8422254499997,2023-04-07,1.1942388,701300,-0.3553498320967241,-0.3553498320967241,0.412259803581423,-1.7900024670632184,False,False,0.2737292648912746,0.2737292648912746,-0.3227198963793477,0.41054608767196954,True,True,True
production-ensemble__threshold-0p1,252,2023-04-18,2023-04-17,2024-05-06,False,uptrend,normal-vol,0.7306069195092785,-0.0687489935378579,-0.0687489935378579,0.08163143626831681,-1.6786045758528414,249,0.05326048427362602,0.12698412698412698,14,0,1370.8177178579997,2023-04-18,1.1782355999999998,620200,-0.30724105499947185,-0.30724105499947185,0.4123304825287444,-1.4888521096130394,False,False,0.23849206146161395,0.23849206146161395,-0.33069904626042756,-0.18975246623980202,True,True,False
production-ensemble__threshold-0p1,252,2023-04-20,2023-04-19,2024-05-08,False,uptrend,normal-vol,0.5238856324915878,-0.06796863790335783,-0.06796863790335783,0.08162616751124663,-1.6667627222581378,251,0.04746170825244201,0.11904761904761904,13,0,1247.6043233579999,2023-04-20,1.1772354,445100,-0.32011304674848207,-0.32011304674848207,0.4123270398704092,-1.5688868012672164,False,False,0.25214440884512423,0.25214440884512423,-0.33070087235916257,-0.09787592099092146,True,True,False
production-ensemble__threshold-0p1,252,2023-04-17,2023-04-14,2024-04-30,False,uptrend,normal-vol,0.7306069195092785,-0.06758957131814414,-0.06758957131814414,0.08163063713733332,-1.6056648457833413,248,0.05616900439165851,0.13095238095238096,14,0,1372.304358144,2023-04-17,1.1762351999999998,621200,-0.3136446377974076,-0.3136446377974076,0.41232304171241685,-1.5290430591961885,False,False,0.24605506647926345,0.24605506647926345,-0.33069240457508353,-0.0766217865871528,True,True,False
production-ensemble__threshold-0p1,252,2023-04-11,2023-04-10,2024-04-24,False,uptrend,normal-vol,0.8373996240142488,-0.06594092841259203,-0.06594092841259203,0.08163227101481418,-1.2218532585980826,244,0.06910277464678091,0.14682539682539683,15,0,1438.638572592,2023-04-11,1.170234,715700,-0.3363967278962199,-0.3363967278962199,0.4123345889983201,-1.6761089840355416,False,False,0.27045579948362786,0.27045579948362786,-0.3307023179835059,0.45425572543745907,True,True,True
production-ensemble__threshold-0p1,252,2023-04-04,2023-04-03,2024-04-18,False,transition,normal-vol,0.8373996240142488,-0.065272736022422,-0.065272736022422,0.08967018712127439,-1.0471213511631554,249,0.08242784412230533,0.1626984126984127,15,0,1439.4231224219998,2023-04-04,1.1692338,716300,-0.329053413994552,-0.329053413994552,0.4123266623265379,-1.6152082660224751,False,False,0.26378067797213,0.26378067797213,-0.3226564752052635,0.5680869148593197,True,True,True
production-ensemble__threshold-0p1,252,2023-04-13,2023-04-12,2024-04-26,False,uptrend,normal-vol,0.8373996240142488,-0.06460425888222165,-0.06460425888222165,0.08163081218783874,-1.2333839247535898,246,0.062454573499159824,0.1388888888888889,15,0,1440.336822222,2023-04-13,1.1682336,716900,-0.32343065779980784,-0.32343065779980784,0.412365154280949,-1.583712099235115,False,False,0.2588263989175862,0.2588263989175862,-0.33073434209311026,0.3503281744815252,True,True,True
production-ensemble__threshold-0p1,252,2023-04-19,2023-04-18,2024-05-07,False,uptrend,normal-vol,0.7306069195092785,-0.06409505655800596,-0.06409505655800596,0.0816287628693293,-1.5627790416256548,250,0.0503671257453656,0.12301587301587301,14,0,1376.975418006,2023-04-19,1.170234,624400,-0.30847542789621984,-0.30847542789621984,0.4123345889983201,-1.495777130720651,False,False,0.2443803713382139,0.2443803713382139,-0.3307058261289908,-0.06700191090500374,True,True,False
production-ensemble__threshold-0p1,504,2021-11-30,2021-11-29,2023-12-25,False,uptrend,normal-vol,0.7096036542752908,-0.09570973795443383,-0.04905822363008672,0.09570973795443383,-0.8376063681336066,504,0.07449040192613182,0.13293650793650794,26,0,3381.5049344339996,2021-11-30,1.5313062,463400,-0.4194918316966759,-0.23808913362301753,0.420785031696676,-1.057346916465418,False,False,0.3237820937422421,0.18903090999293082,-0.3250752937422422,0.21974054833181134,True,True,True
production-ensemble__threshold-0p1,504,2021-12-01,2021-11-30,2023-12-26,True,uptrend,normal-vol,0.7096036542752908,-0.09446275307916918,-0.048402791659816424,0.09446275307916918,-0.8263977139140972,504,0.07307967710038478,0.13095238095238096,26,0,3385.95397917,2021-12-01,1.5283056,464400,-0.42810905499947194,-0.24376528445162737,0.42810905499947194,-1.0880477733020673,False,False,0.33364630192030276,0.19536249279181095,-0.33364630192030276,0.26165005938797004,True,True,True
production-ensemble__threshold-0p1,504,2021-11-29,2021-11-26,2023-12-22,True,uptrend,normal-vol,0.7096036542752908,-0.08472382879133777,-0.04329933040231326,0.09548898327779609,-0.725020966245328,503,0.07592728644242733,0.1349206349206349,26,0,3420.919171338,2021-11-29,1.5053009999999998,471400,-0.40635765389933987,-0.2295181078697176,0.4205850305980885,-1.0070961468882915,False,False,0.3216338251080021,0.18621877746740434,-0.3250960473202924,0.28207518064296355,True,True,True
production-ensemble__threshold-0p1,504,2021-12-02,2021-12-01,2023-12-27,False,uptrend,normal-vol,0.7096036542752908,-0.08472382879133777,-0.04329933040231326,0.09003625101023582,-0.7413930213213664,326,0.07168751683040246,0.12896825396825398,26,0,3420.919171338,2021-12-02,1.5053009999999998,471400,-0.4162246538993398,-0.2359480736882733,0.4195136538993398,-1.04453488796627,False,False,0.33150082510800205,0.19264874328596004,-0.329477402889104,0.3031418666449035,True,True,True
production-ensemble__threshold-0p1,504,2021-12-06,2021-12-03,2023-12-29,False,uptrend,normal-vol,0.39119556384635285,-0.07841377977956776,-0.04000717699535261,0.09003879737166065,-0.6891325764479449,323,0.06949452648114549,0.125,25,0,3252.5896195679993,2021-12-06,1.4982996,261100,-0.39763579859270404,-0.22387874567997046,0.4168956781098738,-0.9755255961811925,False,False,0.3192220188131363,0.18387156868461785,-0.3268568807382132,0.2863930197332476,True,True,True
production-ensemble__threshold-0p1,504,2021-12-03,2021-12-02,2023-12-28,False,uptrend,normal-vol,0.39119556384635285,-0.07483605601362187,-0.03814557027251875,0.09003151578147206,-0.6540407106669419,323,0.07028231946447934,0.12698412698412698,25,0,3265.415273622,2021-12-03,1.4832966,263700,-0.39365251064414997,-0.22131682350531678,0.41694591034120965,-0.9605170410495459,False,False,0.3188164546305281,0.18317125323279804,-0.3269143945597376,0.306476330382604,True,True,True
production-ensemble__threshold-0p1,504,2021-12-13,2021-12-10,2024-01-08,False,uptrend,normal-vol,0.3887060498334263,-0.0735581754097957,-0.03748151987081083,0.09003294481577806,-0.6508525898065478,318,0.06636451635003489,0.11706349206349206,23,0,3036.9468897959996,2021-12-13,1.4972994000000002,259600,-0.4455499424479662,-0.2553859673951653,0.4455499424479662,-1.151727039659721,False,False,0.3719917670381705,0.21790444752435445,-0.35551699763218814,0.5008744498531732,True,True,True
production-ensemble__threshold-0p1,504,2021-12-14,2021-12-13,2024-01-09,False,uptrend,normal-vol,0.3887060498334263,-0.07166102254533357,-0.036496508851853515,0.09003221779831194,-0.63259924908843,316,0.06560430129857184,0.11507936507936507,23,0,3043.2751253339993,2021-12-14,1.4892978000000001,261000,-0.44258700299323206,-0.2533990376333768,0.4437907493885421,-1.1402617374085693,False,False,0.3709259804478985,0.21690252878152327,-0.3537585315902302,0.5076624883201393,True,True,True
production-ensemble__threshold-0p1,504,2021-12-15,2021-12-14,2024-01-10,False,uptrend,normal-vol,0.3887060498334263,-0.07166102254533357,-0.036496508851853515,0.09003221779831194,-0.6330327763993622,316,0.06483179695201503,0.1130952380952381,23,0,3043.2751253339993,2021-12-15,1.4892978000000001,261000,-0.4465758029932321,-0.25607514021457256,0.4465758029932321,-1.155789005959562,False,False,0.3749147804478985,0.21957863136271905,-0.35654358519492013,0.5227562295601997,True,True,True
production-ensemble__threshold-0p1,504,2021-12-07,2021-12-06,2024-01-02,False,uptrend,normal-vol,0.39119556384635285,-0.07119309294372778,-0.03625371229961549,0.09003546121316852,-0.6244037630210224,318,0.06873625398003527,0.12301587301587301,25,0,3278.577343728,2021-12-07,1.4682936,266400,-0.392937595592344,-0.22085790486737533,0.4169735763244222,-0.9602701681653408,False,False,0.3217445026486162,0.18460419256775984,-0.3269381151112537,0.3358664051443184,True,True,True
risk-friction__threshold-0p05,252,2023-04-10,2023-04-07,2024-04-23,False,transition,normal-vol,0.7848882868595891,-0.1180456025564981,-0.1180456025564981,0.1180456025564981,-1.773530549920211,252,0.09752676061804488,0.15079365079365079,13,0,1762.3842964980001,2023-04-10,1.2082416,649700,-0.3651725373973601,-0.3651725373973601,0.412218624147375,-1.8581532996393726,False,False,0.247126934840862,0.247126934840862,-0.2941730215908769,0.08462274971916162,True,True,True
risk-friction__threshold-0p05,252,2023-04-21,2023-04-20,2024-05-09,False,uptrend,normal-vol,0.67821793886388,-0.11758009643488565,-0.11758009643488565,0.11758009643488565,-2.3964154987336665,252,0.07054784020432421,0.11507936507936507,11,0,1699.2006148859998,2023-04-21,1.2112422,560000,-0.32422505564954995,-0.32422505564954995,0.41251505564954993,-1.600754580725838,False,False,0.2066449592146643,0.2066449592146643,-0.2949349592146643,-0.7956609180078285,True,True,False
