trade_date,symbol,open,high,low,close,volume,amount
2020-11-16,SH588000,1.556,1.62,1.451,1.465,1445363800.0,2117457967.0
2020-11-17,SH588000,1.46,1.46,1.43,1.436,1080636500.0,1551794014.0
2020-11-18,SH588000,1.435,1.445,1.422,1.424,863188100.0,1229179854.4
2020-11-19,SH588000,1.424,1.44,1.412,1.438,685401800.0,985607788.4
2020-11-20,SH588000,1.436,1.444,1.431,1.435,601003400.0,862439879.0
2020-11-23,SH588000,1.434,1.434,1.416,1.422,797506100.0,1134053674.2
2020-11-24,SH588000,1.419,1.424,1.414,1.416,564806700.0,799766287.1999999
2020-11-25,SH588000,1.417,1.42,1.391,1.393,818612200.0,1140326794.6
2020-11-26,SH588000,1.391,1.401,1.384,1.39,519167900.0,721643381.0
2020-11-27,SH588000,1.388,1.4,1.385,1.392,520632700.0,724720718.4
2020-11-30,SH588000,1.397,1.401,1.385,1.391,635030200.0,883327008.2
2020-12-01,SH588000,1.388,1.411,1.386,1.409,586750300.0,826731172.7
2020-12-02,SH588000,1.411,1.42,1.408,1.414,523790800.0,740640191.1999999
2020-12-03,SH588000,1.412,1.422,1.404,1.417,443823400.0,628897757.8000001
2020-12-04,SH588000,1.415,1.415,1.406,1.411,371360200.0,523989242.2
2020-12-07,SH588000,1.415,1.422,1.411,1.412,461404500.0,651503154.0
2020-12-08,SH588000,1.413,1.414,1.405,1.408,415196100.0,584596108.8
2020-12-09,SH588000,1.408,1.411,1.377,1.38,782642700.0,1080046926.0
2020-12-10,SH588000,1.378,1.389,1.371,1.383,436784200.0,604072548.6
2020-12-11,SH588000,1.382,1.397,1.381,1.396,520034400.0,725968022.4
2020-12-14,SH588000,1.398,1.417,1.391,1.413,509072500.0,719319442.5
2020-12-15,SH588000,1.41,1.418,1.4,1.406,481061100.0,676371906.5999999
2020-12-16,SH588000,1.4,1.401,1.384,1.388,439325700.0,609784071.5999999
2020-12-17,SH588000,1.386,1.406,1.383,1.406,426540900.0,599716505.4
2020-12-18,SH588000,1.42,1.42,1.4,1.403,407483600.0,571699490.8
2020-12-21,SH588000,1.401,1.431,1.398,1.43,751259400.0,1074300942.0
2020-12-22,SH588000,1.419,1.432,1.399,1.403,586826100.0,823317018.3000001
2020-12-23,SH588000,1.403,1.419,1.397,1.417,477450400.0,676547216.8000001
2020-12-24,SH588000,1.416,1.425,1.39,1.393,562803400.0,783985136.2
2020-12-25,SH588000,1.395,1.4,1.383,1.394,460882200.0,642469786.8
2020-12-28,SH588000,1.387,1.391,1.377,1.38,600205100.0,828283037.9999999
2020-12-29,SH588000,1.38,1.393,1.379,1.381,482822500.0,666777872.5
2020-12-30,SH588000,1.381,1.407,1.377,1.403,612841000.0,859815923.0
2020-12-31,SH588000,1.408,1.435,1.406,1.434,880339300.0,1262406556.2
2021-01-04,SH588000,1.436,1.468,1.429,1.464,881063400.0,1289876817.6
2021-01-05,SH588000,1.46,1.469,1.452,1.468,643815900.0,945121741.2
2021-01-06,SH588000,1.467,1.475,1.45,1.458,488038800.0,711560570.4
2021-01-07,SH588000,1.457,1.458,1.415,1.429,870901600.0,1244518386.4
